DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2019-09-27 00:00:00;5;4;9;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 00:15:00;4;7;3;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 00:30:00;8;7;4;2;1;6;4;2;0;0;1;0;0;0;0;0;0;0
2019-09-27 00:45:00;2;4;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 01:00:00;2;4;2;0;0;3;3;1;0;0;1;0;0;0;0;0;0;0
2019-09-27 01:15:00;1;7;4;2;2;3;5;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 01:30:00;1;7;2;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 01:45:00;1;3;4;1;1;3;4;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 02:00:00;2;5;4;4;4;1;3;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 02:15:00;4;6;5;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 02:30:00;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2019-09-27 02:45:00;3;2;2;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 03:00:00;1;5;2;0;1;2;8;1;0;0;0;0;0;0;0;0;0;0
2019-09-27 03:15:00;3;4;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 03:30:00;2;6;6;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 03:45:00;1;7;2;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 04:00:00;3;2;4;3;4;1;3;1;0;0;1;0;0;0;0;0;0;0
2019-09-27 04:15:00;4;5;1;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 04:30:00;5;12;3;4;4;7;7;0;0;0;0;0;0;0;0;0;0;0
2019-09-27 04:45:00;16;27;3;9;10;5;8;0;0;0;1;0;0;0;0;0;0;0
2019-09-27 05:00:00;40;53;3;21;12;8;19;3;2;1;3;2;0;0;15;3;0;0
2019-09-27 05:15:00;84;137;5;25;18;10;24;0;2;1;13;7;0;0;23;9;0;0
2019-09-27 05:30:00;90;112;9;39;26;21;54;3;2;2;9;46;0;0;50;1;0;0
2019-09-27 05:45:00;85;82;18;46;29;75;105;2;3;2;2;12;0;0;33;1;0;0
2019-09-27 06:00:00;52;47;17;41;12;73;144;5;8;6;5;87;0;0;16;0;0;0
2019-09-27 06:15:00;49;54;12;44;4;31;62;0;6;4;5;17;2;0;13;0;0;0
2019-09-27 06:30:00;72;61;9;60;6;33;80;2;1;3;6;2;0;0;9;0;0;0
2019-09-27 06:45:00;54;83;8;56;2;22;62;1;5;6;4;9;0;0;22;1;0;0
2019-09-27 07:00:00;63;83;5;39;7;22;69;4;3;7;9;3;0;0;25;0;0;0
2019-09-27 07:15:00;67;87;10;41;4;45;73;4;6;6;4;7;0;0;6;3;0;0
2019-09-27 07:30:00;69;80;12;44;5;41;79;4;3;6;17;7;0;1;5;1;0;0
2019-09-27 07:45:00;80;80;10;52;5;38;69;4;5;6;20;12;0;0;27;0;2;0
2019-09-27 08:00:00;79;76;10;43;4;33;64;3;2;5;18;20;0;0;26;0;0;0
2019-09-27 08:15:00;55;53;10;32;9;38;69;3;2;3;13;14;0;0;14;0;0;0
2019-09-27 08:30:00;68;61;12;39;6;34;61;4;2;3;21;5;0;0;13;1;0;0
2019-09-27 08:45:00;56;48;12;36;4;30;42;12;1;2;14;2;0;0;12;0;0;0
2019-09-27 09:00:00;49;43;11;23;2;27;58;10;4;4;5;6;0;0;13;1;0;0
2019-09-27 09:15:00;43;43;20;25;4;31;53;15;1;5;7;2;0;0;16;0;0;0
2019-09-27 09:30:00;52;27;11;20;3;34;51;19;2;6;13;5;0;0;0;0;0;0
2019-09-27 09:45:00;54;36;14;29;8;32;52;19;2;3;19;4;0;0;9;0;0;0
2019-09-27 10:00:00;43;34;13;25;5;29;45;15;2;6;10;3;2;2;7;0;0;0
2019-09-27 10:15:00;45;32;18;20;5;37;49;22;2;1;15;0;0;0;5;0;0;0
2019-09-27 10:30:00;47;29;20;19;6;25;35;16;2;2;17;3;0;0;0;0;0;0
2019-09-27 10:45:00;50;27;15;20;5;34;44;18;2;2;17;18;1;0;4;1;2;0
2019-09-27 11:00:00;39;30;18;25;6;27;53;21;3;9;10;3;0;0;7;0;3;0
2019-09-27 11:15:00;54;41;23;15;5;37;51;17;1;1;17;2;0;3;20;8;0;0
2019-09-27 11:30:00;42;43;25;26;6;30;51;25;3;5;7;8;0;0;19;0;0;0
2019-09-27 11:45:00;53;32;20;25;4;31;52;17;1;6;12;7;4;0;8;1;0;0
2019-09-27 12:00:00;55;39;25;25;9;52;71;9;3;4;7;29;0;0;18;0;0;0
2019-09-27 12:15:00;46;42;22;23;5;34;64;18;3;4;19;5;0;0;65;5;0;0
2019-09-27 12:30:00;58;38;28;21;6;37;53;12;7;5;8;0;0;0;38;0;1;0
2019-09-27 12:45:00;52;51;17;38;5;38;67;20;2;5;9;35;0;0;13;0;0;0
2019-09-27 13:00:00;66;59;26;45;6;38;65;19;6;3;12;3;0;0;19;1;0;0
2019-09-27 13:15:00;87;104;23;40;6;38;48;18;2;5;19;4;0;0;23;1;0;0
2019-09-27 13:30:00;99;116;32;40;12;51;64;20;5;6;16;16;0;0;41;0;0;0
2019-09-27 13:45:00;107;170;38;48;15;52;87;53;14;25;27;26;0;0;80;30;1;0
2019-09-27 14:00:00;92;95;51;33;12;97;129;17;5;9;15;54;0;0;56;0;0;0
2019-09-27 14:15:00;69;55;39;30;11;144;169;19;7;11;22;20;0;0;48;0;0;0
2019-09-27 14:30:00;72;62;48;25;2;89;116;19;3;6;11;12;0;0;29;1;0;0
2019-09-27 14:45:00;63;56;46;24;5;68;89;11;4;5;9;12;0;0;73;4;0;0
