DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-12-08 00:00:00;0;0;0;0;1;2;1;2;0;0;0;0;0;0
2020-12-08 00:15:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-08 00:30:00;0;2;2;2;3;1;1;1;0;0;0;0;0;0
2020-12-08 00:45:00;0;0;0;0;5;0;0;0;0;0;0;0;0;0
2020-12-08 01:00:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-08 01:15:00;0;2;2;1;0;0;0;0;0;0;0;0;0;0
2020-12-08 01:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-08 01:45:00;1;0;0;0;1;1;1;1;0;0;0;0;0;0
2020-12-08 02:00:00;0;2;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-08 02:15:00;1;0;0;0;0;1;1;1;0;0;0;0;0;0
2020-12-08 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-08 02:45:00;0;0;0;0;2;1;1;1;0;0;0;0;0;0
2020-12-08 03:00:00;0;0;0;0;3;1;1;1;0;0;0;0;0;0
2020-12-08 03:15:00;1;0;0;0;4;0;0;0;0;0;0;0;0;0
2020-12-08 03:30:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-08 03:45:00;0;1;1;1;2;2;1;1;0;0;0;0;0;0
2020-12-08 04:00:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-08 04:15:00;0;0;0;0;1;2;1;2;0;0;0;0;0;0
2020-12-08 04:30:00;2;0;0;0;7;2;2;2;0;0;0;0;0;0
2020-12-08 04:45:00;0;4;4;4;3;6;5;1;0;0;0;0;0;0
2020-12-08 05:00:00;4;4;3;1;13;8;7;5;0;0;0;0;0;0
2020-12-08 05:15:00;11;4;3;2;19;9;6;6;0;0;0;0;0;0
2020-12-08 05:30:00;9;8;7;6;26;10;7;6;0;0;0;0;0;0
2020-12-08 05:45:00;8;5;3;3;26;12;11;6;0;0;0;0;0;0
2020-12-08 06:00:00;9;5;5;6;28;5;5;4;0;0;0;0;0;0
2020-12-08 06:15:00;12;16;11;13;49;21;19;13;0;0;0;0;0;0
2020-12-08 06:30:00;17;13;11;9;54;25;25;15;0;0;0;0;0;0
2020-12-08 06:45:00;15;14;14;13;37;27;25;14;0;0;0;0;0;0
2020-12-08 07:00:00;12;17;16;10;53;18;17;11;1;3;4;0;0;1
2020-12-08 07:15:00;13;21;14;15;85;31;26;24;1;1;0;0;4;0
2020-12-08 07:30:00;21;25;22;19;100;40;27;27;0;0;0;0;0;8
2020-12-08 07:45:00;16;30;10;15;93;35;23;28;1;1;0;0;0;0
2020-12-08 08:00:00;17;12;8;13;59;32;21;20;0;0;0;0;0;0
2020-12-08 08:15:00;34;28;18;25;77;36;26;28;1;0;0;0;0;0
2020-12-08 08:30:00;18;13;17;15;43;40;32;29;2;0;0;0;0;0
2020-12-08 08:45:00;24;24;14;14;72;27;19;17;4;1;0;0;0;0
2020-12-08 09:00:00;14;11;15;11;66;28;21;21;0;0;0;0;0;0
2020-12-08 09:15:00;25;17;16;17;55;30;25;20;2;1;0;0;0;0
2020-12-08 09:30:00;16;9;10;8;58;24;20;18;1;0;0;0;0;0
