DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-02-15 00:00:00;14;11;0;0;19;7;1;1;1;1;13;13;7;25;7;0;0
2020-02-15 00:15:00;20;9;0;0;26;9;2;2;2;0;18;15;9;33;9;0;0
2020-02-15 00:30:00;12;9;0;0;13;1;1;1;0;0;11;8;1;16;1;0;0
2020-02-15 00:45:00;12;11;0;0;20;5;5;5;2;1;12;12;6;25;5;0;0
2020-02-15 01:00:00;9;6;0;0;15;6;2;2;0;0;7;7;7;20;6;0;0
2020-02-15 01:15:00;15;4;0;0;12;6;2;2;2;0;16;4;6;17;6;0;0
2020-02-15 01:30:00;11;6;0;0;19;4;1;2;1;0;8;6;5;23;5;0;0
2020-02-15 01:45:00;6;7;0;0;10;4;0;0;0;1;5;6;4;13;4;0;0
2020-02-15 02:00:00;10;6;0;0;14;6;1;1;0;1;9;6;6;18;6;0;0
2020-02-15 02:15:00;8;6;0;0;11;2;3;3;1;0;7;6;1;12;1;0;0
2020-02-15 02:30:00;6;4;0;0;4;2;3;3;0;0;5;5;2;6;2;0;0
2020-02-15 02:45:00;10;1;0;0;9;4;5;5;2;0;10;1;2;12;2;0;0
2020-02-15 03:00:00;4;3;0;0;11;4;0;0;0;0;4;3;3;14;4;0;0
2020-02-15 03:15:00;5;2;0;0;7;0;0;0;0;0;5;2;0;7;0;0;0
2020-02-15 03:30:00;3;3;0;0;7;1;0;0;0;0;3;4;1;8;1;0;0
2020-02-15 03:45:00;5;3;0;0;8;2;1;1;1;0;3;3;2;10;2;0;0
2020-02-15 04:00:00;8;5;0;0;5;1;0;0;0;0;8;5;1;6;1;0;0
2020-02-15 04:15:00;7;4;0;0;9;2;2;2;0;0;5;3;2;10;3;0;0
2020-02-15 04:30:00;6;6;0;0;6;5;2;2;1;0;5;6;5;11;5;0;0
2020-02-15 04:45:00;2;1;0;0;12;2;0;0;0;0;2;1;2;14;2;0;0
2020-02-15 05:00:00;8;8;0;0;12;1;0;0;0;1;8;8;0;12;0;0;0
2020-02-15 05:15:00;13;8;0;1;18;2;1;1;2;0;12;6;2;19;2;0;0
2020-02-15 05:30:00;20;12;0;0;18;3;1;1;0;2;19;15;2;21;2;0;0
2020-02-15 05:45:00;21;12;0;0;11;2;0;0;0;0;19;14;3;13;3;0;0
2020-02-15 06:00:00;23;10;0;0;22;5;2;2;1;0;20;8;6;24;7;0;0
2020-02-15 06:15:00;17;13;0;0;20;10;0;0;0;0;16;13;10;26;10;0;0
2020-02-15 06:30:00;19;20;0;0;13;4;2;2;2;0;14;23;4;17;4;0;0
2020-02-15 06:45:00;26;11;0;2;19;6;0;0;0;0;24;15;6;21;6;0;0
2020-02-15 07:00:00;22;14;0;0;28;12;0;0;0;1;21;13;11;38;11;0;0
2020-02-15 07:15:00;31;22;0;0;25;11;2;2;1;0;22;23;14;33;11;0;0
2020-02-15 07:30:00;56;38;0;1;32;23;0;0;1;1;45;40;26;49;22;0;0
2020-02-15 07:45:00;9;2;0;0;4;0;0;0;0;0;6;3;0;5;0;0;0
2020-02-15 08:00:00;46;23;0;1;48;12;3;4;2;0;41;24;13;57;13;0;0
2020-02-15 08:15:00;45;50;0;0;66;31;2;2;1;1;39;51;32;94;31;0;0
2020-02-15 08:30:00;52;47;0;0;56;13;7;8;7;2;47;51;12;64;13;0;0
2020-02-15 08:45:00;69;60;0;1;71;38;4;4;3;3;53;63;37;101;36;0;3
2020-02-15 09:00:00;61;61;1;0;74;24;7;7;0;0;48;65;27;92;26;0;0
2020-02-15 09:15:00;94;86;0;0;63;44;12;12;7;0;86;85;41;99;40;0;0
2020-02-15 09:30:00;81;93;0;0;79;45;8;8;4;0;63;98;45;120;43;0;0
2020-02-15 09:45:00;112;112;0;2;105;49;12;12;4;1;99;118;55;138;52;0;0
2020-02-15 10:00:00;112;104;0;2;97;53;7;6;7;1;100;112;56;141;54;0;6
2020-02-15 10:15:00;138;132;0;1;118;64;9;8;10;1;123;139;64;166;65;1;0
2020-02-15 10:30:00;135;140;2;1;114;63;15;16;7;2;127;140;66;160;65;1;0
2020-02-15 10:45:00;96;147;2;1;146;74;17;17;6;1;90;152;78;193;78;4;0
2020-02-15 11:00:00;121;125;0;0;139;77;12;12;9;1;106;132;81;187;80;0;0
2020-02-15 11:15:00;103;114;0;1;129;82;10;10;5;3;93;117;80;190;82;0;0
2020-02-15 11:30:00;98;137;0;1;143;83;25;25;11;1;94;146;85;209;88;0;1
2020-02-15 11:45:00;131;143;1;1;142;82;21;21;7;2;111;148;87;204;84;0;4
2020-02-15 12:00:00;110;150;1;4;135;97;24;24;10;5;102;156;96;205;97;1;4
2020-02-15 12:15:00;126;169;1;2;137;84;31;31;14;5;120;172;85;198;85;7;2
2020-02-15 12:30:00;124;173;1;1;137;88;19;19;10;2;122;183;90;201;87;0;2
2020-02-15 12:45:00;141;204;2;2;125;96;18;17;8;5;131;214;91;190;92;3;1
2020-02-15 13:00:00;158;239;3;1;185;84;11;11;7;3;153;246;86;242;85;0;0
2020-02-15 13:15:00;165;237;1;2;152;88;16;14;3;0;157;246;101;221;100;8;0
2020-02-15 13:30:00;138;199;1;0;153;79;12;12;10;3;134;202;84;217;84;2;0
2020-02-15 13:45:00;124;159;0;0;153;87;10;10;3;2;111;170;84;215;85;0;2
2020-02-15 14:00:00;121;137;1;1;152;73;8;8;3;5;121;139;74;207;75;0;0
2020-02-15 14:15:00;98;137;1;0;150;101;10;12;7;0;87;144;104;226;103;2;0
2020-02-15 14:30:00;101;137;0;0;175;83;13;12;9;3;93;143;93;230;93;1;4
2020-02-15 14:45:00;114;156;2;1;144;93;11;11;2;3;106;164;98;215;99;10;0
2020-02-15 15:00:00;94;127;1;0;139;79;6;5;2;0;85;129;76;201;80;2;4
2020-02-15 15:15:00;106;115;0;1;161;82;6;6;3;2;100;119;82;225;84;0;0
2020-02-15 15:30:00;105;118;0;0;132;67;9;9;6;0;99;126;67;178;70;23;2
2020-02-15 15:45:00;100;125;1;0;179;140;14;15;7;0;93;127;138;279;138;0;0
2020-02-15 16:00:00;87;97;1;0;226;180;17;18;10;0;83;100;173;336;172;0;3
