DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-04-20 00:00:00;1;1;2;0;6;4;1;0;3;0;0;0;0;0
2020-04-20 00:15:00;2;3;6;1;2;2;0;0;1;1;0;0;0;0
2020-04-20 00:30:00;2;3;7;0;1;1;2;1;2;2;0;0;0;0
2020-04-20 00:45:00;4;1;0;0;1;1;0;2;0;2;0;0;0;0
2020-04-20 01:00:00;1;1;2;0;3;3;1;0;1;0;0;0;0;0
2020-04-20 01:15:00;1;1;8;1;3;3;0;0;0;1;0;0;0;0
2020-04-20 01:30:00;0;0;4;0;4;6;2;0;0;2;0;0;0;0
2020-04-20 01:45:00;2;1;1;0;4;3;1;0;0;2;0;0;0;0
2020-04-20 02:00:00;1;0;1;0;5;4;0;0;2;2;0;0;0;0
2020-04-20 02:15:00;0;2;5;0;4;4;2;1;3;2;0;0;0;0
2020-04-20 02:30:00;1;0;4;0;2;2;0;0;3;5;0;0;0;0
2020-04-20 02:45:00;1;2;3;0;3;3;1;0;0;1;0;0;0;0
2020-04-20 03:00:00;3;3;2;0;3;3;2;1;1;2;0;0;0;0
2020-04-20 03:15:00;1;1;4;0;2;2;0;0;1;0;0;0;0;0
2020-04-20 03:30:00;3;3;6;1;2;1;1;0;3;3;0;0;0;0
2020-04-20 03:45:00;0;3;5;0;4;1;1;0;1;2;0;0;0;0
2020-04-20 04:00:00;2;3;3;0;3;1;1;0;3;4;0;0;0;0
2020-04-20 04:15:00;1;4;5;2;8;5;0;1;4;4;0;0;0;0
2020-04-20 04:30:00;7;2;8;1;2;4;3;0;2;5;0;0;0;0
2020-04-20 04:45:00;8;6;9;0;3;4;0;1;3;5;0;0;0;0
2020-04-20 05:00:00;8;7;15;1;7;10;6;1;10;15;0;0;0;0
2020-04-20 05:15:00;30;23;20;7;14;9;3;2;6;15;0;0;0;0
2020-04-20 05:30:00;48;28;35;21;21;14;14;4;9;10;0;0;0;0
2020-04-20 05:45:00;49;31;37;22;14;21;23;6;7;13;0;0;0;0
2020-04-20 06:00:00;37;21;42;24;12;16;13;5;13;14;0;0;0;0
2020-04-20 06:15:00;50;37;47;31;24;22;22;6;15;22;0;0;0;0
2020-04-20 06:30:00;69;51;54;51;31;34;18;8;27;28;0;0;0;0
2020-04-20 06:45:00;77;38;93;48;43;50;27;12;15;19;0;0;0;0
2020-04-20 07:00:00;69;41;58;28;43;48;23;11;24;19;0;0;0;0
2020-04-20 07:15:00;84;61;69;53;44;38;28;19;28;20;0;0;0;0
2020-04-20 07:30:00;71;49;76;52;37;46;27;14;40;29;0;0;0;0
2020-04-20 07:45:00;60;49;70;52;58;51;32;13;28;33;0;0;0;0
2020-04-20 08:00:00;57;40;45;37;45;42;27;12;26;26;0;0;0;0
2020-04-20 08:15:00;48;30;59;29;46;51;26;8;36;23;0;0;0;0
2020-04-20 08:30:00;61;44;68;31;47;43;32;9;31;32;0;0;0;0
2020-04-20 08:45:00;40;34;77;34;49;44;32;17;23;26;0;0;0;0
2020-04-20 09:00:00;44;35;80;32;41;43;21;5;30;27;0;0;0;0
2020-04-20 09:15:00;42;36;68;30;46;55;30;5;32;32;0;0;0;0
