DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-07-31 00:00:00;0;2;4;0;0;0;0;0
2020-07-31 00:15:00;0;1;2;0;0;0;0;0
2020-07-31 00:30:00;0;3;1;2;0;0;0;0
2020-07-31 00:45:00;0;1;2;0;0;0;0;0
2020-07-31 01:00:00;0;0;0;0;0;0;0;0
2020-07-31 01:15:00;0;0;0;0;0;0;0;0
2020-07-31 01:30:00;0;0;0;0;3;0;0;0
2020-07-31 01:45:00;0;0;0;0;0;0;0;0
2020-07-31 02:00:00;0;1;0;0;0;0;0;0
2020-07-31 02:15:00;2;2;0;0;0;0;0;0
2020-07-31 02:30:00;0;1;1;0;0;0;0;0
2020-07-31 02:45:00;0;0;0;0;0;0;0;0
2020-07-31 03:00:00;0;0;0;0;0;0;0;0
2020-07-31 03:15:00;0;1;0;0;1;0;0;0
2020-07-31 03:30:00;0;0;2;0;0;0;0;0
2020-07-31 03:45:00;0;0;0;0;1;0;0;0
2020-07-31 04:00:00;0;1;2;0;0;0;0;0
2020-07-31 04:15:00;0;0;0;0;0;0;0;0
2020-07-31 04:30:00;0;3;1;0;0;0;0;0
2020-07-31 04:45:00;0;6;3;3;0;0;0;0
2020-07-31 05:00:00;1;5;8;3;0;0;0;0
2020-07-31 05:15:00;4;13;14;2;263;0;0;0
2020-07-31 05:30:00;4;10;25;3;0;0;0;0
2020-07-31 05:45:00;3;23;48;3;265;0;0;0
2020-07-31 06:00:00;1;12;48;4;5;0;0;0
2020-07-31 06:15:00;2;14;56;3;5;0;0;0
2020-07-31 06:30:00;4;16;58;5;5;0;0;0
2020-07-31 06:45:00;2;11;51;9;4;0;0;0
2020-07-31 07:00:00;9;83;36;5;10;0;0;0
2020-07-31 07:15:00;5;14;43;8;6;1;0;0
2020-07-31 07:30:00;3;9;36;5;6;0;0;0
2020-07-31 07:45:00;3;16;30;6;11;0;0;0
2020-07-31 08:00:00;5;11;29;4;10;0;0;0
2020-07-31 08:15:00;3;13;33;4;266;0;0;0
2020-07-31 08:30:00;5;21;31;7;6;0;0;0
2020-07-31 08:45:00;7;21;36;8;4;0;0;0
2020-07-31 09:00:00;6;27;22;9;13;3;0;0
2020-07-31 09:15:00;0;12;17;4;7;0;2;0
2020-07-31 09:30:00;3;20;24;7;11;0;0;0
2020-07-31 09:45:00;6;24;18;6;7;0;0;0
2020-07-31 10:00:00;1;17;16;5;4;0;0;0
2020-07-31 10:15:00;0;17;7;1;14;0;3;0
2020-07-31 10:30:00;3;12;10;5;8;0;0;0
2020-07-31 10:45:00;0;13;11;3;3;0;0;0
2020-07-31 11:00:00;7;20;9;3;268;0;1;0
2020-07-31 11:15:00;4;20;15;5;9;0;0;0
2020-07-31 11:30:00;3;19;23;3;8;0;0;1
2020-07-31 11:45:00;7;20;13;3;14;0;0;0
2020-07-31 12:00:00;3;21;11;4;12;0;0;0
2020-07-31 12:15:00;2;27;18;6;5;0;0;0
2020-07-31 12:30:00;5;50;16;6;9;0;0;0
2020-07-31 12:45:00;1;33;16;8;8;0;1;0
2020-07-31 13:00:00;2;32;26;6;6;0;0;0
2020-07-31 13:15:00;0;28;40;7;5;0;0;0
2020-07-31 13:30:00;2;23;27;3;9;0;1;0
2020-07-31 13:45:00;0;33;16;3;10;0;2;0
2020-07-31 14:00:00;6;83;32;12;14;0;1;1
2020-07-31 14:15:00;5;63;26;11;17;0;0;0
2020-07-31 14:30:00;2;31;14;3;18;0;0;0
2020-07-31 14:45:00;6;40;8;2;14;0;0;0
2020-07-31 15:00:00;5;48;24;5;14;0;0;0
2020-07-31 15:15:00;1;68;13;4;11;0;0;0
2020-07-31 15:30:00;4;35;9;2;15;0;2;0
2020-07-31 15:45:00;2;29;9;6;8;0;0;0
2020-07-31 16:00:00;3;31;3;0;7;1;0;0
2020-07-31 16:15:00;4;27;9;5;5;0;0;0
2020-07-31 16:30:00;5;25;9;3;1;0;0;0
2020-07-31 16:45:00;1;24;7;4;3;0;0;0
2020-07-31 17:00:00;1;17;6;3;3;0;0;0
2020-07-31 17:15:00;1;21;11;1;4;0;0;0
2020-07-31 17:30:00;3;10;7;3;2;0;0;0
2020-07-31 17:45:00;0;18;7;2;2;0;0;0
2020-07-31 18:00:00;0;14;11;1;2;0;0;0
2020-07-31 18:15:00;0;13;8;3;2;0;0;0
2020-07-31 18:30:00;0;8;3;3;4;0;0;0
2020-07-31 18:45:00;0;6;5;1;2;0;0;0
2020-07-31 19:00:00;1;14;5;1;0;0;0;0
2020-07-31 19:15:00;0;4;5;2;1;0;0;0
2020-07-31 19:30:00;3;11;2;0;1;0;0;0
2020-07-31 19:45:00;0;4;6;1;0;0;0;0
2020-07-31 20:00:00;2;16;7;3;0;0;0;0
2020-07-31 20:15:00;2;12;2;2;0;0;0;0
2020-07-31 20:30:00;1;9;5;1;2;0;0;0
2020-07-31 20:45:00;0;16;5;1;1;0;0;0
2020-07-31 21:00:00;3;14;6;4;2;0;0;0
2020-07-31 21:15:00;2;16;2;3;0;0;0;0
2020-07-31 21:30:00;0;15;6;0;6;0;0;0
2020-07-31 21:45:00;1;27;11;2;0;0;0;0
2020-07-31 22:00:00;0;10;5;1;3;0;0;0
2020-07-31 22:15:00;1;10;11;6;3;0;0;0
2020-07-31 22:30:00;2;11;5;1;3;0;0;0
2020-07-31 22:45:00;1;6;4;1;0;0;0;0
2020-07-31 23:00:00;0;9;2;0;0;0;0;0
2020-07-31 23:15:00;0;2;3;2;0;0;0;0
2020-07-31 23:30:00;5;9;1;1;0;0;0;0
2020-07-31 23:45:00;0;5;2;1;0;0;0;0
