DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-08-06 00:00:00;0;1;0;9;10;0;0;0
2020-08-06 00:15:00;2;1;0;8;0;0;0;0
2020-08-06 00:30:00;5;1;0;5;1;0;0;0
2020-08-06 00:45:00;2;1;0;4;1;0;0;0
2020-08-06 01:00:00;5;1;2;8;0;0;0;0
2020-08-06 01:15:00;2;0;1;3;5;0;0;0
2020-08-06 01:30:00;1;2;0;4;4;0;0;0
2020-08-06 01:45:00;4;1;1;2;0;0;0;0
2020-08-06 02:00:00;0;0;1;1;0;0;0;0
2020-08-06 02:15:00;0;0;0;4;1;0;0;0
2020-08-06 02:30:00;2;3;2;5;1;0;0;0
2020-08-06 02:45:00;1;0;1;1;1;0;0;0
2020-08-06 03:00:00;0;1;1;3;0;0;0;0
2020-08-06 03:15:00;1;1;0;2;0;0;0;0
2020-08-06 03:30:00;2;0;0;2;0;0;0;0
2020-08-06 03:45:00;1;1;1;0;0;0;0;0
2020-08-06 04:00:00;2;1;2;1;0;0;0;0
2020-08-06 04:15:00;6;2;0;1;0;0;0;0
2020-08-06 04:30:00;4;1;1;3;1;0;0;0
2020-08-06 04:45:00;4;3;1;3;0;0;0;0
2020-08-06 05:00:00;20;3;2;3;0;0;0;0
2020-08-06 05:15:00;16;4;2;5;1;0;0;0
2020-08-06 05:30:00;46;7;3;24;3;0;0;0
2020-08-06 05:45:00;37;5;2;37;3;0;0;0
2020-08-06 06:00:00;47;0;12;18;0;0;0;0
2020-08-06 06:15:00;62;6;2;27;2;0;0;0
2020-08-06 06:30:00;96;7;9;54;3;9;0;1
2020-08-06 06:45:00;81;8;10;72;8;33;0;0
2020-08-06 07:00:00;101;8;7;66;9;8;0;1
2020-08-06 07:15:00;95;10;12;54;10;15;0;0
2020-08-06 07:30:00;127;9;20;78;14;26;0;0
2020-08-06 07:45:00;123;15;17;78;22;16;0;0
2020-08-06 08:00:00;119;8;25;81;23;18;0;0
2020-08-06 08:15:00;112;11;16;73;19;10;0;0
2020-08-06 08:30:00;91;15;24;64;14;9;0;0
2020-08-06 08:45:00;98;17;26;80;24;8;0;3
2020-08-06 09:00:00;76;12;19;56;7;11;0;0
2020-08-06 09:15:00;92;10;25;65;17;8;0;0
2020-08-06 09:30:00;94;10;39;77;16;9;0;0
2020-08-06 09:45:00;88;8;47;89;15;5;0;1
2020-08-06 10:00:00;88;11;33;72;20;10;0;0
2020-08-06 10:15:00;93;15;48;74;22;11;0;0
2020-08-06 10:30:00;97;17;41;71;24;14;0;0
2020-08-06 10:45:00;62;11;34;81;23;1;0;1
2020-08-06 11:00:00;106;10;36;78;29;18;0;0
2020-08-06 11:15:00;95;16;33;81;30;7;0;0
2020-08-06 11:30:00;85;15;44;103;18;2;0;0
2020-08-06 11:45:00;93;10;45;90;21;24;0;0
2020-08-06 12:00:00;67;10;37;78;21;8;0;0
2020-08-06 12:15:00;85;13;44;103;25;6;0;0
2020-08-06 12:30:00;67;19;34;87;18;7;4;1
2020-08-06 12:45:00;73;12;38;82;25;21;0;0
2020-08-06 13:00:00;101;18;26;106;21;5;0;0
2020-08-06 13:15:00;90;11;41;108;19;11;0;0
2020-08-06 13:30:00;85;15;27;112;20;6;0;0
2020-08-06 13:45:00;85;10;41;89;25;5;0;0
2020-08-06 14:00:00;104;13;33;75;28;12;0;0
2020-08-06 14:15:00;100;6;52;87;18;18;0;0
2020-08-06 14:30:00;114;11;38;86;31;8;0;0
2020-08-06 14:45:00;92;13;37;108;14;16;0;1
2020-08-06 15:00:00;103;16;50;89;14;15;0;0
2020-08-06 15:15:00;106;8;37;101;20;16;0;0
2020-08-06 15:30:00;115;15;45;120;29;12;0;0
2020-08-06 15:45:00;104;18;37;135;26;18;0;0
2020-08-06 16:00:00;123;13;44;114;22;8;0;1
2020-08-06 16:15:00;105;11;52;145;26;7;0;0
2020-08-06 16:30:00;113;13;54;134;30;11;0;0
2020-08-06 16:45:00;111;22;69;128;32;27;0;1
2020-08-06 17:00:00;100;25;58;128;29;18;0;0
2020-08-06 17:15:00;94;12;46;139;25;26;0;0
2020-08-06 17:30:00;101;11;59;121;31;37;0;0
2020-08-06 17:45:00;81;9;38;119;30;10;0;0
2020-08-06 18:00:00;92;7;42;102;33;23;0;1
2020-08-06 18:15:00;108;11;50;96;32;10;0;1
2020-08-06 18:30:00;75;10;45;106;37;13;0;0
2020-08-06 18:45:00;55;13;30;85;25;45;0;1
2020-08-06 19:00:00;74;14;30;89;36;20;0;0
2020-08-06 19:15:00;64;13;31;72;26;4;0;1
2020-08-06 19:30:00;55;11;22;59;22;9;1;0
2020-08-06 19:45:00;52;5;28;67;30;14;0;0
2020-08-06 20:00:00;66;6;20;57;27;15;6;1
2020-08-06 20:15:00;46;5;20;61;19;7;0;0
2020-08-06 20:30:00;40;7;9;58;34;12;0;0
2020-08-06 20:45:00;37;4;10;47;19;32;10;1
2020-08-06 21:00:00;36;10;10;40;18;2;0;0
2020-08-06 21:15:00;43;12;7;51;18;3;0;0
2020-08-06 21:30:00;30;4;4;36;17;0;0;0
2020-08-06 21:45:00;23;8;7;34;21;0;0;0
2020-08-06 22:00:00;21;7;8;26;6;0;0;0
2020-08-06 22:15:00;22;6;6;41;13;3;0;0
