DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-01-24 00:00:00;6;4;1;0;0;6;12;8
2020-01-24 00:15:00;14;10;3;1;1;6;13;8
2020-01-24 00:30:00;7;5;2;1;1;5;9;6
2020-01-24 00:45:00;9;9;4;0;0;5;6;3
2020-01-24 01:00:00;7;10;3;2;1;5;13;9
2020-01-24 01:15:00;7;7;3;1;2;5;10;7
2020-01-24 01:30:00;8;6;1;2;2;7;8;6
2020-01-24 01:45:00;10;8;2;2;2;3;11;9
2020-01-24 02:00:00;11;6;0;0;0;0;6;4
2020-01-24 02:15:00;5;4;0;1;0;6;2;1
2020-01-24 02:30:00;12;4;2;1;1;2;11;8
2020-01-24 02:45:00;6;7;1;2;2;5;12;11
2020-01-24 03:00:00;6;5;1;1;1;3;7;6
2020-01-24 03:15:00;9;6;2;0;0;1;2;1
2020-01-24 03:30:00;10;7;1;0;0;4;9;4
2020-01-24 03:45:00;16;6;1;1;1;4;10;7
2020-01-24 04:00:00;12;8;2;0;0;0;13;6
2020-01-24 04:15:00;18;9;4;2;3;7;11;7
2020-01-24 04:30:00;23;9;1;4;3;8;13;10
2020-01-24 04:45:00;28;17;2;3;1;8;30;16
2020-01-24 05:00:00;26;15;2;2;3;9;39;24
2020-01-24 05:15:00;49;31;6;5;2;15;61;22
2020-01-24 05:30:00;61;35;13;3;1;16;48;29
2020-01-24 05:45:00;77;63;25;9;12;56;67;46
2020-01-24 06:00:00;63;55;18;5;5;37;54;33
2020-01-24 06:15:00;74;72;20;11;11;52;72;56
2020-01-24 06:30:00;105;110;26;15;17;81;73;62
2020-01-24 06:45:00;129;169;27;19;19;97;88;57
2020-01-24 07:00:00;118;130;35;15;18;113;104;90
2020-01-24 07:15:00;122;152;30;26;25;149;90;82
2020-01-24 07:30:00;134;150;24;23;33;128;95;79
2020-01-24 07:45:00;173;201;27;19;30;126;84;54
2020-01-24 08:00:00;140;173;32;21;38;103;97;61
2020-01-24 08:15:00;116;170;29;24;39;107;95;62
2020-01-24 08:30:00;124;170;26;19;24;96;86;60
2020-01-24 08:45:00;115;147;30;21;31;94;106;63
2020-01-24 09:00:00;88;122;32;19;19;71;101;76
2020-01-24 09:15:00;98;97;27;12;18;61;86;61
2020-01-24 09:30:00;94;91;24;13;16;64;94;71
2020-01-24 09:45:00;99;112;31;8;13;53;95;73
2020-01-24 10:00:00;101;85;28;12;13;42;109;77
2020-01-24 10:15:00;110;110;28;13;8;46;108;68
2020-01-24 10:30:00;98;110;30;10;15;61;99;75
2020-01-24 10:45:00;116;112;35;17;21;58;123;86
2020-01-24 11:00:00;116;97;61;12;19;71;108;83
2020-01-24 11:15:00;118;117;68;19;15;68;126;93
2020-01-24 11:30:00;134;127;55;9;11;55;128;90
2020-01-24 11:45:00;121;120;41;12;5;45;114;87
2020-01-24 12:00:00;131;130;51;8;11;59;149;113
2020-01-24 12:15:00;142;150;55;16;19;75;140;116
2020-01-24 12:30:00;145;134;56;13;16;64;157;116
2020-01-24 12:45:00;145;162;47;18;14;71;135;106
2020-01-24 13:00:00;142;142;45;14;21;74;168;123
2020-01-24 13:15:00;136;121;39;14;15;56;145;112
2020-01-24 13:30:00;153;155;47;15;22;79;140;115
2020-01-24 13:45:00;135;150;45;14;19;70;144;96
2020-01-24 14:00:00;120;137;44;13;11;83;150;107
2020-01-24 14:15:00;142;140;54;14;15;66;141;112
2020-01-24 14:30:00;129;149;47;13;11;62;146;133
2020-01-24 14:45:00;125;134;41;16;14;57;171;131
2020-01-24 15:00:00;134;139;53;16;19;87;152;136
2020-01-24 15:15:00;135;136;39;19;15;84;136;124
2020-01-24 15:30:00;145;135;60;19;20;88;173;140
2020-01-24 15:45:00;141;140;43;18;13;77;164;127
2020-01-24 16:00:00;135;152;54;19;15;78;178;135
2020-01-24 16:15:00;156;148;53;17;22;79;150;125
2020-01-24 16:30:00;132;117;52;13;16;83;142;116
2020-01-24 16:45:00;135;129;41;12;7;78;128;111
2020-01-24 17:00:00;126;117;58;17;6;76;150;123
2020-01-24 17:15:00;127;127;48;13;16;78;141;104
2020-01-24 17:30:00;118;119;50;20;18;79;142;99
2020-01-24 17:45:00;111;116;44;10;13;61;139;105
2020-01-24 18:00:00;113;106;46;13;11;71;156;102
2020-01-24 18:15:00;102;113;36;16;10;76;129;89
2020-01-24 18:30:00;85;89;37;13;7;63;127;77
2020-01-24 18:45:00;83;94;32;15;16;68;119;71
2020-01-24 19:00:00;67;87;33;8;8;47;117;74
2020-01-24 19:15:00;63;61;24;11;12;64;85;49
2020-01-24 19:30:00;58;57;12;11;4;48;74;44
2020-01-24 19:45:00;52;55;21;12;11;54;82;61
2020-01-24 20:00:00;50;54;23;5;6;37;91;56
2020-01-24 20:15:00;51;43;11;4;7;55;62;38
2020-01-24 20:30:00;37;37;21;4;8;35;75;32
2020-01-24 20:45:00;40;44;14;4;3;24;61;36
2020-01-24 21:00:00;43;43;7;1;0;26;50;22
2020-01-24 21:15:00;44;38;16;5;2;33;55;30
2020-01-24 21:30:00;38;36;25;3;1;19;46;29
2020-01-24 21:45:00;30;22;2;1;0;10;38;18
2020-01-24 22:00:00;33;38;19;3;4;27;49;27
2020-01-24 22:15:00;44;45;15;2;1;25;35;23
2020-01-24 22:30:00;41;28;12;2;4;30;36;19
2020-01-24 22:45:00;24;22;10;7;2;19;27;14
2020-01-24 23:00:00;16;19;9;4;4;18;29;19
2020-01-24 23:15:00;33;37;12;1;2;21;38;21
2020-01-24 23:30:00;15;23;6;1;2;13;27;14
2020-01-24 23:45:00;14;13;6;1;1;13;35;21
