DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-12-27 00:00:00;222;223;223;222;0;223;222;200;199
2020-12-27 00:15:00;16;14;14;14;0;14;14;14;14
2020-12-27 00:30:00;32;31;31;32;0;32;32;32;31
2020-12-27 00:45:00;56;57;55;54;1;55;54;54;55
2020-12-27 01:00:00;28;28;33;29;0;29;34;28;29
2020-12-27 01:15:00;34;38;39;36;0;35;37;34;35
2020-12-27 01:30:00;75;75;76;75;0;74;74;72;72
2020-12-27 01:45:00;41;41;41;41;0;41;41;43;40
2020-12-27 02:00:00;8;8;10;10;0;8;9;8;8
2020-12-27 02:15:00;17;17;17;17;0;17;17;17;17
2020-12-27 02:30:00;45;45;45;45;0;45;45;47;45
2020-12-27 02:45:00;5;5;5;5;0;6;5;5;5
2020-12-27 03:00:00;3;1;1;1;0;2;2;1;2
2020-12-27 03:15:00;3;3;2;2;0;2;2;2;4
2020-12-27 03:30:00;150;151;150;148;0;149;149;138;137
2020-12-27 03:45:00;41;41;43;41;0;41;42;42;41
2020-12-27 04:00:00;75;74;75;76;0;76;77;74;73
2020-12-27 04:15:00;47;47;48;47;0;49;50;48;46
2020-12-27 04:30:00;85;84;83;84;0;84;84;80;82
2020-12-27 04:45:00;68;68;70;68;0;70;68;69;70
2020-12-27 05:00:00;80;81;82;79;0;81;79;77;78
2020-12-27 05:15:00;85;86;85;84;0;85;88;80;84
2020-12-27 05:30:00;11;13;9;6;1;6;5;5;5
2020-12-27 05:45:00;5;6;7;2;0;5;9;2;2
2020-12-27 06:00:00;2;5;3;1;1;3;1;0;0
2020-12-27 06:15:00;57;50;50;51;0;56;51;49;49
2020-12-27 06:30:00;9;11;11;10;0;10;10;10;11
2020-12-27 06:45:00;3;6;2;0;0;4;0;0;0
2020-12-27 07:00:00;5;7;6;1;1;10;6;0;0
2020-12-27 07:15:00;5;4;3;1;1;7;3;1;3
2020-12-27 07:30:00;4;13;8;2;1;8;6;2;2
2020-12-27 07:45:00;7;7;3;0;0;7;3;0;0
2020-12-27 08:00:00;7;1;10;2;3;20;10;0;5
2020-12-27 08:15:00;11;3;4;2;3;11;3;3;4
2020-12-27 08:30:00;10;8;14;4;3;16;11;5;6
2020-12-27 08:45:00;13;12;11;6;0;15;11;5;4
2020-12-27 09:00:00;16;10;17;1;4;24;13;5;9
2020-12-27 09:15:00;12;10;6;0;4;22;6;5;6
2020-12-27 09:30:00;15;16;7;1;8;13;5;2;6
2020-12-27 09:45:00;16;12;18;4;9;31;17;6;6
2020-12-27 10:00:00;14;24;23;12;7;34;13;6;7
2020-12-27 10:15:00;19;26;24;9;10;28;13;2;4
2020-12-27 10:30:00;22;21;16;7;9;29;18;5;14
2020-12-27 10:45:00;31;27;21;5;6;42;20;4;4
2020-12-27 11:00:00;33;25;22;8;9;35;12;4;7
2020-12-27 11:15:00;43;20;28;3;5;43;25;1;7
2020-12-27 11:30:00;22;34;24;10;11;18;24;9;8
2020-12-27 11:45:00;34;34;34;9;10;45;32;8;14
2020-12-27 12:00:00;27;25;19;12;12;40;19;3;7
2020-12-27 12:15:00;32;23;29;6;9;37;26;8;10
2020-12-27 12:30:00;27;39;25;9;6;49;17;7;8
