DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2019-11-28 00:00:00;0;6;7;9;4;0;0
2019-11-28 00:15:00;0;6;8;11;7;3;3
2019-11-28 00:30:00;0;11;8;10;5;0;0
2019-11-28 00:45:00;0;8;4;7;5;1;1
2019-11-28 01:00:00;0;8;4;6;7;0;0
2019-11-28 01:15:00;0;6;1;6;4;0;0
2019-11-28 01:30:00;0;5;2;7;5;0;0
2019-11-28 01:45:00;0;6;8;7;2;0;0
2019-11-28 02:00:00;0;3;1;9;1;0;0
2019-11-28 02:15:00;0;0;0;5;1;0;0
2019-11-28 02:30:00;0;1;2;5;5;0;0
2019-11-28 02:45:00;0;2;2;3;5;0;0
2019-11-28 03:00:00;0;7;0;4;0;0;0
2019-11-28 03:15:00;0;3;0;4;1;0;0
2019-11-28 03:30:00;0;4;3;9;4;0;0
2019-11-28 03:45:00;0;4;2;6;9;0;0
2019-11-28 04:00:00;0;3;1;9;6;0;0
2019-11-28 04:15:00;0;5;1;12;7;0;0
2019-11-28 04:30:00;0;20;7;21;8;0;0
2019-11-28 04:45:00;1;29;16;17;8;0;0
2019-11-28 05:00:00;0;65;58;31;22;0;0
2019-11-28 05:15:00;1;83;81;38;21;0;0
2019-11-28 05:30:00;3;72;78;36;30;2;2
2019-11-28 05:45:00;5;54;62;55;53;2;2
2019-11-28 06:00:00;3;65;78;67;82;5;5
2019-11-28 06:15:00;7;98;123;67;75;5;4
2019-11-28 06:30:00;11;99;135;62;90;7;8
2019-11-28 06:45:00;23;111;131;80;79;2;2
2019-11-28 07:00:00;24;157;157;83;67;6;6
2019-11-28 07:15:00;23;172;177;91;87;6;6
2019-11-28 07:30:00;86;163;150;92;111;2;2
2019-11-28 07:45:00;32;169;159;125;139;8;8
2019-11-28 08:00:00;12;115;124;111;103;4;4
2019-11-28 08:15:00;28;125;136;101;86;3;3
2019-11-28 08:30:00;4;117;111;94;101;6;6
2019-11-28 08:45:00;25;105;110;105;126;2;2
2019-11-28 09:00:00;10;103;123;104;85;3;3
2019-11-28 09:15:00;14;92;117;102;85;4;4
2019-11-28 09:30:00;8;125;131;106;97;4;4
2019-11-28 09:45:00;11;119;107;121;120;3;3
2019-11-28 10:00:00;24;110;101;134;121;2;2
2019-11-28 10:15:00;6;112;114;113;108;4;4
2019-11-28 10:30:00;5;101;86;102;107;3;3
2019-11-28 10:45:00;4;105;79;118;101;5;5
2019-11-28 11:00:00;12;104;106;89;114;4;4
2019-11-28 11:15:00;55;94;25;111;129;2;2
2019-11-28 11:30:00;19;99;50;97;121;7;7
2019-11-28 11:45:00;18;108;90;120;117;2;2
2019-11-28 12:00:00;11;105;101;125;116;4;4
2019-11-28 12:15:00;48;83;70;119;143;2;2
2019-11-28 12:30:00;18;114;108;117;143;5;5
2019-11-28 12:45:00;18;93;98;126;132;3;3
2019-11-28 13:00:00;10;106;125;128;126;3;3
2019-11-28 13:15:00;38;111;111;122;148;9;8
2019-11-28 13:30:00;6;127;112;105;129;5;5
2019-11-28 13:45:00;16;125;112;124;140;4;4
2019-11-28 14:00:00;20;113;94;124;127;3;3
2019-11-28 14:15:00;31;89;105;140;157;3;3
2019-11-28 14:30:00;14;124;115;127;141;5;5
2019-11-28 14:45:00;14;131;132;162;171;3;3
2019-11-28 15:00:00;13;101;107;149;162;5;5
2019-11-28 15:15:00;13;124;121;141;175;2;2
2019-11-28 15:30:00;37;120;101;161;174;3;3
2019-11-28 15:45:00;19;119;124;155;201;6;6
2019-11-28 16:00:00;29;127;132;146;165;2;2
2019-11-28 16:15:00;20;122;107;153;168;4;4
2019-11-28 16:30:00;16;135;115;142;194;3;3
2019-11-28 16:45:00;18;143;132;176;207;6;6
2019-11-28 17:00:00;22;121;120;160;184;3;3
2019-11-28 17:15:00;16;142;116;179;202;4;4
2019-11-28 17:30:00;8;133;132;154;192;3;3
2019-11-28 17:45:00;34;113;114;154;185;4;4
2019-11-28 18:00:00;13;114;110;141;156;5;5
2019-11-28 18:15:00;20;114;115;125;155;3;3
2019-11-28 18:30:00;15;87;103;120;129;5;5
2019-11-28 18:45:00;3;96;114;112;115;4;4
2019-11-28 19:00:00;11;90;76;111;110;3;3
2019-11-28 19:15:00;23;72;73;113;97;3;3
2019-11-28 19:30:00;9;84;78;95;90;4;4
2019-11-28 19:45:00;6;72;72;95;79;3;3
2019-11-28 20:00:00;1;56;65;93;77;3;3
2019-11-28 20:15:00;6;57;56;102;86;2;2
2019-11-28 20:30:00;3;69;64;68;66;1;1
2019-11-28 20:45:00;4;60;61;82;72;3;3
2019-11-28 21:00:00;11;63;71;66;59;3;3
2019-11-28 21:15:00;5;41;57;64;52;1;1
2019-11-28 21:30:00;1;39;42;100;69;1;1
2019-11-28 21:45:00;0;29;17;67;81;1;1
2019-11-28 22:00:00;4;33;32;75;83;3;3
2019-11-28 22:15:00;9;33;36;92;94;2;2
2019-11-28 22:30:00;0;37;25;56;54;2;2
2019-11-28 22:45:00;0;27;22;52;35;1;1
2019-11-28 23:00:00;0;17;17;39;32;2;2
2019-11-28 23:15:00;0;25;10;37;26;1;1
2019-11-28 23:30:00;0;17;16;27;21;1;1
2019-11-28 23:45:00;0;9;6;27;24;0;0
