DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-12-01 00:00:00;9;1;1;4;0;11;0;0;0
2020-12-01 00:15:00;2;1;0;4;0;12;1;0;0
2020-12-01 00:30:00;4;2;1;3;0;13;1;0;0
2020-12-01 00:45:00;2;3;0;3;0;12;1;0;0
2020-12-01 01:00:00;2;2;0;2;0;14;0;0;0
2020-12-01 01:15:00;2;1;0;1;0;12;1;0;0
2020-12-01 01:30:00;0;0;0;1;0;14;1;0;0
2020-12-01 01:45:00;3;0;0;4;0;12;1;0;0
2020-12-01 02:00:00;4;3;0;2;0;14;1;0;0
2020-12-01 02:15:00;2;0;0;4;0;12;0;0;0
2020-12-01 02:30:00;1;0;0;2;0;13;1;0;0
2020-12-01 02:45:00;3;0;0;1;0;12;1;0;0
2020-12-01 03:00:00;4;0;0;1;0;14;1;0;0
2020-12-01 03:15:00;7;1;0;1;0;12;1;0;0
2020-12-01 03:30:00;7;2;0;3;0;14;1;0;0
2020-12-01 03:45:00;4;1;0;5;0;12;0;0;0
2020-12-01 04:00:00;3;1;0;9;0;13;1;0;0
2020-12-01 04:15:00;7;1;0;9;0;12;1;0;0
2020-12-01 04:30:00;15;5;0;22;0;14;1;0;0
2020-12-01 04:45:00;32;1;1;10;0;12;0;0;0
2020-12-01 05:00:00;69;4;0;27;0;11;1;0;0
2020-12-01 05:15:00;109;6;0;53;0;9;1;0;0
2020-12-01 05:30:00;121;18;4;117;0;11;0;0;0
2020-12-01 05:45:00;127;28;4;122;0;9;1;0;0
2020-12-01 06:00:00;116;37;4;160;0;11;1;0;0
2020-12-01 06:15:00;106;25;3;131;0;9;0;0;0
2020-12-01 06:30:00;114;27;3;181;0;10;1;0;0
2020-12-01 06:45:00;110;22;10;128;0;10;0;0;0
2020-12-01 07:00:00;82;26;8;145;0;10;1;0;0
2020-12-01 07:15:00;85;15;5;148;1;11;1;0;0
2020-12-01 07:30:00;86;28;5;154;0;9;0;0;0
2020-12-01 07:45:00;78;32;12;167;1;10;1;0;0
2020-12-01 08:00:00;116;23;12;194;1;10;1;0;0
2020-12-01 08:15:00;106;16;10;146;0;10;0;0;0
2020-12-01 08:30:00;97;17;11;146;0;9;1;0;0
2020-12-01 08:45:00;81;20;13;109;0;10;0;0;0
2020-12-01 09:00:00;75;21;10;101;0;13;1;0;0
2020-12-01 09:15:00;78;15;7;109;0;13;1;0;0
2020-12-01 09:30:00;82;14;12;97;0;13;0;0;0
2020-12-01 09:45:00;81;26;13;97;0;13;1;0;0
2020-12-01 10:00:00;78;16;9;64;0;13;1;0;0
2020-12-01 10:15:00;70;14;11;94;3;12;0;0;0
2020-12-01 10:30:00;83;19;14;111;3;13;1;0;0
2020-12-01 10:45:00;79;21;14;81;2;13;1;0;0
2020-12-01 11:00:00;81;20;16;83;0;13;0;0;0
2020-12-01 11:15:00;98;21;13;81;1;13;1;0;0
2020-12-01 11:30:00;107;25;20;112;0;13;1;0;0
2020-12-01 11:45:00;100;20;14;98;4;13;1;0;0
2020-12-01 12:00:00;80;15;24;83;0;12;0;0;0
2020-12-01 12:15:00;117;16;9;101;0;13;1;0;0
2020-12-01 12:30:00;95;22;13;101;18;13;1;0;0
2020-12-01 12:45:00;136;26;12;97;1;13;0;0;0
2020-12-01 13:00:00;119;18;15;116;0;13;1;0;0
2020-12-01 13:15:00;139;20;15;116;1;9;1;0;0
2020-12-01 13:30:00;146;15;20;136;11;10;0;0;0
2020-12-01 13:45:00;139;27;14;146;10;10;1;0;0
2020-12-01 14:00:00;155;22;15;124;0;10;1;0;0
2020-12-01 14:15:00;136;24;15;169;0;10;0;0;0
2020-12-01 14:30:00;128;18;13;158;1;10;1;0;0
2020-12-01 14:45:00;140;27;15;172;0;10;0;0;0
2020-12-01 15:00:00;149;28;15;169;4;10;1;0;0
2020-12-01 15:15:00;145;34;20;163;6;10;1;0;0
2020-12-01 15:30:00;143;19;15;132;1;10;0;0;0
2020-12-01 15:45:00;163;17;15;134;0;10;1;0;0
2020-12-01 16:00:00;136;17;15;138;0;10;1;0;0
2020-12-01 16:15:00;151;24;9;132;6;10;0;0;0
2020-12-01 16:30:00;145;24;18;148;4;10;1;0;0
2020-12-01 16:45:00;139;19;13;155;0;10;0;0;0
2020-12-01 17:00:00;133;23;25;104;0;10;1;0;0
2020-12-01 17:15:00;128;25;15;120;1;10;1;0;0
2020-12-01 17:30:00;100;12;19;102;3;10;0;0;0
2020-12-01 17:45:00;108;22;13;128;0;10;1;0;0
2020-12-01 18:00:00;105;14;10;108;0;10;1;0;0
2020-12-01 18:15:00;94;13;11;88;0;10;0;0;0
2020-12-01 18:30:00;83;16;8;65;0;10;1;0;0
2020-12-01 18:45:00;62;6;7;59;0;10;0;0;0
2020-12-01 19:00:00;73;10;5;50;0;10;1;0;0
2020-12-01 19:15:00;51;11;5;59;0;10;1;0;0
2020-12-01 19:30:00;47;6;3;43;1;10;0;0;0
2020-12-01 19:45:00;51;9;4;32;0;10;1;0;0
2020-12-01 20:00:00;49;7;1;36;0;12;1;0;0
2020-12-01 20:15:00;44;9;1;36;0;13;0;0;0
2020-12-01 20:30:00;36;3;2;38;0;12;1;0;0
2020-12-01 20:45:00;58;5;2;36;0;14;1;0;0
2020-12-01 21:00:00;76;9;1;39;0;12;1;0;0
2020-12-01 21:15:00;105;6;0;46;0;13;0;0;0
2020-12-01 21:30:00;48;7;0;78;0;12;1;0;0
2020-12-01 21:45:00;53;19;0;127;0;14;1;0;0
2020-12-01 22:00:00;43;12;0;65;0;9;1;0;0
2020-12-01 22:15:00;28;10;0;23;0;11;0;0;0
2020-12-01 22:30:00;20;3;0;18;0;9;1;0;0
2020-12-01 22:45:00;12;4;1;10;0;13;1;0;0
2020-12-01 23:00:00;11;3;0;11;0;12;0;0;0
2020-12-01 23:15:00;12;3;0;10;0;13;1;0;0
2020-12-01 23:30:00;3;2;0;4;0;12;1;0;0
