DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-11-07 00:00:00;0;6;3;0;0;4;0;0;5;1;1;0;0;0;0;0;0
2020-11-07 00:15:00;0;2;6;0;0;6;0;0;5;0;0;0;0;0;0;0;0
2020-11-07 00:30:00;0;6;3;0;0;4;0;0;4;0;0;1;0;0;0;0;0
2020-11-07 00:45:00;1;3;6;2;2;6;2;1;9;3;0;1;0;0;0;0;0
2020-11-07 01:00:00;0;2;5;0;0;6;0;0;6;1;0;1;0;0;0;0;0
2020-11-07 01:15:00;0;2;3;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-11-07 01:30:00;0;2;1;0;0;6;0;0;6;1;0;0;0;0;0;0;0
2020-11-07 01:45:00;1;1;2;2;2;2;2;1;4;2;3;1;0;0;0;0;0
2020-11-07 02:00:00;0;1;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0
2020-11-07 02:15:00;0;2;4;0;0;5;0;0;4;0;0;2;0;0;0;0;0
2020-11-07 02:30:00;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0
2020-11-07 02:45:00;0;0;0;2;2;3;2;2;3;1;0;0;0;0;0;0;0
2020-11-07 03:00:00;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-11-07 03:15:00;0;4;0;1;1;3;1;0;5;0;0;0;0;0;0;0;0
2020-11-07 03:30:00;0;0;0;1;1;0;1;2;1;1;0;0;0;0;0;0;0
2020-11-07 03:45:00;0;3;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-11-07 04:00:00;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-11-07 04:15:00;1;3;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-11-07 04:30:00;0;1;0;0;0;4;0;0;5;0;1;0;0;0;0;0;0
2020-11-07 04:45:00;1;4;1;0;0;2;0;0;2;0;3;3;1;0;0;0;0
2020-11-07 05:00:00;0;3;1;0;0;2;0;0;2;0;1;1;0;0;0;0;0
2020-11-07 05:15:00;1;6;2;0;0;5;0;0;6;0;0;1;0;0;0;0;0
2020-11-07 05:30:00;3;15;1;0;0;4;0;0;3;0;0;2;0;0;0;0;0
2020-11-07 05:45:00;2;5;3;0;0;6;0;0;6;0;2;4;0;0;0;0;0
2020-11-07 06:00:00;0;10;4;0;0;8;0;0;8;0;1;1;0;0;0;0;0
2020-11-07 06:15:00;5;10;1;2;2;6;2;1;8;2;4;2;0;0;0;0;0
2020-11-07 06:30:00;1;17;1;0;0;11;0;0;10;0;1;3;0;0;0;0;0
2020-11-07 06:45:00;1;13;8;1;1;11;1;0;12;1;2;1;0;0;0;0;0
2020-11-07 07:00:00;0;16;7;1;1;11;1;0;12;0;0;0;0;0;0;0;0
2020-11-07 07:15:00;5;14;4;0;1;14;0;1;14;1;1;1;0;0;0;0;0
2020-11-07 07:30:00;4;18;8;1;2;28;1;1;28;3;2;6;0;0;0;0;0
