DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2019-11-20 00:00:00;8;15;13;7;3;3;0
2019-11-20 00:15:00;14;9;11;5;0;1;0
2019-11-20 00:30:00;10;9;14;11;0;5;0
2019-11-20 00:45:00;11;14;16;5;0;1;0
2019-11-20 01:00:00;9;12;12;7;0;1;0
2019-11-20 01:15:00;6;11;8;10;1;3;0
2019-11-20 01:30:00;4;10;10;2;0;1;0
2019-11-20 01:45:00;11;10;10;11;1;3;0
2019-11-20 02:00:00;9;7;5;5;1;2;0
2019-11-20 02:15:00;5;6;10;11;0;1;0
2019-11-20 02:30:00;5;3;7;5;1;0;0
2019-11-20 02:45:00;16;7;7;2;1;1;0
2019-11-20 03:00:00;6;5;5;2;0;1;0
2019-11-20 03:15:00;10;6;11;6;0;2;0
2019-11-20 03:30:00;5;4;8;5;0;0;0
2019-11-20 03:45:00;13;9;16;0;1;0;0
2019-11-20 04:00:00;8;8;9;4;0;0;0
2019-11-20 04:15:00;8;11;13;7;2;3;0
2019-11-20 04:30:00;13;16;28;4;1;2;0
2019-11-20 04:45:00;26;26;74;22;2;4;0
2019-11-20 05:00:00;36;42;143;61;3;10;0
2019-11-20 05:15:00;30;53;223;140;4;29;0
2019-11-20 05:30:00;54;90;245;157;13;26;0
2019-11-20 05:45:00;143;176;208;134;13;29;0
2019-11-20 06:00:00;174;233;203;142;20;31;0
2019-11-20 06:15:00;125;183;239;174;13;53;0
2019-11-20 06:30:00;83;111;213;217;20;66;0
2019-11-20 06:45:00;73;136;186;243;17;63;2
2019-11-20 07:00:00;77;113;190;234;33;72;0
2019-11-20 07:15:00;94;129;206;233;47;65;0
2019-11-20 07:30:00;90;139;226;226;18;69;3
2019-11-20 07:45:00;79;116;210;244;130;70;0
2019-11-20 08:00:00;84;135;244;172;33;69;0
2019-11-20 08:15:00;77;130;252;178;20;61;0
2019-11-20 08:30:00;75;133;217;159;23;44;0
2019-11-20 08:45:00;72;141;213;158;26;56;0
2019-11-20 09:00:00;62;118;160;147;22;24;0
2019-11-20 09:15:00;59;120;135;136;24;28;0
2019-11-20 09:30:00;70;133;162;148;56;24;0
2019-11-20 09:45:00;62;131;152;140;28;18;0
2019-11-20 10:00:00;67;156;149;148;33;29;0
2019-11-20 10:15:00;68;142;138;109;30;23;0
2019-11-20 10:30:00;77;144;143;128;31;29;0
2019-11-20 10:45:00;64;124;117;134;20;27;0
2019-11-20 11:00:00;87;164;124;135;27;38;0
2019-11-20 11:15:00;92;149;145;143;37;28;0
2019-11-20 11:30:00;107;161;130;153;28;35;1
2019-11-20 11:45:00;96;148;146;142;27;31;0
2019-11-20 12:00:00;109;182;119;136;44;32;12
2019-11-20 12:15:00;111;183;120;128;22;34;0
2019-11-20 12:30:00;105;165;102;125;11;36;1
2019-11-20 12:45:00;108;182;143;136;63;22;0
2019-11-20 13:00:00;114;169;156;154;16;43;0
2019-11-20 13:15:00;117;181;217;202;16;36;0
2019-11-20 13:30:00;139;201;198;149;46;58;0
2019-11-20 13:45:00;130;196;199;173;14;35;0
2019-11-20 14:00:00;154;216;188;240;17;32;0
2019-11-20 14:15:00;196;269;130;122;63;23;0
2019-11-20 14:30:00;227;293;110;124;25;27;0
2019-11-20 14:45:00;209;289;111;141;21;29;0
2019-11-20 15:00:00;213;301;117;132;25;38;0
2019-11-20 15:15:00;217;312;110;147;20;37;0
2019-11-20 15:30:00;201;262;136;154;21;29;0
2019-11-20 15:45:00;211;283;120;152;17;23;0
2019-11-20 16:00:00;232;293;125;156;42;41;0
2019-11-20 16:15:00;137;293;125;149;91;35;5
2019-11-20 16:30:00;46;313;119;160;19;26;0
2019-11-20 16:45:00;40;305;139;155;16;31;0
2019-11-20 17:00:00;60;278;126;137;34;37;0
2019-11-20 17:15:00;212;282;134;182;25;37;0
2019-11-20 17:30:00;200;238;127;149;25;32;1
2019-11-20 17:45:00;215;292;137;162;18;37;0
2019-11-20 18:00:00;170;242;126;147;23;22;0
2019-11-20 18:15:00;154;198;126;147;22;37;0
2019-11-20 18:30:00;139;192;106;145;25;33;0
2019-11-20 18:45:00;109;164;115;114;18;19;0
2019-11-20 19:00:00;106;159;97;141;14;22;0
2019-11-20 19:15:00;95;145;92;97;8;22;0
2019-11-20 19:30:00;92;137;75;90;312;16;0
2019-11-20 19:45:00;78;106;71;67;7;15;0
2019-11-20 20:00:00;77;107;65;68;7;14;0
2019-11-20 20:15:00;76;109;76;80;3;10;0
2019-11-20 20:30:00;50;63;80;62;1;10;0
2019-11-20 20:45:00;66;81;98;61;8;18;0
2019-11-20 21:00:00;54;75;149;81;4;10;0
2019-11-20 21:15:00;60;77;231;114;6;21;0
2019-11-20 21:30:00;61;76;129;82;3;12;0
2019-11-20 21:45:00;132;161;87;61;4;18;0
2019-11-20 22:00:00;182;218;50;35;6;12;0
2019-11-20 22:15:00;118;153;49;41;2;5;0
2019-11-20 22:30:00;42;45;45;32;2;6;0
2019-11-20 22:45:00;39;46;49;22;4;5;0
2019-11-20 23:00:00;25;32;20;15;0;3;0
2019-11-20 23:15:00;19;26;27;16;2;7;0
2019-11-20 23:30:00;19;23;14;9;0;3;0
2019-11-20 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
