DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-07-13 00:00:00;0;2;3;1;2;10;1;1;9;1;0;1;1;0;0;0;0
2020-07-13 00:15:00;3;3;1;0;0;8;0;0;8;0;0;0;0;0;0;0;0
2020-07-13 00:30:00;1;3;2;0;0;5;0;0;4;0;0;0;0;0;0;0;0
2020-07-13 00:45:00;0;7;0;1;1;6;1;0;6;0;0;0;0;0;0;0;0
2020-07-13 01:00:00;0;0;1;1;0;4;2;0;5;0;2;0;0;0;0;0;0
2020-07-13 01:15:00;1;5;3;1;1;8;2;0;9;0;1;1;0;0;0;0;0
2020-07-13 01:30:00;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2020-07-13 01:45:00;1;7;1;0;0;4;0;0;5;0;0;0;0;0;0;0;0
2020-07-13 02:00:00;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-07-13 02:15:00;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2020-07-13 02:30:00;0;2;2;0;0;3;0;0;4;1;0;0;0;0;0;0;0
2020-07-13 02:45:00;0;3;2;0;0;7;0;0;5;1;0;0;0;0;0;0;0
2020-07-13 03:00:00;3;5;2;0;0;3;0;0;3;1;0;0;0;0;0;0;0
2020-07-13 03:15:00;0;4;1;1;0;2;1;0;4;0;0;0;0;0;0;0;0
2020-07-13 03:30:00;2;3;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0
2020-07-13 03:45:00;0;7;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0
2020-07-13 04:00:00;1;6;4;1;0;2;1;0;2;1;3;3;0;0;0;0;0
2020-07-13 04:15:00;1;1;2;0;0;3;0;0;4;0;0;0;0;0;0;0;0
2020-07-13 04:30:00;1;5;1;0;0;8;0;0;8;0;1;3;0;0;0;0;0
2020-07-13 04:45:00;1;11;2;0;0;6;0;0;5;0;0;0;0;0;0;0;0
2020-07-13 05:00:00;4;26;6;0;0;9;0;0;9;0;1;4;0;0;0;0;0
2020-07-13 05:15:00;4;18;8;0;0;12;0;0;10;0;0;3;0;0;0;0;0
2020-07-13 05:30:00;10;34;13;1;0;25;1;0;28;1;1;6;0;0;0;0;0
2020-07-13 05:45:00;10;26;18;5;3;35;8;2;34;9;2;7;0;0;0;0;0
2020-07-13 06:00:00;14;37;8;2;1;52;2;1;51;5;2;4;0;0;0;0;0
2020-07-13 06:15:00;4;34;16;7;0;66;5;0;69;6;1;3;0;0;0;0;0
2020-07-13 06:30:00;6;54;33;4;2;79;4;1;84;5;5;5;0;0;0;0;0
2020-07-13 06:45:00;6;46;30;6;4;122;6;2;118;9;5;8;0;0;0;0;0
2020-07-13 07:00:00;6;54;37;11;8;117;9;4;114;12;9;10;0;0;0;0;0
2020-07-13 07:15:00;9;63;38;4;2;148;5;2;143;5;4;13;258;0;0;0;0
2020-07-13 07:30:00;8;62;41;6;5;124;9;4;120;12;7;11;0;0;0;0;0
2020-07-13 07:45:00;14;70;63;5;3;130;7;1;131;8;9;12;0;0;0;0;0
2020-07-13 08:00:00;7;58;42;6;3;102;10;2;100;6;5;7;0;0;0;0;0
2020-07-13 08:15:00;7;60;31;8;1;101;7;0;100;4;7;17;0;0;0;0;0
2020-07-13 08:30:00;7;60;40;5;3;77;8;2;78;7;254;14;0;0;0;0;0
2020-07-13 08:45:00;6;60;38;3;4;88;2;2;90;4;14;10;0;0;0;0;0
2020-07-13 09:00:00;10;53;38;4;1;54;4;1;58;2;3;13;0;0;0;0;0
2020-07-13 09:15:00;5;70;39;4;3;50;5;3;54;7;67;5;0;0;0;0;0
2020-07-13 09:30:00;6;67;37;1;1;72;5;0;76;2;573;14;0;0;0;0;0
2020-07-13 09:45:00;10;61;40;3;1;68;9;0;71;6;7;16;1;0;0;0;0
2020-07-13 10:00:00;7;65;36;3;3;52;4;1;57;3;781;8;0;0;0;0;0
2020-07-13 10:15:00;14;75;42;4;1;56;7;0;60;1;262;12;2;0;0;0;0
2020-07-13 10:30:00;3;70;51;1;0;50;1;0;54;1;261;8;0;0;0;0;0
2020-07-13 10:45:00;11;69;46;2;1;40;2;0;41;1;17;6;0;0;0;0;0
2020-07-13 11:00:00;9;84;53;2;1;42;2;0;42;1;262;8;0;0;0;0;0
2020-07-13 11:15:00;11;68;31;3;3;54;4;0;58;3;271;7;1;0;0;0;0
2020-07-13 11:30:00;16;72;68;4;1;51;8;1;53;5;8;4;0;0;0;0;0
2020-07-13 11:45:00;10;85;50;4;3;41;3;1;48;3;541;9;0;0;0;0;0
2020-07-13 12:00:00;11;85;53;6;4;46;9;3;51;8;517;11;1;0;0;0;0
2020-07-13 12:15:00;11;85;70;4;2;52;4;1;54;5;263;9;1;0;0;0;0
2020-07-13 12:30:00;12;87;44;4;1;50;4;1;53;4;4;9;0;0;0;0;0
2020-07-13 12:45:00;21;96;37;61;2;70;11;1;74;5;3;11;3;0;0;0;0
2020-07-13 13:00:00;7;87;52;3;3;51;7;0;57;2;2;11;0;0;0;0;0
2020-07-13 13:15:00;5;80;50;2;1;52;2;0;47;1;3;3;0;0;0;0;0
2020-07-13 13:30:00;11;90;75;6;1;76;5;0;72;4;4;12;1;0;0;0;0
2020-07-13 13:45:00;14;83;48;6;6;66;9;8;71;6;5;8;0;0;0;0;0
2020-07-13 14:00:00;14;100;63;1;0;56;1;0;61;2;3;9;1;0;0;0;0
2020-07-13 14:15:00;13;84;53;4;2;69;4;1;75;4;11;10;0;0;0;0;0
2020-07-13 14:30:00;12;87;54;7;1;68;9;0;70;6;6;16;0;0;0;0;0
2020-07-13 14:45:00;8;107;64;3;1;51;3;1;52;2;8;12;0;0;0;0;0
2020-07-13 15:00:00;15;98;48;4;2;61;5;1;59;3;5;7;0;0;0;0;0
2020-07-13 15:15:00;14;111;73;5;2;94;7;2;91;2;2;7;0;0;0;0;0
2020-07-13 15:30:00;19;96;74;11;3;63;10;1;62;9;8;14;1;0;0;0;0
2020-07-13 15:45:00;10;114;74;3;1;72;5;0;65;3;16;10;0;0;0;0;0
2020-07-13 16:00:00;14;130;83;4;3;65;5;2;64;4;16;17;0;0;0;0;0
2020-07-13 16:15:00;9;106;97;6;1;85;5;1;91;7;20;12;0;0;0;0;0
2020-07-13 16:30:00;14;148;122;4;4;83;8;4;83;7;35;20;1;0;0;0;0
2020-07-13 16:45:00;16;137;92;5;3;96;6;1;105;5;25;15;0;0;0;0;0
2020-07-13 17:00:00;14;157;120;6;3;77;7;5;81;5;6;10;0;0;0;0;0
2020-07-13 17:15:00;13;144;93;6;4;94;8;3;94;5;19;11;0;0;0;0;0
2020-07-13 17:30:00;15;106;72;5;3;76;5;1;76;6;5;8;0;0;0;0;0
2020-07-13 17:45:00;12;95;70;5;5;96;9;4;97;6;270;19;0;0;0;0;0
2020-07-13 18:00:00;13;92;66;12;2;75;10;3;77;9;3;13;1;0;0;0;0
2020-07-13 18:15:00;7;86;48;6;6;67;6;4;68;8;5;9;258;0;0;0;0
2020-07-13 18:30:00;9;96;47;6;5;79;5;3;80;6;7;10;0;0;0;0;0
2020-07-13 18:45:00;13;67;44;2;2;55;3;0;57;2;3;8;0;0;0;0;0
2020-07-13 19:00:00;11;79;45;4;25;61;4;1;61;1;8;14;1;0;0;0;0
2020-07-13 19:15:00;5;57;23;1;1;54;1;1;53;4;4;14;0;0;0;0;0
2020-07-13 19:30:00;14;58;17;2;2;39;1;0;39;0;4;5;0;0;0;0;0
2020-07-13 19:45:00;4;34;26;3;0;32;2;0;38;1;6;10;0;0;0;0;0
2020-07-13 20:00:00;6;45;29;2;1;25;2;2;26;5;3;6;0;0;0;0;0
2020-07-13 20:15:00;8;53;19;1;0;32;2;1;34;1;1;5;0;0;0;0;0
2020-07-13 20:30:00;2;34;16;1;2;28;1;0;26;1;3;3;0;0;0;0;0
2020-07-13 20:45:00;4;30;13;1;0;35;2;0;37;1;1;4;0;0;0;0;0
2020-07-13 21:00:00;6;28;19;3;0;41;2;0;39;2;0;5;0;0;0;0;0
2020-07-13 21:15:00;0;19;13;0;3;25;2;1;29;1;3;7;0;0;0;0;0
2020-07-13 21:30:00;4;25;12;0;1;22;0;1;24;1;0;0;0;0;0;0;0
2020-07-13 21:45:00;10;20;11;1;0;20;1;0;22;2;1;6;0;0;0;0;0
2020-07-13 22:00:00;3;18;15;1;0;31;1;0;31;1;2;2;0;0;0;0;0
2020-07-13 22:15:00;1;14;10;1;1;19;1;0;17;2;2;0;0;0;0;0;0
2020-07-13 22:30:00;1;16;10;0;0;11;0;0;11;0;0;1;1;0;0;0;0
2020-07-13 22:45:00;2;13;7;0;0;21;0;0;19;1;0;0;0;0;0;0;0
2020-07-13 23:00:00;3;9;4;0;0;8;0;0;7;0;0;3;0;0;0;0;0
2020-07-13 23:15:00;1;10;6;1;0;10;1;0;10;1;0;0;0;0;0;0;0
2020-07-13 23:30:00;0;3;0;0;0;12;0;0;12;0;0;1;0;0;0;0;0
2020-07-13 23:45:00;6;9;2;1;2;11;1;0;10;1;1;0;0;0;0;0;0
