DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-08-14 00:00:00;0;1;4;0;0;11;6;3;0;2;3
2020-08-14 00:15:00;0;4;4;1;1;2;7;1;1;9;3
2020-08-14 00:30:00;2;2;3;0;0;2;1;2;0;4;2
2020-08-14 00:45:00;1;0;6;1;2;0;3;1;1;4;3
2020-08-14 01:00:00;0;0;1;1;1;1;2;2;1;4;1
2020-08-14 01:15:00;0;6;4;0;0;1;4;0;0;2;0
2020-08-14 01:30:00;1;3;2;1;1;1;3;2;1;3;1
2020-08-14 01:45:00;0;2;3;0;0;0;0;0;1;1;1
2020-08-14 02:00:00;0;1;1;0;0;1;4;0;0;0;0
2020-08-14 02:15:00;0;0;1;0;0;0;2;1;2;4;1
2020-08-14 02:30:00;0;1;2;0;0;2;2;0;1;4;0
2020-08-14 02:45:00;0;1;0;0;0;0;5;0;0;3;2
2020-08-14 03:00:00;0;0;2;0;0;0;1;1;0;0;2
2020-08-14 03:15:00;1;1;2;0;0;1;2;1;0;1;1
2020-08-14 03:30:00;1;0;0;0;0;1;1;1;0;1;1
2020-08-14 03:45:00;1;2;4;0;1;1;4;1;1;2;2
2020-08-14 04:00:00;0;2;2;0;0;0;1;0;0;1;0
2020-08-14 04:15:00;2;1;4;1;3;0;1;0;3;4;4
2020-08-14 04:30:00;0;1;5;1;1;0;1;0;0;1;1
2020-08-14 04:45:00;0;4;3;0;0;0;1;0;0;4;2
2020-08-14 05:00:00;2;3;4;1;1;1;3;0;0;7;5
2020-08-14 05:15:00;4;13;10;1;5;2;4;1;2;6;9
2020-08-14 05:30:00;3;24;9;0;2;3;6;2;4;12;5
2020-08-14 05:45:00;1;23;13;3;3;5;6;2;3;21;13
2020-08-14 06:00:00;2;11;9;1;2;3;5;3;5;15;6
2020-08-14 06:15:00;1;15;14;10;10;2;14;5;9;16;15
2020-08-14 06:30:00;7;22;19;6;10;4;15;1;6;17;14
2020-08-14 06:45:00;3;22;17;3;6;5;12;2;11;21;16
2020-08-14 07:00:00;3;26;25;5;8;5;14;6;5;13;9
