DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-01-16 00:00:00;4;4;0;2;14;9;0;14;10;0;0
2020-01-16 00:15:00;6;7;0;0;13;6;1;13;7;0;0
2020-01-16 00:30:00;9;4;1;0;14;9;0;12;11;0;0
2020-01-16 00:45:00;7;5;0;0;10;10;0;9;9;0;0
2020-01-16 01:00:00;6;4;1;1;10;8;1;9;7;0;0
2020-01-16 01:15:00;7;7;0;0;5;5;0;6;5;0;0
2020-01-16 01:30:00;8;6;0;0;7;5;0;7;3;0;0
2020-01-16 01:45:00;5;4;0;0;6;5;0;6;6;0;0
2020-01-16 02:00:00;9;9;2;0;4;5;0;6;6;0;0
2020-01-16 02:15:00;3;3;0;0;6;6;0;5;6;0;0
2020-01-16 02:30:00;8;8;0;0;1;3;1;2;2;0;0
2020-01-16 02:45:00;4;3;1;2;3;3;0;4;3;0;0
2020-01-16 03:00:00;3;3;0;0;6;4;0;6;5;0;0
2020-01-16 03:15:00;7;5;0;0;8;5;0;8;7;1;0
2020-01-16 03:30:00;3;3;0;0;6;0;0;6;0;0;0
2020-01-16 03:45:00;7;7;0;1;14;4;0;13;3;0;0
2020-01-16 04:00:00;7;8;0;1;7;6;1;8;9;0;0
2020-01-16 04:15:00;13;9;0;0;7;6;0;7;9;0;0
2020-01-16 04:30:00;22;17;6;2;7;6;0;7;7;0;0
2020-01-16 04:45:00;23;24;4;0;14;10;0;14;14;0;0
2020-01-16 05:00:00;28;29;1;1;32;22;0;32;24;0;0
2020-01-16 05:15:00;26;41;2;3;36;19;0;37;26;0;0
2020-01-16 05:30:00;77;74;4;3;54;31;2;56;37;0;0
2020-01-16 05:45:00;67;77;15;3;83;45;3;83;47;0;0
2020-01-16 06:00:00;67;95;24;4;96;54;1;91;55;0;2
2020-01-16 06:15:00;61;97;21;11;88;69;5;88;67;0;0
2020-01-16 06:30:00;107;140;24;14;120;108;5;129;114;0;16
2020-01-16 06:45:00;101;154;25;2;119;122;3;123;127;0;3
2020-01-16 07:00:00;99;134;18;9;134;131;8;136;144;2;1
2020-01-16 07:15:00;100;123;13;19;168;192;12;169;193;5;23
2020-01-16 07:30:00;88;134;12;9;165;165;7;159;165;3;5
2020-01-16 07:45:00;105;139;12;8;122;133;8;122;138;3;1
2020-01-16 08:00:00;94;139;11;10;117;122;7;104;127;4;2
2020-01-16 08:15:00;90;130;13;6;119;127;3;120;134;4;4
2020-01-16 08:30:00;71;142;14;11;99;100;7;101;97;3;23
2020-01-16 08:45:00;90;117;9;5;101;100;3;98;106;4;1
2020-01-16 09:00:00;76;90;5;8;102;89;9;102;95;5;3
2020-01-16 09:15:00;56;81;15;10;97;77;10;95;83;7;14
2020-01-16 09:30:00;77;76;7;18;101;75;5;100;92;6;0
2020-01-16 09:45:00;80;97;7;8;98;89;12;93;89;8;0
2020-01-16 10:00:00;83;87;11;18;77;72;10;68;89;7;0
2020-01-16 10:15:00;106;112;11;11;81;73;10;85;78;9;3
2020-01-16 10:30:00;87;100;12;6;82;85;4;83;88;3;1
2020-01-16 10:45:00;78;96;19;5;94;78;8;88;83;3;5
2020-01-16 11:00:00;93;102;12;5;76;78;7;75;95;13;1
2020-01-16 11:15:00;81;98;9;13;103;89;6;94;103;7;2
2020-01-16 11:30:00;82;90;6;6;80;72;6;81;78;4;1
2020-01-16 11:45:00;90;124;17;7;85;89;14;81;98;6;5
2020-01-16 12:00:00;86;88;5;8;98;90;6;89;94;7;1
2020-01-16 12:15:00;90;100;10;7;86;107;5;93;115;7;5
2020-01-16 12:30:00;76;102;13;6;89;113;6;83;116;13;5
2020-01-16 12:45:00;87;105;12;10;87;97;8;85;102;6;8
2020-01-16 13:00:00;97;128;13;10;83;95;4;81;102;4;2
2020-01-16 13:15:00;100;131;6;11;89;97;7;79;104;6;3
2020-01-16 13:30:00;72;113;13;10;113;109;6;102;118;12;3
2020-01-16 13:45:00;80;97;10;9;100;99;11;97;106;9;8
2020-01-16 14:00:00;74;130;17;6;99;98;5;94;106;7;9
2020-01-16 14:15:00;77;122;12;9;90;101;8;95;102;7;4
2020-01-16 14:30:00;103;144;15;25;119;113;10;110;118;7;5
2020-01-16 14:45:00;96;100;6;8;108;118;7;105;125;6;1
2020-01-16 15:00:00;94;143;18;16;108;116;9;107;113;10;2
2020-01-16 15:15:00;104;138;24;16;108;112;11;101;115;3;2
2020-01-16 15:30:00;112;156;18;30;116;136;12;118;134;17;4
2020-01-16 15:45:00;102;149;21;24;125;162;11;125;160;14;10
2020-01-16 16:00:00;104;163;12;25;117;135;10;115;142;11;25
2020-01-16 16:15:00;127;167;17;34;140;165;5;132;173;12;12
