DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2019-11-09 00:00:00;8;7;0;0;9;9;9;7;9;1;1;0;0
2019-11-09 00:15:00;9;8;1;0;12;17;18;10;10;3;96;0;0
2019-11-09 00:30:00;8;6;1;0;14;19;16;8;10;5;238;0;0
2019-11-09 00:45:00;3;4;0;0;10;14;9;9;4;1;88;0;0
2019-11-09 01:00:00;5;4;0;1;6;8;5;4;8;2;7;0;0
2019-11-09 01:15:00;7;6;1;0;6;13;11;6;5;1;0;0;0
2019-11-09 01:30:00;7;5;0;0;7;10;9;6;3;0;0;0;1
2019-11-09 01:45:00;4;6;2;0;2;3;11;8;2;1;7;0;0
2019-11-09 02:00:00;1;2;0;0;3;7;10;6;6;2;143;0;0
2019-11-09 02:15:00;2;3;0;0;9;8;5;3;3;1;93;0;0
2019-11-09 02:30:00;0;2;1;0;5;5;6;0;7;2;87;0;0
2019-11-09 02:45:00;2;0;0;0;3;2;7;0;1;0;16;0;0
2019-11-09 03:00:00;3;6;3;0;4;3;1;3;4;2;12;0;0
2019-11-09 03:15:00;4;2;0;1;4;4;6;4;2;1;81;0;1
2019-11-09 03:30:00;1;4;0;0;2;3;1;1;2;1;18;0;0
2019-11-09 03:45:00;4;7;1;0;2;3;2;0;1;1;62;0;0
2019-11-09 04:00:00;5;3;0;0;4;4;1;1;5;1;58;0;0
2019-11-09 04:15:00;3;0;0;0;3;4;1;1;0;1;11;0;0
2019-11-09 04:30:00;3;0;0;0;2;3;5;3;0;0;2003;0;0
2019-11-09 04:45:00;4;4;1;0;5;6;1;0;1;0;1433;0;0
2019-11-09 05:00:00;0;1;0;0;4;4;4;2;1;0;319;0;0
2019-11-09 05:15:00;1;0;0;0;7;11;7;5;3;1;99;0;0
2019-11-09 05:30:00;4;3;0;0;8;6;22;11;14;40;301;0;0
2019-11-09 05:45:00;6;2;0;0;14;11;7;6;7;4;895;0;1
2019-11-09 06:00:00;6;4;0;0;23;11;11;3;4;2;347;0;0
2019-11-09 06:15:00;6;6;0;0;18;15;16;6;11;4;625;0;2
2019-11-09 06:30:00;5;8;0;0;16;14;15;10;6;4;951;0;0
2019-11-09 06:45:00;4;2;0;0;13;18;17;4;8;4;581;0;1
2019-11-09 07:00:00;8;4;0;0;10;16;12;7;6;4;1571;0;1
2019-11-09 07:15:00;9;3;2;0;13;9;13;4;18;5;205;0;1
2019-11-09 07:30:00;9;2;0;1;22;14;27;11;29;7;2;0;1
2019-11-09 07:45:00;13;8;0;4;29;31;31;18;59;28;0;1;0
2019-11-09 08:00:00;11;9;0;2;23;23;21;6;44;15;3;0;0
2019-11-09 08:15:00;14;10;1;3;28;21;32;5;22;17;114;1;2
2019-11-09 08:30:00;11;9;1;2;24;29;29;16;33;16;216;0;0
2019-11-09 08:45:00;18;15;4;6;46;51;37;16;33;15;281;0;0
2019-11-09 09:00:00;17;8;1;0;38;51;42;26;38;18;443;0;1
2019-11-09 09:15:00;26;10;0;3;39;48;43;27;52;13;638;1;1
2019-11-09 09:30:00;21;15;5;2;45;44;49;15;49;11;419;1;1
2019-11-09 09:45:00;20;18;1;2;40;48;42;17;56;17;970;0;0
2019-11-09 10:00:00;41;26;5;4;54;67;51;18;57;23;1002;1;2
2019-11-09 10:15:00;31;20;2;5;55;55;53;23;31;14;13;0;0
2019-11-09 10:30:00;40;20;5;2;47;60;60;16;45;14;46;0;0
2019-11-09 10:45:00;39;23;2;5;43;62;72;31;57;21;207;2;0
2019-11-09 11:00:00;31;17;2;4;57;52;59;26;42;12;994;6;1
2019-11-09 11:15:00;36;21;2;4;44;55;66;24;38;12;142;1;0
2019-11-09 11:30:00;32;18;2;0;48;63;61;29;38;13;16;0;2
2019-11-09 11:45:00;38;21;5;2;61;62;43;30;55;22;157;1;1
2019-11-09 12:00:00;54;48;7;2;68;81;64;33;60;24;328;1;1
2019-11-09 12:15:00;44;38;5;3;58;67;59;28;46;26;177;0;2
2019-11-09 12:30:00;42;26;7;3;67;71;69;28;42;22;11;3;0
2019-11-09 12:45:00;30;37;10;4;62;72;67;23;55;21;8;0;0
2019-11-09 13:00:00;45;32;6;2;63;73;67;26;49;27;2;5;1
2019-11-09 13:15:00;49;32;8;3;59;69;60;26;49;20;7;4;1
2019-11-09 13:30:00;39;33;3;3;85;80;62;27;48;23;4;2;0
2019-11-09 13:45:00;29;22;1;2;59;80;48;24;48;20;4;1;1
2019-11-09 14:00:00;28;24;3;3;68;73;68;30;45;18;13;3;1
2019-11-09 14:15:00;41;27;2;0;70;72;61;29;48;24;7;2;1
2019-11-09 14:30:00;42;27;3;3;59;59;61;30;55;21;56;1;1
2019-11-09 14:45:00;44;29;2;4;65;69;58;30;45;27;4;8;1
2019-11-09 15:00:00;41;36;4;4;73;78;61;30;35;18;11;5;3
