DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-04-27 00:00:00;4;1;1;0;0;5;1;5;0;2;0
2020-04-27 00:15:00;3;1;1;0;0;3;3;3;1;0;0
2020-04-27 00:30:00;5;2;0;0;0;2;4;2;1;3;0
2020-04-27 00:45:00;3;0;0;0;0;3;2;3;1;1;0
2020-04-27 01:00:00;6;1;4;0;0;2;2;2;1;3;0
2020-04-27 01:15:00;4;1;1;0;0;1;4;1;1;2;0
2020-04-27 01:30:00;4;1;1;0;0;0;2;0;7;7;0
2020-04-27 01:45:00;3;1;1;0;0;7;5;7;0;2;0
2020-04-27 02:00:00;2;0;0;0;0;5;4;6;1;5;0
2020-04-27 02:15:00;4;3;2;0;0;2;4;2;2;1;0
2020-04-27 02:30:00;5;6;6;0;0;6;2;6;1;6;0
2020-04-27 02:45:00;3;0;0;0;0;1;1;1;2;2;0
2020-04-27 03:00:00;3;2;0;0;0;1;2;1;1;2;0
2020-04-27 03:15:00;7;3;1;0;0;2;2;2;0;3;0
2020-04-27 03:30:00;9;2;1;0;0;2;1;2;2;5;0
2020-04-27 03:45:00;7;1;1;0;1;3;0;3;2;5;0
2020-04-27 04:00:00;5;2;1;0;0;3;3;3;2;4;0
2020-04-27 04:15:00;8;1;1;0;0;6;3;6;3;2;0
2020-04-27 04:30:00;13;3;1;0;0;11;4;11;1;4;0
2020-04-27 04:45:00;14;3;2;0;0;8;5;8;2;6;0
2020-04-27 05:00:00;20;2;1;0;0;20;3;20;2;4;0
2020-04-27 05:15:00;29;2;1;0;0;22;3;22;3;4;0
2020-04-27 05:30:00;25;1;0;0;0;18;0;19;1;3;0
2020-04-27 05:45:00;
2020-04-27 06:00:00;56;1;1;0;0;53;8;53;3;4;0
2020-04-27 06:15:00;84;4;4;0;0;35;7;35;8;10;0
2020-04-27 06:30:00;139;3;3;0;0;70;6;69;4;6;0
2020-04-27 06:45:00;154;6;4;0;0;56;8;56;4;4;0
2020-04-27 07:00:00;147;3;2;0;1;38;5;38;3;4;0
2020-04-27 07:15:00;132;3;2;2;0;55;18;55;5;7;2
2020-04-27 07:30:00;140;8;5;0;0;53;8;53;6;6;0
2020-04-27 07:45:00;121;2;3;8;2;61;10;63;7;9;0
2020-04-27 08:00:00;124;5;3;0;0;46;13;46;6;5;0
2020-04-27 08:15:00;104;8;6;3;0;50;17;50;8;6;0
2020-04-27 08:30:00;88;2;1;0;3;44;17;44;8;11;0
2020-04-27 08:45:00;107;1;0;2;1;59;49;60;18;5;1
2020-04-27 09:00:00;102;6;4;0;9;76;75;77;57;23;0
2020-04-27 09:15:00;107;6;4;4;2;60;49;60;56;19;0
2020-04-27 09:30:00;109;2;2;1;1;63;42;63;52;20;1
2020-04-27 09:45:00;109;1;0;0;5;90;53;89;49;16;0
2020-04-27 10:00:00;111;4;3;1;3;91;52;94;54;22;1
2020-04-27 10:15:00;110;3;2;4;3;93;45;93;53;20;0
