DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-03-16 00:00:00;2;4;1;1;13;6;0;14;9;0;0
2020-03-16 00:15:00;7;6;2;0;14;6;0;14;6;0;0
2020-03-16 00:30:00;3;7;2;1;15;11;0;15;13;0;0
2020-03-16 00:45:00;1;2;0;2;7;5;0;7;6;0;0
2020-03-16 01:00:00;3;0;0;0;16;6;0;15;6;0;0
2020-03-16 01:15:00;4;4;0;0;7;5;0;7;5;0;0
2020-03-16 01:30:00;6;3;0;0;7;6;0;6;5;0;0
2020-03-16 01:45:00;10;5;0;0;1;0;0;1;1;0;0
2020-03-16 02:00:00;10;4;0;0;2;2;0;2;4;0;0
2020-03-16 02:15:00;4;7;0;0;6;2;0;6;6;0;0
2020-03-16 02:30:00;6;5;0;2;7;4;0;7;5;0;0
2020-03-16 02:45:00;5;2;1;0;4;2;0;3;4;0;0
2020-03-16 03:00:00;7;8;0;0;5;3;0;6;3;0;0
2020-03-16 03:15:00;12;9;1;0;10;3;0;10;4;0;0
2020-03-16 03:30:00;10;10;0;0;9;1;0;10;3;0;0
2020-03-16 03:45:00;8;7;0;0;7;2;0;7;6;0;0
2020-03-16 04:00:00;8;6;1;3;12;6;0;11;9;0;0
2020-03-16 04:15:00;11;4;0;0;11;6;0;11;9;0;0
2020-03-16 04:30:00;17;14;0;0;11;3;0;10;6;0;0
2020-03-16 04:45:00;22;18;0;0;13;10;1;12;11;0;0
2020-03-16 05:00:00;34;31;5;1;29;15;0;29;21;0;0
2020-03-16 05:15:00;27;34;5;3;36;18;1;36;26;0;0
2020-03-16 05:30:00;49;60;4;2;70;28;0;69;34;0;0
2020-03-16 05:45:00;74;87;19;5;89;37;1;90;47;1;0
2020-03-16 06:00:00;59;60;18;7;101;50;1;95;50;0;0
2020-03-16 06:15:00;64;92;35;6;106;63;4;105;69;0;0
2020-03-16 06:30:00;91;134;31;15;128;113;11;137;116;0;28
2020-03-16 06:45:00;99;127;22;8;128;116;10;130;119;0;13
2020-03-16 07:00:00;71;111;15;9;126;123;8;127;125;1;8
2020-03-16 07:15:00;104;120;18;3;132;120;10;129;133;4;4
2020-03-16 07:30:00;104;132;17;10;117;116;9;115;127;5;5
2020-03-16 07:45:00;82;104;7;9;105;103;11;107;114;4;61
2020-03-16 08:00:00;87;115;11;12;109;122;10;100;129;2;9
2020-03-16 08:15:00;82;114;9;10;86;85;8;84;95;10;11
2020-03-16 08:30:00;93;109;15;5;92;107;11;89;108;9;9
2020-03-16 08:45:00;80;106;10;8;94;89;10;95;98;6;17
2020-03-16 09:00:00;78;105;9;61;97;79;9;96;87;3;8
2020-03-16 09:15:00;95;113;7;10;93;89;6;91;100;4;9
2020-03-16 09:30:00;85;84;9;5;80;77;9;78;91;3;6
2020-03-16 09:45:00;102;108;18;9;103;124;11;103;130;12;18
2020-03-16 10:00:00;91;100;13;6;99;104;6;90;105;5;3
2020-03-16 10:15:00;86;101;9;13;106;97;7;103;107;11;2
2020-03-16 10:30:00;84;113;15;13;109;109;10;99;113;5;3
2020-03-16 10:45:00;87;91;11;12;106;89;12;100;103;6;3
2020-03-16 11:00:00;88;123;21;11;103;114;13;103;114;8;4
2020-03-16 11:15:00;78;95;10;12;97;91;5;98;96;4;9
2020-03-16 11:30:00;88;97;15;10;98;79;8;83;96;6;4
2020-03-16 11:45:00;93;128;16;10;92;101;7;89;94;7;0
2020-03-16 12:00:00;99;109;12;10;100;94;3;92;116;8;3
2020-03-16 12:15:00;84;91;12;11;100;101;6;89;107;1;20
2020-03-16 12:30:00;87;107;15;4;100;100;4;89;110;9;4
2020-03-16 12:45:00;91;111;11;8;91;99;4;86;107;1;0
2020-03-16 13:00:00;95;111;15;8;99;109;12;97;121;8;0
2020-03-16 13:15:00;90;101;13;20;115;101;6;109;111;9;10
2020-03-16 13:30:00;85;116;12;8;91;98;11;89;94;7;12
2020-03-16 13:45:00;95;113;8;9;94;80;10;86;85;6;0
2020-03-16 14:00:00;85;93;14;8;84;82;8;77;86;5;0
2020-03-16 14:15:00;83;100;9;5;98;101;5;100;104;10;3
2020-03-16 14:30:00;54;167;35;11;96;97;11;91;106;12;17
2020-03-16 14:45:00;50;173;37;10;99;105;7;96;109;9;3
2020-03-16 15:00:00;100;137;13;19;95;113;6;84;114;11;5
2020-03-16 15:15:00;80;116;9;10;98;108;8;99;118;6;15
2020-03-16 15:30:00;107;134;17;19;95;118;2;89;114;2;19
2020-03-16 15:45:00;109;144;20;22;106;108;4;101;114;6;9
2020-03-16 16:00:00;107;158;12;34;124;138;7;113;133;12;14
2020-03-16 16:15:00;105;145;18;39;137;161;10;140;154;3;4
2020-03-16 16:30:00;83;184;17;40;125;139;5;127;152;14;13
2020-03-16 16:45:00;59;186;16;54;122;141;7;120;134;7;62
2020-03-16 17:00:00;107;159;21;54;125;139;4;125;139;8;10
2020-03-16 17:15:00;114;143;11;20;128;147;4;122;157;7;20
2020-03-16 17:30:00;92;117;9;30;130;135;6;129;136;7;13
2020-03-16 17:45:00;84;114;14;23;110;115;7;102;115;6;17
2020-03-16 18:00:00;67;137;27;15;114;127;7;116;116;6;10
2020-03-16 18:15:00;68;105;14;5;101;95;2;103;99;1;4
2020-03-16 18:30:00;78;85;8;9;94;95;3;93;91;0;33
2020-03-16 18:45:00;67;80;9;9;67;78;0;63;82;0;49
2020-03-16 19:00:00;51;73;7;12;86;70;1;76;78;0;3
2020-03-16 19:15:00;48;58;9;5;70;75;3;65;76;0;0
2020-03-16 19:30:00;35;46;7;4;56;53;1;54;57;0;0
2020-03-16 19:45:00;33;34;4;3;48;45;2;49;44;0;0
2020-03-16 20:00:00;31;27;4;2;46;39;0;42;42;0;4
2020-03-16 20:15:00;30;24;3;2;48;33;0;44;40;0;0
2020-03-16 20:30:00;35;28;6;1;40;34;1;37;36;0;0
2020-03-16 20:45:00;26;31;1;0;29;27;1;28;31;0;0
2020-03-16 21:00:00;23;36;4;2;38;30;0;36;29;0;0
2020-03-16 21:15:00;22;23;1;0;33;26;0;31;32;0;2
2020-03-16 21:30:00;31;28;4;1;21;17;1;21;21;0;0
2020-03-16 21:45:00;19;23;2;1;23;18;1;22;25;0;0
2020-03-16 22:00:00;27;22;2;1;28;18;0;27;18;0;0
2020-03-16 22:15:00;23;23;3;0;19;14;1;20;13;0;0
2020-03-16 22:30:00;23;23;2;0;17;19;2;13;20;1;0
2020-03-16 22:45:00;8;12;0;0;14;10;0;12;12;0;0
2020-03-16 23:00:00;8;9;0;1;17;9;0;17;10;0;0
2020-03-16 23:15:00;11;10;1;0;16;16;0;13;15;0;0
2020-03-16 23:30:00;14;7;0;1;14;5;0;12;8;0;0
2020-03-16 23:45:00;4;4;0;0;14;9;1;13;10;0;0
