DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-01-05 00:00:00;0;12;6;20;13;0;0
2020-01-05 00:15:00;5;21;15;21;21;3;3
2020-01-05 00:30:00;0;16;12;21;12;0;0
2020-01-05 00:45:00;0;10;13;21;19;1;1
2020-01-05 01:00:00;0;9;14;21;6;0;0
2020-01-05 01:15:00;0;9;10;23;15;1;1
2020-01-05 01:30:00;0;11;3;24;13;1;1
2020-01-05 01:45:00;0;8;9;9;8;1;1
2020-01-05 02:00:00;0;11;6;17;9;0;0
2020-01-05 02:15:00;0;11;7;19;9;1;1
2020-01-05 02:30:00;0;7;7;12;7;0;0
2020-01-05 02:45:00;0;7;5;14;8;1;1
2020-01-05 03:00:00;0;5;7;18;5;0;0
2020-01-05 03:15:00;0;8;3;11;4;1;1
2020-01-05 03:30:00;0;8;3;9;8;0;0
2020-01-05 03:45:00;0;5;3;7;7;1;1
2020-01-05 04:00:00;0;1;5;5;4;0;0
2020-01-05 04:15:00;0;3;4;5;5;1;1
2020-01-05 04:30:00;0;6;6;7;2;0;0
2020-01-05 04:45:00;0;6;3;6;5;1;1
2020-01-05 05:00:00;0;5;6;15;8;0;0
2020-01-05 05:15:00;0;9;2;13;4;1;1
2020-01-05 05:30:00;0;18;12;12;7;0;0
2020-01-05 05:45:00;0;12;12;7;6;1;1
2020-01-05 06:00:00;0;7;5;13;7;0;0
2020-01-05 06:15:00;0;3;9;14;11;1;1
2020-01-05 06:30:00;0;10;10;17;10;0;0
2020-01-05 06:45:00;0;9;4;18;10;1;1
2020-01-05 07:00:00;1;10;8;13;5;0;0
2020-01-05 07:15:00;0;12;6;9;10;1;1
2020-01-05 07:30:00;5;4;15;11;13;0;0
2020-01-05 07:45:00;0;0;36;19;24;1;1
2020-01-05 08:00:00;2;0;35;12;17;2;2
2020-01-05 08:15:00;0;0;23;21;15;0;0
2020-01-05 08:30:00;0;0;31;23;21;3;2
2020-01-05 08:45:00;0;7;51;24;24;0;1
2020-01-05 09:00:00;31;33;42;27;21;1;1
2020-01-05 09:15:00;5;37;35;42;21;0;0
2020-01-05 09:30:00;1;44;53;36;47;2;2
2020-01-05 09:45:00;11;16;106;31;48;0;0
2020-01-05 10:00:00;10;4;91;36;35;2;2
2020-01-05 10:15:00;3;2;88;45;30;1;1
2020-01-05 10:30:00;4;3;78;48;39;2;2
2020-01-05 10:45:00;11;2;121;54;69;0;0
2020-01-05 11:00:00;4;18;85;58;48;2;2
2020-01-05 11:15:00;12;63;3;64;61;0;0
2020-01-05 11:30:00;1;62;49;64;65;2;2
2020-01-05 11:45:00;36;65;71;79;69;0;0
2020-01-05 12:00:00;2;66;46;69;54;2;2
2020-01-05 12:15:00;4;51;52;81;59;1;1
2020-01-05 12:30:00;1;58;56;59;47;1;1
2020-01-05 12:45:00;17;52;52;71;55;1;1
2020-01-05 13:00:00;3;58;51;69;66;2;2
2020-01-05 13:15:00;12;68;72;70;55;0;0
2020-01-05 13:30:00;22;63;57;87;62;1;1
2020-01-05 13:45:00;2;91;69;75;71;0;0
2020-01-05 14:00:00;2;76;58;78;63;2;2
2020-01-05 14:15:00;2;89;77;78;62;0;0
2020-01-05 14:30:00;6;70;65;92;75;2;2
2020-01-05 14:45:00;20;78;77;85;76;0;0
2020-01-05 15:00:00;0;88;68;81;68;2;2
2020-01-05 15:15:00;5;69;71;73;60;0;0
2020-01-05 15:30:00;7;73;75;83;87;2;2
2020-01-05 15:45:00;5;71;59;73;78;0;0
2020-01-05 16:00:00;1;63;58;69;56;2;2
2020-01-05 16:15:00;5;56;60;88;67;0;0
2020-01-05 16:30:00;7;59;71;86;75;2;2
2020-01-05 16:45:00;10;81;81;81;91;0;0
2020-01-05 17:00:00;3;59;61;70;76;1;1
2020-01-05 17:15:00;14;75;74;85;72;2;2
2020-01-05 17:30:00;7;39;130;98;78;1;1
2020-01-05 17:45:00;20;18;151;87;81;1;1
2020-01-05 18:00:00;4;0;125;75;52;1;1
2020-01-05 18:15:00;3;0;136;73;50;1;1
2020-01-05 18:30:00;2;1;133;79;80;1;1
2020-01-05 18:45:00;3;12;144;93;85;0;0
2020-01-05 19:00:00;1;55;82;70;55;2;2
2020-01-05 19:15:00;4;66;65;81;53;1;0
2020-01-05 19:30:00;1;57;54;77;59;2;3
2020-01-05 19:45:00;1;53;54;63;52;0;0
2020-01-05 20:00:00;2;42;34;63;51;2;2
2020-01-05 20:15:00;0;41;34;51;39;0;0
2020-01-05 20:30:00;4;34;32;50;37;1;1
2020-01-05 20:45:00;1;37;31;48;33;0;0
2020-01-05 21:00:00;0;34;32;48;35;2;2
2020-01-05 21:15:00;5;29;21;59;45;0;0
2020-01-05 21:30:00;7;42;37;41;29;1;1
2020-01-05 21:45:00;0;28;22;46;21;1;1
2020-01-05 22:00:00;0;30;16;41;29;2;2
2020-01-05 22:15:00;0;28;23;42;31;1;1
2020-01-05 22:30:00;0;23;21;68;53;1;1
2020-01-05 22:45:00;0;20;13;50;30;1;1
2020-01-05 23:00:00;0;28;28;47;22;2;2
2020-01-05 23:15:00;0;18;16;37;17;1;1
2020-01-05 23:30:00;1;22;20;22;18;0;0
2020-01-05 23:45:00;0;23;8;33;12;1;1
