DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-08-28 00:00:00;3;6;6;3;1;4;19;0;0;0;0;0
2019-08-28 00:15:00;2;4;5;2;1;2;8;2;4;0;0;0
2019-08-28 00:30:00;5;4;4;1;0;1;5;0;1;0;0;0
2019-08-28 00:45:00;1;2;5;0;3;2;10;3;3;0;0;0
2019-08-28 01:00:00;0;2;3;0;2;0;9;0;0;0;0;0
2019-08-28 01:15:00;4;5;7;2;6;1;1;0;0;0;0;0
2019-08-28 01:30:00;3;9;9;1;3;1;11;0;1;0;0;0
2019-08-28 01:45:00;0;3;3;1;1;2;9;0;0;0;0;0
2019-08-28 02:00:00;1;3;2;0;1;2;6;1;1;0;0;0
2019-08-28 02:15:00;0;1;2;0;0;1;1;0;1;0;0;0
2019-08-28 02:30:00;1;1;1;1;1;0;0;0;0;0;0;0
2019-08-28 02:45:00;0;1;1;0;0;0;2;0;0;0;0;0
2019-08-28 03:00:00;1;1;1;1;2;2;1;0;0;0;0;0
2019-08-28 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-28 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-28 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-28 04:00:00;0;1;1;0;0;1;1;0;0;0;0;0
2019-08-28 04:15:00;1;2;1;0;0;0;1;0;0;0;0;0
2019-08-28 04:30:00;0;1;1;0;0;0;1;0;0;0;0;0
2019-08-28 04:45:00;1;0;2;1;1;3;9;0;0;0;0;0
2019-08-28 05:00:00;1;5;6;1;1;0;11;0;0;0;0;0
2019-08-28 05:15:00;2;6;7;0;0;1;19;0;0;2;0;0
2019-08-28 05:30:00;5;7;10;0;0;5;26;1;2;1;0;0
2019-08-28 05:45:00;25;13;17;1;0;1;17;1;2;2;0;2
2019-08-28 06:00:00;26;18;26;2;2;8;23;0;1;0;0;0
2019-08-28 06:15:00;14;13;22;0;0;6;19;0;0;1;0;0
