DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2019-09-16 00:00:00;2;0;2;0;0;0
2019-09-16 00:15:00;1;0;1;0;0;0
2019-09-16 00:30:00;2;0;1;0;0;0
2019-09-16 00:45:00;2;0;2;0;0;0
2019-09-16 01:00:00;2;0;1;0;0;0
2019-09-16 01:15:00;4;0;1;0;0;0
2019-09-16 01:30:00;3;0;2;0;0;0
2019-09-16 01:45:00;0;0;1;0;0;0
2019-09-16 02:00:00;0;0;1;0;0;0
2019-09-16 02:15:00;1;0;1;0;0;0
2019-09-16 02:30:00;0;0;1;0;0;0
2019-09-16 02:45:00;2;0;0;0;0;0
2019-09-16 03:00:00;3;0;0;0;0;0
2019-09-16 03:15:00;0;1;2;1;0;0
2019-09-16 03:30:00;0;0;2;0;0;0
2019-09-16 03:45:00;0;0;4;0;0;0
2019-09-16 04:00:00;1;1;7;1;0;0
2019-09-16 04:15:00;2;1;7;0;0;0
2019-09-16 04:30:00;6;1;12;0;0;0
2019-09-16 04:45:00;7;4;21;0;1;0
2019-09-16 05:00:00;14;19;94;1;10;3
2019-09-16 05:15:00;41;32;203;0;3;15
2019-09-16 05:30:00;57;52;173;1;9;8
2019-09-16 05:45:00;56;22;104;9;10;5
2019-09-16 06:00:00;47;10;74;11;10;4
2019-09-16 06:15:00;53;23;124;5;9;5
2019-09-16 06:30:00;90;23;163;6;17;3
2019-09-16 06:45:00;93;18;134;2;16;9
2019-09-16 07:00:00;85;9;136;0;12;6
2019-09-16 07:15:00;89;11;147;3;25;15
2019-09-16 07:30:00;99;14;124;2;21;11
2019-09-16 07:45:00;78;10;122;0;5;4
2019-09-16 08:00:00;78;13;127;4;7;9
2019-09-16 08:15:00;80;9;103;4;6;10
2019-09-16 08:30:00;76;4;94;2;3;4
2019-09-16 08:45:00;70;5;79;2;0;6
2019-09-16 09:00:00;48;4;60;2;1;4
2019-09-16 09:15:00;50;2;66;2;4;4
2019-09-16 09:30:00;43;1;58;3;0;1
2019-09-16 09:45:00;46;4;51;2;1;1
2019-09-16 10:00:00;45;2;51;6;0;1
2019-09-16 10:15:00;68;1;63;4;2;1
2019-09-16 10:30:00;47;0;53;1;0;0
2019-09-16 10:45:00;47;0;51;1;1;0
2019-09-16 11:00:00;62;2;67;8;3;8
2019-09-16 11:15:00;62;2;47;6;2;6
2019-09-16 11:30:00;67;5;46;2;12;1
2019-09-16 11:45:00;63;2;62;4;0;5
2019-09-16 12:00:00;72;5;70;6;2;0
2019-09-16 12:15:00;58;0;47;4;2;8
2019-09-16 12:30:00;75;3;61;5;0;3
2019-09-16 12:45:00;79;7;75;7;1;14
2019-09-16 13:00:00;89;12;88;3;2;25
2019-09-16 13:15:00;82;34;128;7;5;13
2019-09-16 13:30:00;104;57;155;9;10;32
2019-09-16 13:45:00;100;35;138;17;18;29
2019-09-16 14:00:00;103;20;77;64;36;24
2019-09-16 14:15:00;111;9;81;105;21;12
2019-09-16 14:30:00;129;3;53;52;10;10
2019-09-16 14:45:00;85;1;45;34;5;44
2019-09-16 15:00:00;119;2;66;46;19;13
2019-09-16 15:15:00;123;4;85;31;8;14
2019-09-16 15:30:00;117;1;49;35;27;7
2019-09-16 15:45:00;109;3;63;21;18;5
2019-09-16 16:00:00;120;0;61;15;2;4
2019-09-16 16:15:00;123;0;61;15;5;0
2019-09-16 16:30:00;126;4;75;26;25;2
2019-09-16 16:45:00;104;4;60;17;6;3
2019-09-16 17:00:00;111;2;60;18;14;2
2019-09-16 17:15:00;108;4;82;18;7;4
2019-09-16 17:30:00;88;1;84;11;60;6
2019-09-16 17:45:00;71;0;64;8;0;1
2019-09-16 18:00:00;80;0;60;8;2;3
2019-09-16 18:15:00;48;6;46;3;2;0
2019-09-16 18:30:00;52;0;51;12;0;12
2019-09-16 18:45:00;55;0;41;3;0;5
2019-09-16 19:00:00;39;1;41;5;2;0
2019-09-16 19:15:00;40;0;40;0;0;0
2019-09-16 19:30:00;24;0;39;1;0;0
2019-09-16 19:45:00;21;1;27;3;0;0
2019-09-16 20:00:00;43;0;33;2;0;1
2019-09-16 20:15:00;42;0;25;0;1;0
2019-09-16 20:30:00;22;1;30;0;0;0
2019-09-16 20:45:00;32;4;54;3;1;0
2019-09-16 21:00:00;31;10;98;1;2;1
2019-09-16 21:15:00;34;28;142;2;11;9
2019-09-16 21:30:00;27;20;96;23;6;20
2019-09-16 21:45:00;68;1;48;102;9;18
2019-09-16 22:00:00;84;5;40;133;13;5
2019-09-16 22:15:00;25;1;13;25;1;0
2019-09-16 22:30:00;24;0;13;8;0;1
2019-09-16 22:45:00;15;0;9;1;0;0
2019-09-16 23:00:00;10;0;8;0;0;0
2019-09-16 23:15:00;11;0;8;0;0;0
2019-09-16 23:30:00;4;0;8;1;0;0
2019-09-16 23:45:00;8;0;3;0;0;0
