DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2019-10-25 00:00:00;2;4;21;2;3;18;0;0;0;0;0;0
2019-10-25 00:15:00;4;3;11;0;5;8;0;0;0;0;0;0
2019-10-25 00:30:00;4;7;9;0;0;3;0;0;0;0;0;0
2019-10-25 00:45:00;1;3;6;0;2;4;0;0;0;0;0;0
2019-10-25 01:00:00;0;2;5;0;0;2;0;0;0;0;0;0
2019-10-25 01:15:00;3;1;6;0;0;4;0;0;0;0;0;0
2019-10-25 01:30:00;3;5;12;0;0;8;0;0;0;0;0;0
2019-10-25 01:45:00;1;4;8;0;0;5;0;0;0;0;0;0
2019-10-25 02:00:00;1;4;7;2;1;4;0;0;0;0;0;0
2019-10-25 02:15:00;0;0;2;1;0;2;0;0;0;0;0;0
2019-10-25 02:30:00;1;4;7;0;0;4;0;0;0;0;0;0
2019-10-25 02:45:00;4;5;4;0;0;0;0;0;0;0;0;0
2019-10-25 03:00:00;0;1;4;0;0;3;0;0;0;0;0;0
2019-10-25 03:15:00;1;2;4;0;0;2;0;0;0;0;0;0
2019-10-25 03:30:00;2;4;5;0;0;3;0;0;0;0;0;0
2019-10-25 03:45:00;1;2;5;0;0;4;0;0;0;0;0;0
2019-10-25 04:00:00;1;1;2;0;0;2;0;0;0;0;0;0
2019-10-25 04:15:00;2;2;4;0;0;2;0;0;0;0;0;0
2019-10-25 04:30:00;0;1;2;0;0;1;0;0;0;0;0;0
2019-10-25 04:45:00;3;2;5;0;0;3;0;0;0;0;0;0
2019-10-25 05:00:00;4;5;7;0;1;4;0;0;0;0;0;0
2019-10-25 05:15:00;6;7;13;2;0;8;0;0;0;0;0;0
2019-10-25 05:30:00;12;6;12;3;6;11;0;0;0;0;0;0
2019-10-25 05:45:00;15;14;20;4;4;11;0;0;0;0;0;0
2019-10-25 06:00:00;12;21;37;6;9;21;0;0;0;0;0;0
2019-10-25 06:15:00;16;28;46;14;6;33;0;0;0;0;0;0
2019-10-25 06:30:00;25;35;54;8;11;31;0;0;0;0;0;0
2019-10-25 06:45:00;41;49;61;26;5;34;0;0;0;0;0;0
2019-10-25 07:00:00;38;75;77;51;8;35;0;0;11;0;0;0
2019-10-25 07:15:00;56;111;106;70;11;52;0;2;0;0;0;0
2019-10-25 07:30:00;79;133;121;76;18;77;0;0;0;1;0;0
