DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-12-07 00:00:00;1;1;0;0;0;3;2;0;2;1;0;0
2020-12-07 00:15:00;5;2;0;1;2;4;4;0;1;1;0;0
2020-12-07 00:30:00;6;3;0;1;1;4;3;0;1;2;0;0
2020-12-07 00:45:00;1;2;0;2;3;4;2;0;3;2;0;0
2020-12-07 01:00:00;2;1;0;0;0;2;1;1;3;0;0;0
2020-12-07 01:15:00;3;2;1;0;1;1;3;3;0;0;0;0
2020-12-07 01:30:00;2;1;1;1;1;2;2;1;1;2;0;0
2020-12-07 01:45:00;4;1;0;0;0;1;2;1;3;6;0;0
2020-12-07 02:00:00;1;1;0;0;0;2;1;0;2;0;0;0
2020-12-07 02:15:00;4;4;0;0;0;2;2;2;1;0;0;0
2020-12-07 02:30:00;1;1;0;0;0;1;1;0;1;0;0;0
2020-12-07 02:45:00;3;1;1;2;3;2;1;1;3;2;0;0
2020-12-07 03:00:00;1;1;1;0;0;3;2;1;1;1;0;0
2020-12-07 03:15:00;4;1;0;1;1;3;3;1;0;0;0;0
2020-12-07 03:30:00;3;1;0;1;0;4;1;2;1;1;0;0
2020-12-07 03:45:00;3;2;0;3;1;3;3;2;2;4;0;0
2020-12-07 04:00:00;6;2;0;0;2;3;3;2;3;5;0;0
2020-12-07 04:15:00;7;7;0;1;1;4;4;1;3;4;0;0
2020-12-07 04:30:00;4;3;1;2;3;5;10;5;7;3;0;0
2020-12-07 04:45:00;14;5;0;3;2;10;6;8;13;6;0;0
2020-12-07 05:00:00;28;10;0;2;4;20;21;8;17;5;0;0
2020-12-07 05:15:00;34;13;2;8;9;34;26;6;34;6;0;0
2020-12-07 05:30:00;45;21;0;5;7;46;46;22;53;11;0;0
2020-12-07 05:45:00;36;13;4;7;13;48;70;35;37;19;1;1
2020-12-07 06:00:00;45;17;1;112;15;64;69;29;33;14;0;0
2020-12-07 06:15:00;49;21;6;10;13;66;79;44;42;19;1;0
2020-12-07 06:30:00;49;32;3;13;9;98;109;58;73;14;4;0
2020-12-07 06:45:00;59;27;1;12;12;124;118;81;71;21;4;42
2020-12-07 07:00:00;60;42;6;20;18;167;114;94;66;34;8;1
2020-12-07 07:15:00;68;44;5;21;30;215;135;102;76;38;6;13
2020-12-07 07:30:00;78;43;4;29;30;214;130;116;93;30;2;11
2020-12-07 07:45:00;71;61;6;18;25;163;96;103;86;32;2;7
2020-12-07 08:00:00;64;50;11;13;14;103;97;73;60;21;3;15
2020-12-07 08:15:00;69;33;2;18;17;94;89;66;86;28;3;24
2020-12-07 08:30:00;50;29;6;12;10;97;100;72;81;22;3;4
2020-12-07 08:45:00;75;36;5;14;18;73;80;64;82;8;2;7
2020-12-07 09:00:00;52;27;3;16;16;68;68;53;66;9;0;4
2020-12-07 09:15:00;78;36;2;7;9;70;68;59;50;13;1;3
2020-12-07 09:30:00;57;32;8;9;12;76;83;51;61;10;4;1
2020-12-07 09:45:00;67;47;4;15;17;70;81;63;81;17;1;0
2020-12-07 10:00:00;64;47;7;6;7;67;69;52;61;18;4;2
2020-12-07 10:15:00;62;33;3;12;22;76;84;58;68;21;3;4
2020-12-07 10:30:00;75;45;4;26;21;81;86;61;84;21;1;7
2020-12-07 10:45:00;72;51;3;8;9;64;84;57;60;15;1;3
2020-12-07 11:00:00;80;49;3;13;15;63;68;59;63;15;2;0
2020-12-07 11:15:00;67;49;6;15;16;75;69;65;76;24;1;7
2020-12-07 11:30:00;73;64;3;18;18;57;77;54;67;22;6;1
2020-12-07 11:45:00;67;55;1;15;15;74;77;70;71;24;7;3
2020-12-07 12:00:00;73;52;4;13;19;61;51;49;73;14;1;9
2020-12-07 12:15:00;91;48;5;7;10;95;72;64;69;20;8;5
2020-12-07 12:30:00;76;54;4;16;14;65;62;57;54;15;5;5
2020-12-07 12:45:00;79;64;9;12;17;93;91;73;71;21;1;9
2020-12-07 13:00:00;94;61;4;10;20;81;70;54;94;17;3;11
2020-12-07 13:15:00;129;93;4;5;9;104;90;69;95;24;9;23
2020-12-07 13:30:00;110;76;11;14;18;104;100;48;89;20;5;87
2020-12-07 13:45:00;75;55;5;15;12;95;96;77;93;14;1;22
2020-12-07 14:00:00;102;79;2;9;9;106;83;57;79;20;3;4
2020-12-07 14:15:00;105;75;3;14;17;99;60;64;61;17;3;18
2020-12-07 14:30:00;114;66;7;13;14;101;85;76;75;23;4;5
2020-12-07 14:45:00;99;70;7;14;12;72;75;55;79;25;8;86
2020-12-07 15:00:00;117;69;6;17;15;99;78;68;112;14;3;0
2020-12-07 15:15:00;116;84;5;14;13;97;66;66;102;14;8;4
2020-12-07 15:30:00;114;72;11;16;18;83;83;57;97;20;5;45
2020-12-07 15:45:00;102;96;9;18;21;69;99;61;118;17;11;4
2020-12-07 16:00:00;124;90;8;22;24;74;117;66;104;20;3;14
2020-12-07 16:15:00;131;86;13;22;22;68;133;64;123;28;4;6
2020-12-07 16:30:00;129;102;8;24;23;90;112;56;118;20;12;46
2020-12-07 16:45:00;117;90;8;27;25;118;61;67;121;19;5;15
2020-12-07 17:00:00;119;100;5;28;27;135;66;74;116;11;5;7
2020-12-07 17:15:00;116;92;5;20;21;90;64;77;106;16;4;20
2020-12-07 17:30:00;109;77;5;15;23;91;69;52;92;15;5;14
2020-12-07 17:45:00;96;53;3;20;10;64;77;51;90;13;1;1
2020-12-07 18:00:00;86;63;9;13;15;80;68;50;69;18;1;26
2020-12-07 18:15:00;83;34;6;12;14;73;67;59;64;11;1;2
2020-12-07 18:30:00;63;36;6;4;8;51;62;49;55;9;1;3
2020-12-07 18:45:00;59;34;5;12;13;45;44;39;55;12;1;15
2020-12-07 19:00:00;63;28;3;12;13;47;45;35;39;17;1;6
2020-12-07 19:15:00;38;24;5;79;11;47;36;22;41;18;5;8
2020-12-07 19:30:00;54;25;4;5;5;43;49;35;51;10;1;11
2020-12-07 19:45:00;34;11;2;4;6;36;50;33;29;12;0;2
2020-12-07 20:00:00;31;23;2;6;8;45;48;34;22;14;1;30
2020-12-07 20:15:00;28;18;2;75;6;28;32;33;18;11;0;0
2020-12-07 20:30:00;25;16;4;3;7;32;36;20;16;9;2;0
2020-12-07 20:45:00;24;19;3;5;10;30;25;18;21;10;0;0
2020-12-07 21:00:00;20;9;5;4;6;23;28;17;19;6;0;0
2020-12-07 21:15:00;18;17;2;6;8;24;18;12;24;8;0;0
2020-12-07 21:30:00;10;9;1;4;5;23;23;15;23;5;0;0
2020-12-07 21:45:00;25;11;2;4;7;25;25;16;13;7;0;0
2020-12-07 22:00:00;31;16;8;6;11;16;25;19;15;5;0;0
2020-12-07 22:15:00;34;16;4;3;5;27;27;21;7;11;0;0
2020-12-07 22:30:00;16;6;2;3;3;16;15;11;5;7;0;0
2020-12-07 22:45:00;12;9;4;1;3;7;7;4;7;6;0;0
2020-12-07 23:00:00;8;3;2;2;3;6;9;5;5;2;0;0
2020-12-07 23:15:00;5;0;0;3;5;13;9;4;7;3;0;0
2020-12-07 23:30:00;2;2;2;1;3;4;10;8;2;5;0;0
2020-12-07 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
