DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-08-16 00:00:00;13;0;0;1;27;0;0;0;0;0;0;0;0
2020-08-16 00:15:00;16;0;0;1;21;0;0;0;0;0;0;0;0
2020-08-16 00:30:00;17;0;0;1;30;0;1;0;0;0;0;0;0
2020-08-16 00:45:00;10;1;0;0;18;0;0;0;0;0;0;0;0
2020-08-16 01:00:00;16;0;0;0;17;0;0;0;0;0;0;0;0
2020-08-16 01:15:00;13;0;3;0;18;0;0;0;0;0;0;0;0
2020-08-16 01:30:00;15;2;0;2;19;0;0;0;0;0;0;0;0
2020-08-16 01:45:00;16;0;0;0;16;1;0;0;0;0;0;0;0
2020-08-16 02:00:00;10;0;0;1;13;0;0;0;0;0;0;0;0
2020-08-16 02:15:00;8;0;0;0;10;1;0;0;0;0;0;0;0
2020-08-16 02:30:00;4;0;0;0;8;1;0;0;0;0;0;0;0
2020-08-16 02:45:00;7;1;0;0;6;0;0;0;0;0;0;0;0
2020-08-16 03:00:00;9;0;0;0;5;0;0;0;0;0;0;0;0
2020-08-16 03:15:00;4;0;1;1;12;0;0;0;0;0;0;0;0
2020-08-16 03:30:00;7;0;0;0;8;0;0;0;0;0;0;0;0
2020-08-16 03:45:00;5;0;0;0;3;0;0;0;0;0;0;0;0
2020-08-16 04:00:00;3;0;0;0;5;0;0;0;0;0;0;0;0
2020-08-16 04:15:00;7;0;0;0;3;0;0;0;0;0;0;0;0
2020-08-16 04:30:00;3;0;0;0;4;0;0;0;0;0;0;0;0
2020-08-16 04:45:00;8;2;0;0;8;2;0;0;0;0;0;0;0
2020-08-16 05:00:00;12;1;0;0;4;0;0;0;0;0;0;0;0
2020-08-16 05:15:00;11;1;0;0;7;0;0;0;0;0;0;0;0
2020-08-16 05:30:00;4;0;0;0;12;0;0;0;0;0;0;0;0
2020-08-16 05:45:00;11;0;0;1;6;0;0;0;0;0;0;0;0
