DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2019-09-03 00:00:00;0;1;0;0;0;0;0;0
2019-09-03 00:15:00;0;2;1;1;0;0;0;0
2019-09-03 00:30:00;0;2;1;0;0;0;0;0
2019-09-03 00:45:00;0;0;0;0;0;0;0;0
2019-09-03 01:00:00;0;0;0;0;0;0;0;0
2019-09-03 01:15:00;0;0;0;0;0;0;0;0
2019-09-03 01:30:00;0;1;0;0;0;0;0;0
2019-09-03 01:45:00;0;0;1;1;0;0;0;0
2019-09-03 02:00:00;0;0;0;0;0;0;0;0
2019-09-03 02:15:00;0;0;0;0;0;0;0;0
2019-09-03 02:30:00;0;0;0;0;0;0;0;0
2019-09-03 02:45:00;0;0;0;0;0;0;0;0
2019-09-03 03:00:00;0;0;0;0;0;0;0;0
2019-09-03 03:15:00;0;0;0;0;0;0;0;0
2019-09-03 03:30:00;0;0;0;0;0;0;0;0
2019-09-03 03:45:00;0;1;0;0;0;0;0;0
2019-09-03 04:00:00;1;1;2;0;0;0;0;0
2019-09-03 04:15:00;0;1;0;0;1;0;0;0
2019-09-03 04:30:00;0;6;0;0;1;0;0;0
2019-09-03 04:45:00;0;1;1;3;3;0;0;0
2019-09-03 05:00:00;0;2;15;1;0;0;0;0
2019-09-03 05:15:00;2;8;18;3;2;0;0;0
2019-09-03 05:30:00;1;8;20;6;3;0;0;0
2019-09-03 05:45:00;0;17;32;6;6;0;0;0
2019-09-03 06:00:00;0;12;35;2;5;0;0;0
2019-09-03 06:15:00;2;9;33;1;3;0;0;0
2019-09-03 06:30:00;4;24;94;8;6;0;0;0
2019-09-03 06:45:00;9;18;97;4;7;0;0;0
2019-09-03 07:00:00;7;28;67;12;9;0;1;0
2019-09-03 07:15:00;4;34;74;8;5;0;5;0
2019-09-03 07:30:00;14;25;64;7;11;0;0;0
2019-09-03 07:45:00;4;21;99;15;13;2;0;1
2019-09-03 08:00:00;5;32;82;14;8;0;1;0
2019-09-03 08:15:00;5;21;83;13;7;0;0;0
2019-09-03 08:30:00;10;28;53;6;10;2;0;0
2019-09-03 08:45:00;2;22;43;4;8;0;0;0
2019-09-03 09:00:00;8;17;38;6;10;0;2;0
2019-09-03 09:15:00;2;15;26;4;6;0;1;0
2019-09-03 09:30:00;8;26;19;5;11;1;0;0
2019-09-03 09:45:00;3;18;28;3;9;0;0;0
2019-09-03 10:00:00;4;33;35;6;9;0;1;1
2019-09-03 10:15:00;1;31;12;4;6;0;0;0
2019-09-03 10:30:00;9;20;19;4;13;0;0;0
2019-09-03 10:45:00;2;14;15;5;8;7;3;0
2019-09-03 11:00:00;5;21;17;4;3;0;3;0
2019-09-03 11:15:00;2;19;17;2;4;2;4;0
2019-09-03 11:30:00;1;19;12;6;11;0;0;0
2019-09-03 11:45:00;3;30;21;2;8;2;1;0
