DATUM;
2020-06-12 00:00:00;
2020-06-12 00:15:00;
2020-06-12 00:30:00;
2020-06-12 00:45:00;
2020-06-12 01:00:00;
2020-06-12 01:15:00;
2020-06-12 01:30:00;
2020-06-12 01:45:00;
2020-06-12 02:00:00;
2020-06-12 02:15:00;
2020-06-12 02:30:00;
2020-06-12 02:45:00;
2020-06-12 03:00:00;
2020-06-12 03:15:00;
2020-06-12 03:30:00;
2020-06-12 03:45:00;
2020-06-12 04:00:00;
2020-06-12 04:15:00;
2020-06-12 04:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-12 04:45:00;
2020-06-12 05:00:00;
2020-06-12 05:15:00;
2020-06-12 05:30:00;
2020-06-12 05:45:00;
2020-06-12 06:00:00;
2020-06-12 06:15:00;
2020-06-12 06:30:00;
2020-06-12 06:45:00;
2020-06-12 07:00:00;
2020-06-12 07:15:00;
2020-06-12 07:30:00;
2020-06-12 07:45:00;80;8;34;18;24;3;23;27;0;0;0;0;0;0;0
2020-06-12 08:00:00;87;8;28;21;44;3;30;27;0;0;0;0;0;0;0
2020-06-12 08:15:00;93;7;33;12;56;6;26;31;0;0;0;0;0;0;0
2020-06-12 08:30:00;105;15;33;29;57;8;43;32;0;1;2;0;0;15;0
2020-06-12 08:45:00;129;10;29;35;59;7;33;36;0;0;0;0;0;0;0
2020-06-12 09:15:00;131;11;29;20;62;9;57;23;0;0;0;0;0;0;0
2020-06-12 09:30:00;141;9;41;41;82;6;48;30;0;1;2;0;3;2;0
2020-06-12 09:45:00;150;8;44;48;79;7;49;44;0;5;1;0;0;0;0
2020-06-12 10:00:00;134;15;47;41;78;11;44;38;0;7;6;12;0;0;0
2020-06-12 10:15:00;131;12;45;45;111;18;64;32;0;4;1;0;0;0;0
2020-06-12 10:30:00;119;11;35;41;81;16;60;41;0;2;1;0;0;0;0
2020-06-12 10:45:00;118;15;53;54;106;12;49;42;0;0;1;0;0;0;0
2020-06-12 11:00:00;119;17;44;58;107;8;61;43;0;0;0;0;0;0;0
2020-06-12 11:15:00;127;11;45;48;118;15;59;49;0;11;4;0;0;0;0
2020-06-12 11:30:00;109;6;61;46;120;12;45;50;0;1;4;0;0;0;0
2020-06-12 11:45:00;105;12;60;48;115;17;50;43;0;2;2;0;0;0;0
2020-06-12 12:00:00;90;5;65;38;121;15;52;53;0;5;3;0;2;0;0
2020-06-12 12:15:00;122;8;55;34;107;7;52;45;0;2;1;0;1;0;0
2020-06-12 12:30:00;111;4;42;47;95;9;55;40;0;7;1;0;0;0;0
2020-06-12 12:45:00;124;14;50;34;118;14;65;35;0;5;1;106;0;0;3
2020-06-12 13:00:00;130;11;41;27;134;13;54;31;0;1;0;0;0;0;0
2020-06-12 13:15:00;124;7;42;35;123;13;54;32;0;5;5;0;0;0;0
2020-06-12 13:30:00;129;12;52;34;97;14;67;26;0;1;3;0;0;0;0
2020-06-12 13:45:00;103;5;32;30;111;9;61;37;0;1;3;0;0;0;0
2020-06-12 14:00:00;123;5;35;36;106;15;59;24;0;1;1;0;2;0;0
2020-06-12 14:15:00;117;11;37;35;119;9;51;31;0;1;0;1;0;0;0
2020-06-12 14:30:00;130;6;38;35;117;11;45;32;0;0;7;0;0;2;0
2020-06-12 14:45:00;102;10;41;35;112;10;54;38;0;6;0;0;0;0;0
2020-06-12 15:00:00;124;5;35;29;109;10;51;23;0;1;3;0;0;0;0
2020-06-12 15:15:00;107;8;37;32;125;10;53;26;0;0;1;0;0;0;0
2020-06-12 15:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-12 15:45:00;133;8;34;31;92;11;49;19;0;0;3;0;0;0;0
2020-06-12 16:00:00;97;12;41;27;103;5;44;34;0;1;3;0;0;1;0
2020-06-12 16:15:00;95;10;44;34;104;9;53;34;0;1;2;0;0;0;0
2020-06-12 16:30:00;115;3;31;39;90;13;44;34;0;0;7;0;0;0;0
2020-06-12 16:45:00;103;1;38;34;98;6;53;31;0;7;5;0;0;2;1
2020-06-12 17:00:00;120;3;31;32;89;9;52;31;0;0;0;0;0;0;0
2020-06-12 17:15:00;116;3;28;30;116;8;44;22;0;1;0;0;0;0;0
2020-06-12 17:30:00;126;4;28;21;86;7;39;32;0;0;2;0;0;0;0
2020-06-12 17:45:00;98;3;43;20;81;9;42;28;0;2;4;0;0;0;0
2020-06-12 18:00:00;99;3;33;17;90;5;34;27;0;0;0;0;0;0;0
2020-06-12 18:15:00;123;2;18;18;90;8;37;26;0;0;0;0;0;0;0
2020-06-12 18:30:00;91;5;24;16;72;6;37;24;0;3;0;0;0;0;0
2020-06-12 18:45:00;104;1;20;22;79;9;28;23;0;1;1;0;0;0;0
2020-06-12 19:00:00;91;1;18;6;93;6;20;17;0;0;2;0;0;0;0
2020-06-12 19:15:00;81;4;20;18;88;5;27;22;0;2;6;0;0;0;0
2020-06-12 19:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-12 19:45:00;61;0;20;10;69;8;25;25;0;0;0;0;0;0;0
2020-06-12 20:00:00;57;2;17;7;95;5;15;16;0;0;4;0;1;0;0
2020-06-12 20:15:00;58;2;18;6;67;4;28;20;0;2;0;0;0;0;0
2020-06-12 20:30:00;45;1;13;9;49;6;27;11;0;0;2;0;2;0;0
2020-06-12 20:45:00;55;0;12;4;40;4;19;11;0;0;0;0;0;0;0
2020-06-12 21:00:00;42;2;15;7;68;6;22;16;0;0;0;0;0;0;0
2020-06-12 21:15:00;48;2;9;6;50;2;17;12;0;1;0;0;0;0;0
2020-06-12 21:30:00;63;2;10;11;42;4;22;17;0;2;1;0;0;6;0
2020-06-12 21:45:00;39;4;8;6;37;5;19;13;0;2;1;1;0;0;0
2020-06-12 22:00:00;39;1;14;15;42;5;22;18;0;0;0;0;0;0;0
2020-06-12 22:15:00;50;1;11;4;66;4;18;10;0;0;0;0;0;0;0
2020-06-12 22:30:00;33;2;10;8;41;4;15;13;0;1;0;0;0;2;0
2020-06-12 22:45:00;19;2;10;5;23;5;7;8;0;4;1;34;0;1;0
2020-06-12 23:00:00;25;2;5;3;23;6;10;8;0;0;0;0;0;0;0
2020-06-12 23:15:00;24;2;6;0;14;4;12;8;0;1;0;0;0;0;0
2020-06-12 23:30:00;17;0;6;5;22;6;15;7;0;0;0;0;0;0;0
