DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2019-09-27 00:00:00;9;40;7;5;0;6;13
2019-09-27 00:15:00;6;31;11;4;1;15;13
2019-09-27 00:30:00;12;30;6;2;2;10;14
2019-09-27 00:45:00;7;24;6;1;1;5;7
2019-09-27 01:00:00;3;17;1;3;1;4;6
2019-09-27 01:15:00;2;9;3;1;0;10;6
2019-09-27 01:30:00;6;12;4;0;1;7;9
2019-09-27 01:45:00;1;11;2;1;0;10;9
2019-09-27 02:00:00;1;5;0;2;2;6;4
2019-09-27 02:15:00;2;8;2;1;0;3;3
2019-09-27 02:30:00;1;11;1;2;0;4;4
2019-09-27 02:45:00;2;9;0;2;1;3;8
2019-09-27 03:00:00;0;5;1;2;1;7;9
2019-09-27 03:15:00;2;6;0;1;0;10;6
2019-09-27 03:30:00;5;8;2;1;0;6;5
2019-09-27 03:45:00;5;9;0;2;1;3;4
2019-09-27 04:00:00;3;5;0;3;3;5;4
2019-09-27 04:15:00;5;10;1;9;7;10;15
2019-09-27 04:30:00;9;19;3;3;0;14;11
2019-09-27 04:45:00;15;24;4;7;1;12;18
2019-09-27 05:00:00;39;65;5;12;4;14;24
2019-09-27 05:15:00;93;126;14;17;9;19;35
2019-09-27 05:30:00;88;126;13;17;12;28;46
2019-09-27 05:45:00;74;117;20;17;20;59;74
2019-09-27 06:00:00;67;105;13;22;18;61;97
2019-09-27 06:15:00;92;143;24;39;31;63;98
2019-09-27 06:30:00;133;180;35;76;24;70;81
2019-09-27 06:45:00;138;175;43;50;38;63;82
2019-09-27 07:00:00;139;209;50;85;51;79;97
2019-09-27 07:15:00;150;201;52;103;60;101;115
2019-09-27 07:30:00;238;173;52;97;49;153;87
2019-09-27 07:45:00;208;174;71;61;55;110;105
2019-09-27 08:00:00;143;200;58;78;35;95;102
2019-09-27 08:15:00;98;186;64;71;32;91;130
2019-09-27 08:30:00;103;194;55;72;28;85;111
2019-09-27 08:45:00;94;174;58;50;34;77;98
2019-09-27 09:00:00;84;169;56;47;25;86;117
2019-09-27 09:15:00;73;182;57;51;26;77;92
2019-09-27 09:30:00;82;171;50;75;21;81;91
2019-09-27 09:45:00;76;173;66;51;19;81;98
2019-09-27 10:00:00;78;169;44;63;16;85;113
2019-09-27 10:15:00;90;167;48;57;22;111;131
2019-09-27 10:30:00;92;198;60;55;19;120;117
2019-09-27 10:45:00;73;163;61;48;30;91;102
2019-09-27 11:00:00;95;169;55;54;23;108;119
2019-09-27 11:15:00;87;184;50;54;24;114;140
2019-09-27 11:30:00;80;189;60;47;17;101;110
2019-09-27 11:45:00;100;212;69;56;24;111;125
2019-09-27 12:00:00;88;209;96;65;17;130;140
2019-09-27 12:15:00;109;225;73;54;17;124;133
2019-09-27 12:30:00;131;237;99;75;22;125;135
2019-09-27 12:45:00;102;212;88;66;21;134;137
2019-09-27 13:00:00;187;199;93;75;23;140;148
2019-09-27 13:15:00;162;215;102;60;18;98;119
2019-09-27 13:30:00;165;222;72;61;26;121;145
2019-09-27 13:45:00;127;173;76;64;43;110;131
2019-09-27 14:00:00;124;200;78;47;26;150;146
2019-09-27 14:15:00;119;197;86;78;28;135;149
2019-09-27 14:30:00;104;206;85;62;16;152;162
2019-09-27 14:45:00;111;181;62;51;32;107;106
2019-09-27 15:00:00;117;213;93;68;27;141;150
2019-09-27 15:15:00;121;226;76;50;24;131;152
2019-09-27 15:30:00;114;192;80;74;34;141;160
2019-09-27 15:45:00;97;235;94;59;26;125;145
2019-09-27 16:00:00;122;222;89;64;32;127;135
2019-09-27 16:15:00;114;223;88;76;28;137;154
2019-09-27 16:30:00;151;208;89;72;25;121;109
2019-09-27 16:45:00;90;200;71;52;28;112;103
2019-09-27 17:00:00;123;227;85;59;29;119;111
2019-09-27 17:15:00;111;170;66;61;21;123;123
2019-09-27 17:30:00;95;211;68;68;28;124;151
2019-09-27 17:45:00;81;217;64;75;26;113;138
2019-09-27 18:00:00;114;247;84;62;23;122;135
2019-09-27 18:15:00;83;216;70;62;27;123;138
2019-09-27 18:30:00;73;185;63;54;25;119;133
2019-09-27 18:45:00;85;198;78;63;16;105;126
2019-09-27 19:00:00;64;168;55;53;23;98;117
2019-09-27 19:15:00;69;183;69;37;20;100;97
2019-09-27 19:30:00;71;170;60;39;17;84;91
2019-09-27 19:45:00;49;122;43;35;13;108;104
2019-09-27 20:00:00;51;143;56;35;14;85;108
2019-09-27 20:15:00;58;112;45;26;17;76;110
2019-09-27 20:30:00;68;126;40;29;8;75;73
2019-09-27 20:45:00;52;119;53;19;14;53;61
2019-09-27 21:00:00;71;139;32;24;16;47;60
2019-09-27 21:15:00;82;138;40;19;15;60;52
2019-09-27 21:30:00;58;121;35;14;8;49;58
2019-09-27 21:45:00;32;91;30;11;9;69;83
2019-09-27 22:00:00;39;91;34;11;8;102;112
2019-09-27 22:15:00;34;86;25;23;11;74;86
2019-09-27 22:30:00;25;95;34;15;5;61;67
2019-09-27 22:45:00;26;68;25;13;6;42;50
2019-09-27 23:00:00;27;81;30;16;5;47;45
2019-09-27 23:15:00;31;74;18;13;7;40;45
2019-09-27 23:30:00;21;66;30;7;4;32;39
2019-09-27 23:45:00;27;62;19;14;11;23;36
