DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-05-17 00:00:00;0;10;4;2;5;14;9;12;6;3;13;6;3
2020-05-17 00:15:00;0;12;9;2;4;10;2;19;6;0;13;6;4
2020-05-17 00:30:00;0;15;11;0;3;12;3;7;7;4;12;15;6
2020-05-17 00:45:00;0;13;5;3;7;19;7;7;5;0;5;14;3
2020-05-17 01:00:00;0;6;4;0;1;8;4;7;3;5;12;12;5
2020-05-17 01:15:00;0;5;3;1;5;7;2;11;6;1;5;9;2
2020-05-17 01:30:00;0;11;6;2;1;7;3;5;2;1;4;6;3
2020-05-17 01:45:00;0;3;3;2;3;10;3;8;2;0;4;3;3
2020-05-17 02:00:00;0;3;1;0;3;6;4;9;0;1;2;9;3
2020-05-17 02:15:00;0;7;3;2;1;3;2;8;2;0;1;5;3
2020-05-17 02:30:00;0;0;5;2;0;7;3;4;1;1;4;3;3
2020-05-17 02:45:00;0;5;2;0;0;3;1;2;1;2;2;3;1
2020-05-17 03:00:00;0;3;0;0;1;3;1;2;1;0;1;2;0
2020-05-17 03:15:00;0;1;0;0;0;2;0;3;1;0;1;1;1
2020-05-17 03:30:00;0;3;5;0;0;3;1;1;0;0;3;2;0
2020-05-17 03:45:00;0;1;1;0;0;3;0;5;1;0;3;3;2
2020-05-17 04:00:00;0;2;2;0;1;1;0;4;3;1;2;2;0
2020-05-17 04:15:00;0;3;5;1;2;5;2;6;2;0;1;1;0
2020-05-17 04:30:00;0;0;0;0;2;1;0;6;2;1;1;0;0
2020-05-17 04:45:00;0;0;0;0;4;5;2;1;1;1;0;2;2
2020-05-17 05:00:00;0;1;4;0;0;2;0;3;3;1;4;5;0
2020-05-17 05:15:00;0;1;2;1;0;4;1;4;1;0;4;2;3
2020-05-17 05:30:00;0;4;2;0;2;6;2;11;5;0;2;2;6
2020-05-17 05:45:00;0;7;3;2;5;7;0;8;8;1;2;2;4
2020-05-17 06:00:00;0;8;3;0;1;2;2;6;3;0;6;4;2
2020-05-17 06:15:00;0;4;4;1;2;5;0;8;0;0;2;1;1
2020-05-17 06:30:00;0;5;3;0;2;5;2;7;3;1;6;1;5
2020-05-17 06:45:00;0;5;3;1;1;8;4;5;2;0;3;3;3
2020-05-17 07:00:00;0;12;2;2;3;3;3;10;2;1;3;3;4
2020-05-17 07:15:00;0;5;6;2;2;3;1;11;3;3;5;2;2
2020-05-17 07:30:00;0;7;5;1;5;5;1;6;1;0;7;2;4
2020-05-17 07:45:00;0;9;2;0;5;9;3;9;5;0;6;4;4
2020-05-17 08:00:00;0;4;3;2;0;5;2;8;3;2;10;5;1
2020-05-17 08:15:00;0;5;6;4;6;8;6;15;3;1;12;8;8
2020-05-17 08:30:00;0;12;8;2;3;7;5;7;5;5;9;6;10
2020-05-17 08:45:00;0;11;7;1;2;3;5;14;6;0;9;4;8
2020-05-17 09:00:00;0;13;11;2;5;10;6;10;4;1;11;9;4
2020-05-17 09:15:00;0;20;12;1;6;9;8;21;6;3;15;7;6
2020-05-17 09:30:00;0;13;12;4;11;12;12;23;8;3;16;13;16
2020-05-17 09:45:00;0;17;7;0;11;14;5;31;17;2;18;16;19
2020-05-17 10:00:00;0;26;16;1;7;17;6;26;10;1;17;12;11
2020-05-17 10:15:00;0;18;14;3;14;25;13;24;10;6;26;19;12
2020-05-17 10:30:00;0;27;16;4;10;23;9;32;13;5;30;16;18
2020-05-17 10:45:00;0;20;12;4;20;23;14;36;16;3;21;17;10
2020-05-17 11:00:00;0;31;17;2;8;23;9;21;15;4;24;12;12
2020-05-17 11:15:00;0;34;19;2;18;28;8;35;8;4;24;18;19
2020-05-17 11:30:00;0;30;15;7;18;30;10;28;12;7;30;14;14
2020-05-17 11:45:00;0;25;19;3;17;25;13;32;12;6;28;23;16
2020-05-17 12:00:00;0;31;22;7;9;27;8;44;15;4;32;29;17
2020-05-17 12:15:00;0;31;28;5;21;25;7;26;14;6;32;23;28
2020-05-17 12:30:00;0;25;28;3;18;41;10;23;18;8;31;25;8
2020-05-17 12:45:00;0;27;22;2;16;27;7;31;19;7;28;27;14
2020-05-17 13:00:00;0;29;24;2;17;26;8;33;15;5;34;32;18
2020-05-17 13:15:00;0;29;16;2;18;35;16;35;17;7;26;27;15
2020-05-17 13:30:00;0;29;27;6;23;33;13;30;11;5;33;16;17
2020-05-17 13:45:00;0;27;21;4;36;41;16;42;21;4;40;23;14
2020-05-17 14:00:00;0;26;27;1;22;40;9;35;15;5;33;29;15
2020-05-17 14:15:00;0;29;18;3;30;41;8;25;21;11;45;27;22
2020-05-17 14:30:00;0;22;18;2;20;44;12;32;20;6;37;25;14
2020-05-17 14:45:00;0;44;22;3;38;55;10;43;25;10;32;29;25
2020-05-17 15:00:00;0;40;25;5;18;24;14;38;24;5;27;27;24
2020-05-17 15:15:00;0;30;21;6;30;47;10;37;26;10;43;34;16
2020-05-17 15:30:00;0;38;18;8;22;38;11;40;19;14;45;35;19
2020-05-17 15:45:00;0;40;19;7;36;43;14;49;23;15;42;34;21
2020-05-17 16:00:00;0;29;17;7;25;45;10;35;28;7;41;22;21
2020-05-17 16:15:00;0;40;27;6;21;35;19;45;20;2;28;22;15
2020-05-17 16:30:00;0;30;23;5;32;33;8;40;18;7;34;24;18
2020-05-17 16:45:00;0;27;27;2;24;48;21;50;23;10;28;24;22
2020-05-17 17:00:00;0;35;27;9;24;44;19;82;25;8;30;29;25
2020-05-17 17:15:00;0;38;26;4;27;49;18;48;27;8;29;29;25
2020-05-17 17:30:00;0;39;29;8;28;53;15;43;32;4;48;33;16
2020-05-17 17:45:00;0;34;29;4;20;39;17;55;25;6;41;37;26
2020-05-17 18:00:00;0;33;24;5;22;44;15;40;23;9;38;37;27
2020-05-17 18:15:00;0;34;26;10;37;45;14;39;26;7;38;30;30
2020-05-17 18:30:00;0;41;36;4;23;40;24;48;29;9;33;31;21
2020-05-17 18:45:00;0;37;33;8;25;42;9;45;27;6;37;36;22
2020-05-17 19:00:00;0;37;18;5;22;36;23;57;23;5;42;37;25
2020-05-17 19:15:00;0;21;21;6;25;50;21;49;27;8;40;43;25
2020-05-17 19:30:00;0;30;22;10;16;36;22;46;23;6;26;22;18
2020-05-17 19:45:00;0;25;27;6;15;28;21;50;27;4;36;30;16
