DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-04-14 00:00:00;2;0;0;0;7;2;0;0;0;0;2;0;1;9;2;0;0
2020-04-14 00:15:00;4;1;0;0;2;5;0;0;0;0;4;1;5;8;7;0;0
2020-04-14 00:30:00;3;0;0;0;3;0;0;0;0;0;3;0;0;3;0;0;0
2020-04-14 00:45:00;3;0;1;0;2;0;0;0;0;0;3;0;0;3;0;0;0
2020-04-14 01:00:00;1;2;0;0;3;1;0;0;0;0;1;2;2;4;2;0;0
2020-04-14 01:15:00;6;1;0;0;2;2;0;0;0;0;6;2;2;4;2;0;0
2020-04-14 01:30:00;6;1;0;0;2;3;0;0;0;0;6;1;3;5;3;0;0
2020-04-14 01:45:00;4;1;0;0;2;1;1;1;0;0;4;1;1;3;1;0;0
2020-04-14 02:00:00;2;0;0;0;3;1;0;0;0;0;2;0;1;4;2;0;0
2020-04-14 02:15:00;11;0;0;0;2;0;0;0;0;0;11;0;0;2;0;0;0
2020-04-14 02:30:00;7;0;0;0;2;0;0;0;0;0;7;0;0;2;0;0;0
2020-04-14 02:45:00;4;3;0;0;3;0;0;0;0;0;4;2;0;3;0;0;0
2020-04-14 03:00:00;4;0;0;0;9;1;0;0;0;0;2;1;0;9;2;0;0
2020-04-14 03:15:00;4;2;0;0;6;1;0;0;0;0;4;2;1;8;1;0;0
2020-04-14 03:30:00;5;0;0;0;2;4;2;2;0;0;5;0;4;6;4;0;0
2020-04-14 03:45:00;10;2;0;0;4;0;0;0;0;0;10;2;0;4;0;0;0
2020-04-14 04:00:00;3;1;0;0;9;2;0;0;0;0;3;1;2;11;2;0;0
2020-04-14 04:15:00;9;5;0;0;10;2;1;1;1;1;10;6;3;11;3;0;0
2020-04-14 04:30:00;23;2;1;1;19;2;3;3;1;0;22;2;2;20;2;0;0
2020-04-14 04:45:00;17;4;1;0;5;3;0;0;0;0;17;4;3;8;3;0;0
2020-04-14 05:00:00;24;7;1;1;20;3;0;0;0;0;24;6;3;23;3;0;0
2020-04-14 05:15:00;35;20;0;1;38;10;0;0;0;1;31;21;7;45;8;0;0
2020-04-14 05:30:00;50;24;1;0;37;15;1;1;1;1;50;26;14;51;14;0;0
2020-04-14 05:45:00;65;30;2;0;43;19;1;1;1;4;64;29;17;54;18;0;0
2020-04-14 06:00:00;51;26;3;0;63;20;3;3;2;1;48;28;19;81;19;0;0
2020-04-14 06:15:00;65;43;5;0;73;38;2;2;1;0;62;39;39;105;39;0;0
2020-04-14 06:30:00;92;76;1;0;56;34;2;2;2;2;84;82;32;82;30;0;0
2020-04-14 06:45:00;111;123;1;0;66;33;5;6;2;1;96;122;30;89;30;0;0
2020-04-14 07:00:00;76;87;2;0;71;40;12;12;8;4;72;91;35;101;34;5;0
2020-04-14 07:15:00;106;102;2;0;95;52;2;2;1;2;98;102;49;135;50;0;0
2020-04-14 07:30:00;98;89;1;0;86;55;4;5;3;2;87;91;53;121;58;0;4
2020-04-14 07:45:00;116;116;1;2;79;57;8;10;9;5;106;113;63;118;61;0;0
2020-04-14 08:00:00;87;75;3;0;70;35;8;9;3;4;80;72;36;98;36;0;0
2020-04-14 08:15:00;85;77;0;0;76;47;5;5;4;0;82;74;46;111;46;0;0
2020-04-14 08:30:00;94;73;1;1;76;32;8;9;7;1;88;80;28;101;27;0;0
2020-04-14 08:45:00;91;78;0;3;65;49;8;8;6;2;83;82;51;102;48;0;0
2020-04-14 09:00:00;85;62;0;0;79;46;2;2;0;1;76;67;45;111;45;0;0
2020-04-14 09:15:00;94;65;1;2;82;54;7;7;2;2;85;64;54;128;54;0;0
2020-04-14 09:30:00;101;67;0;0;83;64;9;9;5;1;92;68;67;135;67;0;0
2020-04-14 09:45:00;86;54;1;1;101;61;7;6;5;0;80;58;64;146;62;0;0
2020-04-14 10:00:00;94;78;1;1;83;37;12;11;4;1;91;80;38;112;39;0;0
2020-04-14 10:15:00;91;67;1;1;95;64;17;19;13;2;80;73;57;140;56;0;0
2020-04-14 10:30:00;92;71;3;0;93;49;13;13;8;1;88;80;50;129;50;0;0
2020-04-14 10:45:00;104;62;0;0;86;69;13;14;8;2;102;61;69;138;67;0;0
2020-04-14 11:00:00;88;82;1;1;90;64;13;13;7;1;74;85;63;144;60;0;0
2020-04-14 11:15:00;83;69;0;0;104;68;14;14;8;2;76;69;60;153;61;0;0
2020-04-14 11:30:00;85;90;3;2;99;51;18;18;10;4;88;95;59;136;56;0;0
2020-04-14 11:45:00;99;83;3;1;86;66;15;16;7;2;90;85;73;140;68;0;0
2020-04-14 12:00:00;80;85;1;1;109;67;15;16;10;1;73;94;72;163;76;0;0
2020-04-14 12:15:00;80;79;2;0;103;91;13;13;11;3;73;87;96;174;92;1;0
2020-04-14 12:30:00;103;88;0;0;108;76;12;13;9;3;102;87;82;160;75;0;0
2020-04-14 12:45:00;80;75;0;0;103;63;10;10;4;1;73;71;65;154;64;2;0
2020-04-14 13:00:00;94;68;3;0;108;52;8;8;8;2;90;71;46;142;47;0;2
2020-04-14 13:15:00;89;70;1;1;101;64;16;17;7;1;81;65;67;148;65;0;0
2020-04-14 13:30:00;75;54;3;0;100;68;7;7;8;2;73;54;74;157;72;1;1
2020-04-14 13:45:00;101;67;3;1;102;63;6;7;3;1;95;69;62;151;62;0;0
2020-04-14 14:00:00;85;76;1;0;97;62;8;8;6;1;81;78;61;150;62;0;0
2020-04-14 14:15:00;96;76;6;2;96;55;15;16;8;2;87;78;57;133;56;1;0
2020-04-14 14:30:00;86;78;1;0;117;72;8;8;6;0;77;84;69;170;69;0;3
2020-04-14 14:45:00;80;55;1;0;99;61;13;14;5;0;75;57;62;146;61;0;0
2020-04-14 15:00:00;82;61;2;1;95;59;9;9;5;2;83;64;64;146;63;4;0
2020-04-14 15:15:00;98;62;0;2;121;91;14;13;6;0;78;67;92;191;90;0;0
2020-04-14 15:30:00;103;63;3;1;117;72;12;13;11;1;101;68;68;161;68;0;0
2020-04-14 15:45:00;113;72;3;0;118;85;10;10;7;0;109;77;91;184;89;0;0
2020-04-14 16:00:00;96;70;2;0;119;71;16;16;12;0;94;71;78;175;80;0;0
2020-04-14 16:15:00;107;78;0;0;137;99;18;17;11;1;101;84;95;205;94;0;0
2020-04-14 16:30:00;108;66;2;0;120;82;23;23;11;0;109;67;79;185;79;0;0
2020-04-14 16:45:00;104;77;0;1;119;73;10;10;8;1;102;77;71;168;71;0;0
2020-04-14 17:00:00;95;64;0;0;156;57;19;19;15;1;99;63;58;198;57;0;1
2020-04-14 17:15:00;88;67;0;0;106;47;12;12;7;2;90;69;47;144;48;3;0
2020-04-14 17:30:00;64;53;1;0;104;60;6;6;2;1;63;52;60;161;59;0;0
2020-04-14 17:45:00;56;46;0;0;84;39;4;4;1;2;52;50;39;117;41;0;0
2020-04-14 18:00:00;53;40;1;3;95;47;7;7;2;2;51;41;46;135;47;0;0
2020-04-14 18:15:00;48;34;1;0;91;37;3;3;2;3;45;35;39;125;39;0;0
2020-04-14 18:30:00;37;44;0;0;76;24;2;2;0;1;34;44;24;99;24;0;0
2020-04-14 18:45:00;33;32;0;1;58;27;2;2;1;1;29;32;25;82;25;0;0
2020-04-14 19:00:00;36;30;0;1;47;18;2;2;1;2;36;30;21;65;22;0;0
2020-04-14 19:15:00;33;20;1;0;48;24;4;5;1;0;33;21;26;72;25;0;0
2020-04-14 19:30:00;26;22;0;0;40;14;2;2;1;0;24;23;14;52;15;0;0
2020-04-14 19:45:00;33;18;0;0;44;15;3;3;2;0;29;17;15;56;15;0;0
2020-04-14 20:00:00;23;18;0;0;45;15;0;0;0;1;23;19;13;59;14;0;0
2020-04-14 20:15:00;19;11;0;0;32;12;2;2;1;0;19;10;14;44;14;0;0
2020-04-14 20:30:00;19;13;0;0;24;14;1;1;1;1;18;15;15;38;14;0;0
2020-04-14 20:45:00;17;9;0;0;20;8;0;0;0;0;15;10;8;27;8;0;0
2020-04-14 21:00:00;16;10;0;1;27;5;3;3;1;0;15;12;7;31;7;0;0
2020-04-14 21:15:00;15;6;0;0;15;5;0;0;0;1;13;7;5;20;5;0;0
2020-04-14 21:30:00;11;10;1;0;12;3;0;0;0;1;11;10;3;15;3;0;0
2020-04-14 21:45:00;9;8;0;0;17;4;0;0;0;0;9;8;4;20;4;0;0
2020-04-14 22:00:00;9;4;0;0;17;5;0;0;0;1;8;5;5;20;6;0;0
2020-04-14 22:15:00;7;5;0;0;15;3;0;0;0;0;7;5;3;16;3;0;0
2020-04-14 22:30:00;6;4;0;0;14;4;0;0;0;0;6;4;4;18;4;0;0
2020-04-14 22:45:00;5;3;0;0;13;3;0;0;0;0;7;2;3;15;3;0;0
2020-04-14 23:00:00;7;3;0;0;6;0;1;1;0;0;7;3;0;6;0;0;0
2020-04-14 23:15:00;3;3;0;0;8;3;1;1;1;0;3;3;2;9;2;0;0
2020-04-14 23:30:00;6;4;0;0;6;0;0;0;0;0;6;4;1;6;2;0;0
