DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-07-19 00:00:00;14;28;0;26;17;4;5;7;5;1;0;0;0;0
2020-07-19 00:15:00;19;32;0;16;25;10;8;16;2;0;1;0;0;0
2020-07-19 00:30:00;25;36;0;22;26;12;10;11;1;0;0;0;0;0
2020-07-19 00:45:00;20;33;0;19;26;8;8;4;1;0;0;0;0;0
2020-07-19 01:00:00;19;23;1;13;12;6;5;10;5;0;0;0;0;0
2020-07-19 01:15:00;17;22;0;11;22;4;6;5;3;0;0;0;0;0
2020-07-19 01:30:00;15;23;0;11;21;7;5;7;4;0;0;0;0;0
2020-07-19 01:45:00;12;18;0;15;23;6;2;3;0;0;0;0;0;0
2020-07-19 02:00:00;20;18;1;8;17;5;5;4;4;3;0;0;0;0
2020-07-19 02:15:00;15;11;0;8;14;4;3;3;0;0;0;0;0;0
2020-07-19 02:30:00;10;7;1;6;13;4;6;8;0;0;0;0;0;0
2020-07-19 02:45:00;13;11;0;10;7;3;4;5;1;1;0;0;0;0
2020-07-19 03:00:00;4;3;0;7;16;2;1;7;4;0;0;0;0;0
2020-07-19 03:15:00;0;4;0;3;9;3;4;2;1;0;0;0;0;0
2020-07-19 03:30:00;3;5;0;7;9;6;2;5;1;0;0;0;0;0
2020-07-19 03:45:00;5;2;0;4;5;2;1;5;1;0;0;0;0;0
2020-07-19 04:00:00;2;2;0;4;11;3;1;0;0;0;0;0;0;0
2020-07-19 04:15:00;4;3;0;5;3;1;0;2;3;0;0;0;0;0
2020-07-19 04:30:00;3;4;0;5;4;1;0;1;0;0;0;0;0;0
2020-07-19 04:45:00;5;6;0;3;6;1;1;0;0;0;0;0;0;0
2020-07-19 05:00:00;2;2;0;9;11;3;1;2;1;0;1;0;0;0
2020-07-19 05:15:00;3;8;0;4;9;3;0;3;3;0;0;0;0;0
