DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2019-11-20 00:00:00;7;8;1;2;0;9;0;0;0;0;0
2019-11-20 00:15:00;10;6;1;0;0;12;5;0;0;0;0
2019-11-20 00:30:00;13;4;1;1;0;8;2;0;0;0;0
2019-11-20 00:45:00;7;9;2;2;0;6;0;0;0;0;0
2019-11-20 01:00:00;15;10;2;2;0;3;0;10;0;0;0
2019-11-20 01:15:00;8;4;2;1;0;9;0;0;0;0;0
2019-11-20 01:30:00;7;3;3;4;0;7;2;0;0;0;0
2019-11-20 01:45:00;9;2;2;2;0;6;1;0;0;0;0
2019-11-20 02:00:00;11;10;0;0;0;4;1;0;0;0;0
2019-11-20 02:15:00;7;3;0;0;0;6;2;0;0;0;0
2019-11-20 02:30:00;8;1;0;1;0;1;0;0;0;0;0
2019-11-20 02:45:00;12;5;2;1;0;6;0;0;0;0;0
2019-11-20 03:00:00;7;2;1;1;0;5;1;0;0;0;0
2019-11-20 03:15:00;14;5;1;0;0;6;1;0;0;0;0
2019-11-20 03:30:00;9;4;0;0;0;7;0;0;0;0;0
2019-11-20 03:45:00;12;7;1;0;0;4;0;0;0;0;0
2019-11-20 04:00:00;18;7;1;0;0;6;3;0;0;0;0
2019-11-20 04:15:00;11;6;0;1;0;6;1;0;0;0;0
2019-11-20 04:30:00;16;16;5;2;0;9;5;0;0;0;0
2019-11-20 04:45:00;25;15;3;6;0;34;7;0;0;0;0
2019-11-20 05:00:00;32;22;2;6;0;80;6;0;0;0;0
2019-11-20 05:15:00;46;55;5;22;0;164;10;0;0;0;0
2019-11-20 05:30:00;67;69;7;25;0;155;11;0;0;0;0
2019-11-20 05:45:00;117;134;22;20;0;146;9;0;0;0;0
2019-11-20 06:00:00;147;166;25;19;0;163;10;0;0;0;0
2019-11-20 06:15:00;117;150;22;21;0;177;21;6;0;0;0
2019-11-20 06:30:00;81;85;18;31;0;168;20;0;0;0;0
2019-11-20 06:45:00;85;91;16;34;0;122;13;0;0;0;0
2019-11-20 07:00:00;72;82;10;25;0;144;20;0;0;0;0
2019-11-20 07:15:00;89;87;15;49;0;112;21;0;0;0;0
2019-11-20 07:30:00;84;82;18;58;0;127;21;0;0;0;0
2019-11-20 07:45:00;95;70;18;50;0;139;30;1;0;0;0
2019-11-20 08:00:00;76;78;18;46;0;152;28;0;0;0;0
2019-11-20 08:15:00;84;88;22;41;0;145;27;0;0;0;0
2019-11-20 08:30:00;74;57;28;33;0;116;18;0;0;0;0
2019-11-20 08:45:00;95;100;8;45;0;177;21;0;0;0;0
2019-11-20 09:00:00;91;89;21;41;0;149;21;1;0;0;0
2019-11-20 09:15:00;75;96;20;29;0;127;15;0;0;0;0
2019-11-20 09:30:00;86;77;14;45;0;133;20;0;0;0;0
2019-11-20 09:45:00;80;96;26;56;0;147;25;4;3;0;0
2019-11-20 10:00:00;93;93;26;43;0;132;16;0;7;14;0
2019-11-20 10:15:00;102;100;39;56;0;125;26;0;0;0;0
2019-11-20 10:30:00;82;92;32;49;0;130;20;0;0;0;0
2019-11-20 10:45:00;81;87;36;50;0;128;27;0;1;0;0
2019-11-20 11:00:00;113;104;39;43;0;109;32;0;0;0;0
2019-11-20 11:15:00;100;91;33;48;0;133;27;0;0;0;0
2019-11-20 11:30:00;100;95;38;45;0;133;28;8;15;0;0
2019-11-20 11:45:00;97;84;56;53;0;123;19;0;0;0;0
2019-11-20 12:00:00;120;123;52;50;0;103;26;2;0;0;0
2019-11-20 12:15:00;111;130;44;50;0;128;28;0;0;1;0
2019-11-20 12:30:00;119;116;44;43;0;121;27;0;0;0;0
2019-11-20 12:45:00;104;105;43;34;0;110;19;0;0;0;0
2019-11-20 13:00:00;105;102;37;42;0;126;28;0;0;0;0
2019-11-20 13:15:00;122;126;23;56;0;171;34;0;0;0;8
2019-11-20 13:30:00;127;121;28;56;0;121;27;0;0;0;0
2019-11-20 13:45:00;130;152;35;39;0;143;22;0;0;1;0
2019-11-20 14:00:00;133;148;32;52;0;149;22;74;0;0;0
2019-11-20 14:15:00;185;202;32;50;0;100;29;0;0;0;0
2019-11-20 14:30:00;187;216;45;49;0;109;25;10;0;0;0
2019-11-20 14:45:00;176;195;40;42;0;100;24;1;0;0;0
2019-11-20 15:00:00;166;207;46;49;0;111;21;0;0;0;0
2019-11-20 15:15:00;186;211;55;33;0;107;18;0;1;1;2
2019-11-20 15:30:00;184;192;59;38;0;119;24;0;0;0;0
2019-11-20 15:45:00;178;196;44;40;0;122;28;0;0;0;0
2019-11-20 16:00:00;176;188;46;48;0;120;28;4;0;0;0
2019-11-20 16:15:00;179;187;58;61;0;119;30;2;0;0;0
2019-11-20 16:30:00;151;147;38;49;0;120;24;0;0;0;0
2019-11-20 16:45:00;124;127;45;44;0;115;33;0;0;1;0
2019-11-20 17:00:00;140;122;29;54;0;135;30;9;0;0;0
2019-11-20 17:15:00;192;184;43;43;0;137;24;0;0;0;2
2019-11-20 17:30:00;173;193;41;55;0;114;25;0;17;0;0
2019-11-20 17:45:00;183;194;47;63;0;132;29;0;0;0;0
2019-11-20 18:00:00;151;171;52;42;0;118;23;0;0;0;0
2019-11-20 18:15:00;134;138;40;41;0;110;21;0;0;0;0
2019-11-20 18:30:00;126;136;34;51;0;99;18;0;0;0;0
2019-11-20 18:45:00;105;129;36;31;0;80;17;0;0;0;0
2019-11-20 19:00:00;109;111;30;35;0;88;19;2;0;0;0
2019-11-20 19:15:00;109;100;31;31;0;72;23;0;0;0;0
2019-11-20 19:30:00;88;95;32;26;0;62;15;0;2;0;0
2019-11-20 19:45:00;86;62;24;33;0;48;7;2;0;0;0
2019-11-20 20:00:00;74;67;24;28;0;49;12;3;0;0;0
2019-11-20 20:15:00;68;79;25;26;0;61;14;0;11;0;0
2019-11-20 20:30:00;55;51;15;17;0;57;16;0;0;0;0
2019-11-20 20:45:00;58;43;16;16;0;57;12;0;1;0;0
2019-11-20 21:00:00;58;52;11;17;0;134;16;0;0;0;0
2019-11-20 21:15:00;42;31;11;18;0;129;11;0;0;0;0
2019-11-20 21:30:00;79;65;13;16;0;64;11;0;0;0;0
2019-11-20 21:45:00;105;119;13;16;0;40;8;0;0;0;0
2019-11-20 22:00:00;160;176;17;14;0;36;10;0;0;0;0
2019-11-20 22:15:00;89;87;17;11;0;32;10;0;0;0;0
2019-11-20 22:30:00;53;24;13;9;0;30;9;2;0;0;0
2019-11-20 22:45:00;38;31;14;7;0;17;6;1;0;0;0
2019-11-20 23:00:00;27;20;4;6;0;14;5;0;0;0;0
2019-11-20 23:15:00;19;9;2;3;0;8;2;0;0;0;0
2019-11-20 23:30:00;20;15;4;5;0;9;0;0;0;0;0
2019-11-20 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
