DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2019-09-08 21:00:00;93;25;11;19;21;38;79;40;71;2;1;4
2019-09-08 21:15:00;74;19;9;28;21;33;70;29;50;0;0;0
2019-09-08 21:30:00;80;22;8;13;21;26;71;42;55;0;2;3
2019-09-08 21:45:00;68;28;8;22;19;19;70;28;26;0;0;0
2019-09-08 22:00:00;58;13;8;22;18;28;58;34;41;0;0;2
2019-09-08 22:15:00;67;25;2;12;22;22;66;21;28;0;0;2
2019-09-08 22:30:00;62;24;0;15;17;16;62;13;24;0;0;0
2019-09-08 22:45:00;48;21;10;15;19;16;44;25;25;0;0;0
2019-09-08 23:00:00;25;14;3;10;10;13;23;16;19;1;0;0
2019-09-08 23:15:00;44;17;3;5;13;15;42;14;18;0;0;1
2019-09-08 23:30:00;26;9;0;9;14;7;28;12;14;0;0;0
2019-09-08 23:45:00;23;8;4;0;7;11;21;11;15;0;0;0
