DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-07-19 00:00:00;0;21;5;3;5;11;1;12;5;0;14;10;12
2020-07-19 00:15:00;0;29;15;3;9;16;5;21;11;5;17;17;9
2020-07-19 00:30:00;0;18;11;2;8;13;2;10;9;0;18;15;3
2020-07-19 00:45:00;0;18;14;6;7;14;1;17;4;2;11;9;10
2020-07-19 01:00:00;0;17;6;2;10;10;1;14;5;6;17;8;8
2020-07-19 01:15:00;0;16;14;2;5;9;3;10;5;3;9;7;5
2020-07-19 01:30:00;0;14;8;5;7;13;5;12;8;4;13;13;3
2020-07-19 01:45:00;0;11;8;0;3;10;5;8;6;0;3;5;5
2020-07-19 02:00:00;0;9;2;0;5;9;4;12;6;3;6;7;7
2020-07-19 02:15:00;0;10;7;0;4;3;3;7;0;0;1;4;2
2020-07-19 02:30:00;0;6;3;1;4;4;1;5;3;0;8;3;0
2020-07-19 02:45:00;0;10;2;0;1;5;1;7;2;0;3;1;1
2020-07-19 03:00:00;0;5;5;1;1;6;2;6;3;0;5;4;4
2020-07-19 03:15:00;0;4;7;2;5;7;2;3;3;1;3;4;1
2020-07-19 03:30:00;0;5;3;2;3;5;2;3;1;1;5;0;0
2020-07-19 03:45:00;0;6;1;0;0;4;5;6;3;1;1;3;1
2020-07-19 04:00:00;0;4;0;0;1;2;1;4;1;0;2;3;3
2020-07-19 04:15:00;0;3;2;1;1;4;2;5;0;1;4;1;0
2020-07-19 04:30:00;0;10;5;0;3;2;0;5;2;1;0;2;0
2020-07-19 04:45:00;0;0;2;0;3;6;3;3;0;1;0;0;2
2020-07-19 05:00:00;0;4;5;2;4;7;4;1;1;0;1;3;2
2020-07-19 05:15:00;0;6;4;1;2;4;1;4;6;0;8;5;4
2020-07-19 05:30:00;0;5;1;0;2;8;2;9;11;0;5;5;5
2020-07-19 05:45:00;0;8;3;2;4;6;1;8;4;0;5;4;8
2020-07-19 06:00:00;0;8;6;1;2;14;1;4;2;1;4;2;2
2020-07-19 06:15:00;0;7;5;2;1;4;0;10;1;0;3;1;3
2020-07-19 06:30:00;0;6;7;0;3;8;2;10;6;1;2;7;8
2020-07-19 06:45:00;0;12;6;0;1;11;4;7;2;1;5;1;2
2020-07-19 07:00:00;0;12;0;0;4;7;2;12;1;4;5;2;3
2020-07-19 07:15:00;0;5;2;1;7;5;3;9;2;6;5;4;3
2020-07-19 07:30:00;0;15;5;2;6;12;6;13;6;0;9;6;4
2020-07-19 07:45:00;0;10;4;3;8;14;4;13;6;1;10;7;5
2020-07-19 08:00:00;0;7;10;2;10;9;2;19;4;1;13;12;3
2020-07-19 08:15:00;0;12;4;0;8;15;3;10;4;5;9;6;9
2020-07-19 08:30:00;0;8;6;0;8;13;8;18;5;4;19;10;12
2020-07-19 08:45:00;0;19;9;5;12;18;9;20;9;5;20;12;6
2020-07-19 09:00:00;0;21;16;4;8;20;4;25;6;3;15;14;7
2020-07-19 09:15:00;0;19;10;2;19;25;6;27;10;8;24;18;12
2020-07-19 09:30:00;0;24;14;4;17;37;8;45;14;8;25;16;10
2020-07-19 09:45:00;0;27;16;0;23;32;13;41;22;4;33;25;28
2020-07-19 10:00:00;0;27;15;4;21;24;3;37;13;7;29;18;19
2020-07-19 10:15:00;0;23;13;3;25;29;6;39;12;7;21;20;25
2020-07-19 10:30:00;0;35;21;5;16;32;12;35;12;5;35;35;16
2020-07-19 10:45:00;0;40;37;1;24;28;14;43;19;7;39;25;28
2020-07-19 11:00:00;0;31;33;5;19;33;7;38;18;12;33;23;17
2020-07-19 11:15:00;0;38;27;7;24;50;12;36;15;9;47;29;18
2020-07-19 11:30:00;0;38;34;4;44;41;14;37;16;14;34;33;26
2020-07-19 11:45:00;0;39;25;7;41;63;16;43;14;8;40;33;23
2020-07-19 12:00:00;0;36;26;3;24;35;17;47;17;8;38;37;26
2020-07-19 12:15:00;0;49;23;5;22;34;16;25;14;8;40;35;21
2020-07-19 12:30:00;0;31;26;6;20;33;15;32;28;10;28;24;19
2020-07-19 12:45:00;0;26;24;4;17;37;18;29;11;8;34;34;22
2020-07-19 13:00:00;0;35;20;3;25;33;18;43;32;8;43;32;38
2020-07-19 13:15:00;0;37;29;2;31;49;12;41;27;10;43;36;26
2020-07-19 13:30:00;0;48;24;6;24;50;15;50;18;11;23;24;21
2020-07-19 13:45:00;0;40;26;4;24;56;17;48;21;6;50;37;30
2020-07-19 14:00:00;0;37;32;4;29;49;23;51;27;7;42;27;26
2020-07-19 14:15:00;0;38;30;6;30;52;21;54;31;9;34;36;20
2020-07-19 14:30:00;0;41;25;6;20;43;19;39;34;6;37;28;26
2020-07-19 14:45:00;0;39;32;5;24;46;17;47;22;5;44;28;30
2020-07-19 15:00:00;0;37;22;6;24;44;15;45;32;9;42;37;24
2020-07-19 15:15:00;0;43;29;8;28;47;16;52;25;11;30;34;30
2020-07-19 15:30:00;0;38;25;9;28;48;10;38;28;14;33;34;24
2020-07-19 15:45:00;0;34;25;2;35;51;9;54;29;21;49;42;23
2020-07-19 16:00:00;0;34;36;6;36;65;19;49;28;23;34;25;19
2020-07-19 16:15:00;0;30;22;9;33;53;16;44;16;10;32;32;25
2020-07-19 16:30:00;0;38;23;13;47;67;11;44;23;14;39;26;23
2020-07-19 16:45:00;0;42;35;5;31;54;14;59;32;21;37;34;23
2020-07-19 17:00:00;0;53;34;9;31;48;16;52;26;9;41;38;28
2020-07-19 17:15:00;0;38;25;1;27;58;17;42;24;11;46;40;26
2020-07-19 17:30:00;0;46;29;3;29;41;7;47;23;4;36;31;24
2020-07-19 17:45:00;0;30;24;8;25;57;14;58;32;8;46;39;28
2020-07-19 18:00:00;0;39;27;6;28;44;15;41;20;12;38;36;21
2020-07-19 18:15:00;0;27;25;4;26;44;9;49;28;9;46;31;26
2020-07-19 18:30:00;0;35;34;7;27;42;13;45;30;5;52;34;38
2020-07-19 18:45:00;0;30;29;2;30;47;15;63;37;10;50;40;19
2020-07-19 19:00:00;0;28;27;12;36;49;13;46;28;3;38;34;24
2020-07-19 19:15:00;0;39;29;8;30;41;12;48;28;7;38;30;23
2020-07-19 19:30:00;0;39;34;7;34;52;19;57;35;10;32;35;28
2020-07-19 19:45:00;0;36;33;7;19;34;14;44;27;3;38;107;15
