DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-04-05 00:00:00;3;5;2;0;0;2;7;3;1;1;0;0
2020-04-05 00:15:00;4;4;0;0;0;3;6;5;3;3;0;0
2020-04-05 00:30:00;6;4;0;1;1;6;4;1;3;5;0;0
2020-04-05 00:45:00;1;1;0;0;0;3;4;1;0;2;0;0
2020-04-05 01:00:00;1;1;0;0;0;2;1;0;1;1;0;0
2020-04-05 01:15:00;3;3;1;0;1;4;6;2;0;0;0;0
2020-04-05 01:30:00;0;2;0;1;1;0;2;2;1;0;0;0
2020-04-05 01:45:00;2;1;0;0;0;0;0;0;1;1;0;0
2020-04-05 02:00:00;0;0;0;0;0;2;0;0;1;1;0;0
2020-04-05 02:15:00;2;2;0;0;0;1;0;0;0;1;0;0
2020-04-05 02:30:00;0;0;0;0;0;3;3;2;0;1;0;0
2020-04-05 02:45:00;2;0;0;0;0;0;0;0;1;2;0;0
2020-04-05 03:00:00;2;2;0;0;0;0;0;0;0;1;0;0
2020-04-05 03:15:00;0;1;0;1;0;0;0;0;0;0;0;0
2020-04-05 03:30:00;0;1;0;0;0;0;0;0;0;0;0;0
2020-04-05 03:45:00;0;2;0;0;0;1;1;1;1;0;0;0
2020-04-05 04:00:00;2;4;1;0;0;1;1;1;0;0;0;0
2020-04-05 04:15:00;3;1;0;0;0;0;0;0;2;3;0;0
2020-04-05 04:30:00;0;1;0;0;0;3;1;0;0;0;0;0
2020-04-05 04:45:00;0;0;0;0;0;2;1;0;1;0;0;0
2020-04-05 05:00:00;1;1;1;1;1;1;2;1;1;0;0;0
2020-04-05 05:15:00;4;3;0;0;0;4;2;1;3;1;0;0
2020-04-05 05:30:00;4;0;0;1;1;11;11;6;0;1;0;0
2020-04-05 05:45:00;1;1;0;0;1;10;6;2;5;3;0;0
2020-04-05 06:00:00;3;2;0;1;2;4;4;3;2;1;0;0
2020-04-05 06:15:00;10;7;0;1;1;7;3;2;5;6;0;0
2020-04-05 06:30:00;6;3;0;1;1;8;4;4;4;1;0;0
2020-04-05 06:45:00;8;3;0;0;0;3;3;2;4;1;0;0
2020-04-05 07:00:00;10;3;0;0;0;4;3;1;1;3;0;0
2020-04-05 07:15:00;8;3;1;3;1;0;8;7;5;2;0;0
2020-04-05 07:30:00;8;5;1;1;1;4;4;3;3;3;1;2
2020-04-05 07:45:00;2;1;0;2;2;6;4;4;2;3;0;0
2020-04-05 08:00:00;8;3;1;1;2;2;5;3;5;1;0;0
2020-04-05 08:15:00;3;1;1;1;2;2;2;2;3;2;0;0
2020-04-05 08:30:00;6;2;1;1;1;7;6;5;4;5;0;0
2020-04-05 08:45:00;7;5;0;1;0;7;5;3;11;7;0;0
2020-04-05 09:00:00;10;3;0;3;2;4;9;7;7;7;1;2
2020-04-05 09:15:00;7;4;2;1;5;9;7;8;5;4;4;0
2020-04-05 09:30:00;8;3;0;0;0;9;11;3;6;4;0;5
2020-04-05 09:45:00;16;8;3;2;4;14;11;7;12;7;1;1
2020-04-05 10:00:00;13;7;1;3;3;9;9;8;14;10;0;0
2020-04-05 10:15:00;12;12;1;1;1;13;9;7;21;3;4;5
2020-04-05 10:30:00;14;6;1;1;3;9;9;9;9;1;6;6
2020-04-05 10:45:00;23;9;0;4;8;21;7;4;17;9;3;0
