DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-04-06 00:00:00;2;0;0;2;0;4;0;1;1
2020-04-06 00:15:00;1;0;0;3;1;0;1;0;0
2020-04-06 00:30:00;1;1;0;1;0;2;2;0;0
2020-04-06 00:45:00;8;5;0;0;0;3;2;0;0
2020-04-06 01:00:00;1;0;0;1;0;1;0;1;1
2020-04-06 01:15:00;0;1;1;2;0;2;2;0;0
2020-04-06 01:30:00;1;0;1;0;1;1;2;0;0
2020-04-06 01:45:00;0;0;1;4;0;3;1;1;1
2020-04-06 02:00:00;1;1;0;2;1;0;0;1;1
2020-04-06 02:15:00;2;2;1;1;0;1;1;1;1
2020-04-06 02:30:00;2;1;0;2;0;1;1;2;2
2020-04-06 02:45:00;2;0;0;1;1;1;0;1;1
2020-04-06 03:00:00;3;0;0;1;1;1;2;2;2
2020-04-06 03:15:00;6;4;0;2;2;7;2;0;0
2020-04-06 03:30:00;3;0;1;0;0;1;1;1;1
2020-04-06 03:45:00;3;1;2;3;0;0;0;1;1
2020-04-06 04:00:00;2;1;1;6;0;0;1;0;0
2020-04-06 04:15:00;3;2;0;3;1;6;2;2;2
2020-04-06 04:30:00;5;0;1;7;1;4;5;1;1
2020-04-06 04:45:00;2;1;0;8;2;9;4;0;0
2020-04-06 05:00:00;12;3;0;10;1;5;5;6;6
2020-04-06 05:15:00;15;6;4;15;5;12;4;4;4
2020-04-06 05:30:00;31;18;2;21;11;21;23;2;2
2020-04-06 05:45:00;29;9;5;21;10;39;31;4;4
2020-04-06 06:00:00;38;11;3;24;14;32;28;7;8
2020-04-06 06:15:00;20;21;7;19;8;36;41;12;11
2020-04-06 06:30:00;42;29;5;40;25;53;75;14;14
2020-04-06 06:45:00;48;35;6;42;32;73;82;15;15
2020-04-06 07:00:00;45;18;8;30;20;60;74;6;7
2020-04-06 07:15:00;40;30;14;29;14;67;77;12;11
2020-04-06 07:30:00;43;23;14;22;24;67;71;13;13
2020-04-06 07:45:00;46;27;14;32;24;64;68;11;11
2020-04-06 08:00:00;33;17;14;33;20;44;50;14;14
2020-04-06 08:15:00;30;20;9;22;19;46;37;8;8
2020-04-06 08:30:00;40;25;8;28;18;38;33;13;13
2020-04-06 08:45:00;31;9;14;31;19;40;47;9;9
2020-04-06 09:00:00;33;16;18;30;9;31;24;12;12
2020-04-06 09:15:00;32;22;20;27;23;38;36;17;17
2020-04-06 09:30:00;40;18;19;38;24;29;40;13;13
2020-04-06 09:45:00;47;16;28;33;33;44;35;13;13
2020-04-06 10:00:00;40;17;22;33;20;35;32;12;12
2020-04-06 10:15:00;35;27;16;34;32;30;46;11;11
2020-04-06 10:30:00;46;31;26;34;24;37;37;10;10
2020-04-06 10:45:00;49;31;13;34;27;41;43;14;14
2020-04-06 11:00:00;50;31;15;34;31;48;38;7;7
2020-04-06 11:15:00;35;31;14;33;34;32;34;15;15
2020-04-06 11:30:00;47;30;16;33;20;43;44;4;4
2020-04-06 11:45:00;47;26;21;40;32;43;43;8;8
2020-04-06 12:00:00;38;32;15;50;35;34;28;11;11
2020-04-06 12:15:00;40;7;12;49;38;43;37;8;8
2020-04-06 12:30:00;52;0;13;35;26;42;44;12;12
2020-04-06 12:45:00;54;0;20;35;31;40;37;7;7
2020-04-06 13:00:00;58;0;21;46;32;27;33;10;10
2020-04-06 13:15:00;63;0;12;31;26;41;46;3;3
2020-04-06 13:30:00;59;0;12;33;31;46;40;8;8
2020-04-06 13:45:00;66;0;13;37;25;41;54;4;4
2020-04-06 14:00:00;58;0;17;43;40;49;42;12;12
2020-04-06 14:15:00;61;0;11;46;32;41;49;10;10
2020-04-06 14:30:00;52;0;16;63;44;50;44;7;7
2020-04-06 14:45:00;43;0;8;44;37;47;54;6;6
2020-04-06 15:00:00;64;0;14;38;32;41;44;5;5
2020-04-06 15:15:00;53;0;20;47;28;49;45;10;10
2020-04-06 15:30:00;73;0;16;57;49;56;53;10;10
2020-04-06 15:45:00;72;0;9;56;47;38;46;7;7
2020-04-06 16:00:00;70;0;25;65;39;45;52;13;13
2020-04-06 16:15:00;91;0;23;57;40;49;49;6;6
2020-04-06 16:30:00;75;0;13;55;37;52;51;15;15
2020-04-06 16:45:00;71;0;19;53;37;57;56;7;7
2020-04-06 17:00:00;86;0;10;62;48;43;46;13;13
2020-04-06 17:15:00;78;0;22;54;32;47;47;5;5
2020-04-06 17:30:00;61;0;17;36;34;49;48;6;6
2020-04-06 17:45:00;40;0;12;48;23;37;35;7;7
2020-04-06 18:00:00;57;0;15;37;26;41;30;5;6
2020-04-06 18:15:00;45;0;17;35;24;37;31;4;4
2020-04-06 18:30:00;44;0;12;27;19;32;35;1;1
2020-04-06 18:45:00;30;0;18;24;16;17;22;4;4
2020-04-06 19:00:00;32;0;13;23;12;22;18;3;3
2020-04-06 19:15:00;36;0;14;16;12;25;29;2;2
2020-04-06 19:30:00;20;0;10;17;11;26;27;3;3
2020-04-06 19:45:00;29;0;15;20;10;17;22;2;2
2020-04-06 20:00:00;19;0;4;12;6;25;19;4;4
2020-04-06 20:15:00;22;0;7;16;2;26;19;1;1
2020-04-06 20:30:00;15;0;8;12;7;12;9;1;1
2020-04-06 20:45:00;14;0;4;6;3;21;8;5;5
2020-04-06 21:00:00;11;0;0;13;8;15;14;0;0
2020-04-06 21:15:00;6;0;3;12;7;11;12;0;0
2020-04-06 21:30:00;9;0;4;8;2;15;8;2;2
2020-04-06 21:45:00;11;0;5;9;5;8;8;3;3
2020-04-06 22:00:00;8;0;3;19;12;4;6;2;2
2020-04-06 22:15:00;8;0;2;15;8;14;12;1;1
2020-04-06 22:30:00;2;0;2;6;3;6;5;2;2
2020-04-06 22:45:00;4;0;5;5;4;2;6;1;1
2020-04-06 23:00:00;6;0;2;3;1;5;6;0;0
2020-04-06 23:15:00;2;0;2;4;0;5;3;1;1
2020-04-06 23:30:00;5;0;0;3;1;3;3;0;0
2020-04-06 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
