DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-10-12 00:00:00;4;7;21;0;0;3;0;0;0;0;0;0
2020-10-12 00:15:00;1;1;30;0;5;1;0;0;0;0;0;0
2020-10-12 00:30:00;0;0;31;0;0;1;0;0;0;0;0;0
2020-10-12 00:45:00;1;1;23;0;0;2;0;0;0;0;0;0
2020-10-12 01:00:00;0;0;24;0;0;1;0;0;0;0;0;0
2020-10-12 01:15:00;0;0;21;0;0;1;0;0;0;0;0;0
2020-10-12 01:30:00;0;2;19;0;0;5;0;0;0;0;0;0
2020-10-12 01:45:00;1;2;32;1;0;4;0;0;0;0;0;0
2020-10-12 02:00:00;0;1;38;0;0;2;0;0;0;0;0;0
2020-10-12 02:15:00;0;2;30;0;0;3;0;0;0;0;0;0
2020-10-12 02:30:00;2;1;36;0;0;1;1;0;0;0;0;0
2020-10-12 02:45:00;2;2;39;0;0;0;0;0;0;0;0;0
2020-10-12 03:00:00;0;0;30;0;0;3;0;0;0;0;0;0
2020-10-12 03:15:00;0;0;29;0;0;0;0;0;0;0;0;0
2020-10-12 03:30:00;1;2;31;0;1;1;0;0;0;0;0;0
2020-10-12 03:45:00;1;2;29;0;0;0;0;0;0;0;0;0
2020-10-12 04:00:00;1;1;27;0;0;2;0;0;0;0;0;0
2020-10-12 04:15:00;1;3;31;4;0;4;0;0;0;0;0;0
2020-10-12 04:30:00;2;4;48;2;0;0;0;0;0;0;0;0
2020-10-12 04:45:00;2;1;36;0;0;6;0;0;0;0;0;0
2020-10-12 05:00:00;6;7;32;0;0;3;0;0;0;0;0;0
2020-10-12 05:15:00;4;5;19;0;0;6;0;0;0;0;0;0
2020-10-12 05:30:00;9;10;34;0;3;9;0;0;0;0;0;0
2020-10-12 05:45:00;17;18;49;4;4;6;0;0;0;0;0;0
2020-10-12 06:00:00;21;19;57;2;8;20;0;0;0;0;0;0
2020-10-12 06:15:00;21;25;67;5;7;24;0;0;0;0;0;0
