DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DD1);31(DB2);32(TARDD);33(TAFGA);34(TAFGC);35(TAFBA);36(TAFBB);37(TAFBC);38(TAFBD)
2020-08-30 00:00:00;16;0;2;8;18;1;4;7;0;0;0;0;0;0;0
2020-08-30 00:15:00;14;1;6;8;20;3;6;10;0;0;0;0;0;0;0
2020-08-30 00:30:00;12;1;3;10;27;2;5;10;0;0;0;0;0;2;0
2020-08-30 00:45:00;12;1;4;5;9;3;9;8;0;0;0;0;0;0;0
2020-08-30 01:00:00;16;4;7;4;16;8;11;14;0;0;0;0;0;0;0
2020-08-30 01:15:00;17;1;7;5;16;0;5;13;0;0;0;0;0;0;0
2020-08-30 01:30:00;13;1;6;2;17;2;3;4;0;0;0;0;0;0;0
2020-08-30 01:45:00;9;0;4;4;14;2;6;6;0;0;0;0;0;0;0
2020-08-30 02:00:00;9;1;4;6;21;0;4;6;0;0;0;0;0;0;0
2020-08-30 02:15:00;7;0;2;1;14;1;3;2;0;0;0;0;0;0;0
2020-08-30 02:30:00;14;0;2;2;6;0;1;3;0;0;0;0;0;0;0
2020-08-30 02:45:00;7;1;1;1;13;0;2;1;0;0;0;0;0;0;0
2020-08-30 03:00:00;6;2;6;3;17;1;3;8;0;0;0;0;0;0;0
2020-08-30 03:15:00;9;0;1;1;7;1;1;1;0;0;0;0;0;0;0
2020-08-30 03:30:00;2;2;2;5;13;0;1;6;0;0;0;0;0;0;0
2020-08-30 03:45:00;7;0;2;2;5;0;1;2;0;0;0;0;0;0;0
2020-08-30 04:00:00;4;0;0;2;11;0;1;1;0;0;0;0;0;0;0
2020-08-30 04:15:00;3;0;1;1;5;0;1;2;0;4;0;0;0;0;0
2020-08-30 04:30:00;4;1;2;1;3;0;1;4;0;0;0;0;0;0;0
2020-08-30 04:45:00;6;0;4;0;4;1;4;5;0;0;0;0;0;0;0
2020-08-30 05:00:00;4;0;3;0;2;0;4;3;0;3;0;3;5;0;0
2020-08-30 05:15:00;5;0;0;2;0;1;0;2;0;0;0;0;0;0;0
2020-08-30 05:30:00;21;0;16;2;4;1;4;8;0;0;0;0;0;0;0
2020-08-30 05:45:00;16;2;15;3;11;3;5;10;0;0;0;0;0;0;0
2020-08-30 06:00:00;9;0;2;1;9;1;7;4;0;0;0;0;0;0;0
2020-08-30 06:15:00;12;1;4;3;2;2;10;4;0;0;0;0;0;0;0
2020-08-30 06:30:00;15;1;4;0;2;0;4;5;0;0;0;0;0;0;0
2020-08-30 06:45:00;9;1;3;3;9;1;11;5;0;0;0;0;0;0;0
2020-08-30 07:00:00;14;0;5;2;11;1;9;4;0;0;0;0;0;0;0
2020-08-30 07:15:00;14;2;4;9;2;4;11;10;0;0;0;0;0;0;0
2020-08-30 07:30:00;19;1;9;8;15;4;12;14;0;0;0;0;0;0;0
2020-08-30 07:45:00;16;2;11;13;13;2;3;15;0;0;0;0;0;0;0
2020-08-30 08:00:00;15;1;8;6;12;4;12;17;0;1;0;0;0;0;0
2020-08-30 08:15:00;25;2;10;5;12;6;11;12;0;0;0;0;0;0;0
2020-08-30 08:30:00;33;1;8;6;19;7;13;15;0;0;0;0;0;0;0
2020-08-30 08:45:00;39;3;15;10;19;3;13;17;0;0;0;0;1;0;0
2020-08-30 09:00:00;35;0;15;12;21;4;21;21;0;0;0;0;0;0;0
2020-08-30 09:15:00;36;3;18;7;30;5;26;29;0;0;0;0;0;0;0
2020-08-30 09:30:00;53;0;21;15;21;1;27;19;0;0;0;0;0;0;0
2020-08-30 09:45:00;53;4;16;10;33;11;14;24;0;0;0;0;0;0;0
2020-08-30 10:00:00;53;3;19;21;29;6;21;27;0;0;0;0;0;0;0
2020-08-30 10:15:00;47;1;13;16;42;5;25;23;0;0;0;0;0;0;0
2020-08-30 10:30:00;55;0;15;22;45;8;23;20;0;0;0;0;0;0;0
2020-08-30 10:45:00;59;3;21;22;60;4;29;21;0;1;0;0;0;0;0
2020-08-30 11:00:00;56;2;24;22;57;8;28;29;0;0;0;0;0;0;0
2020-08-30 11:15:00;65;2;16;21;48;5;16;24;0;0;0;0;0;0;0
2020-08-30 11:30:00;62;2;20;28;65;5;22;24;0;0;0;0;0;0;0
2020-08-30 11:45:00;67;1;18;26;49;4;22;25;0;0;0;0;0;0;0
2020-08-30 12:00:00;70;1;18;10;53;2;29;22;0;0;0;0;0;0;0
2020-08-30 12:15:00;72;3;18;26;55;9;27;21;0;0;0;0;0;0;0
2020-08-30 12:30:00;61;3;20;18;59;9;31;24;0;0;0;0;0;0;0
2020-08-30 12:45:00;76;3;21;26;58;10;30;23;0;0;0;0;0;0;0
2020-08-30 13:00:00;89;1;20;24;59;4;26;23;0;0;0;0;0;0;0
2020-08-30 13:15:00;94;7;31;28;71;7;30;22;0;4;0;0;0;0;0
2020-08-30 13:30:00;81;4;17;29;70;5;24;26;0;0;0;0;0;0;0
2020-08-30 13:45:00;82;0;26;18;72;7;19;20;0;0;0;0;0;0;0
2020-08-30 14:00:00;77;1;31;22;85;9;34;26;0;0;0;0;0;1;0
2020-08-30 14:15:00;65;4;20;30;88;8;34;30;0;0;0;0;0;0;0
2020-08-30 14:30:00;88;5;26;24;91;4;38;31;0;0;0;0;0;0;0
2020-08-30 14:45:00;101;3;29;29;82;8;34;33;0;0;0;0;0;0;0
2020-08-30 15:00:00;89;1;21;31;86;10;30;33;0;0;0;0;0;0;0
2020-08-30 15:15:00;79;4;25;26;84;5;25;26;0;0;0;0;0;0;0
