DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-07-26 00:00:00;17;21;22;6;2;27;12;2;1
2020-07-26 00:15:00;14;18;12;2;3;26;16;0;1
2020-07-26 00:30:00;20;20;13;4;2;17;10;1;4
2020-07-26 00:45:00;22;17;10;2;4;31;8;2;2
2020-07-26 01:00:00;10;11;7;4;4;14;12;0;0
2020-07-26 01:15:00;8;16;16;8;8;14;12;3;6
2020-07-26 01:30:00;3;8;9;4;1;5;7;1;4
2020-07-26 01:45:00;8;7;8;5;3;21;4;0;1
2020-07-26 02:00:00;10;11;5;4;2;13;6;0;6
2020-07-26 02:15:00;7;9;8;4;1;8;1;0;2
2020-07-26 02:30:00;4;6;6;2;1;7;6;0;0
2020-07-26 02:45:00;11;3;5;1;1;8;3;1;2
2020-07-26 03:00:00;6;7;8;5;3;10;8;0;0
2020-07-26 03:15:00;6;5;5;0;0;8;6;0;1
2020-07-26 03:30:00;6;8;8;3;2;5;1;0;2
2020-07-26 03:45:00;3;5;4;3;0;4;5;3;4
2020-07-26 04:00:00;5;5;1;0;0;4;2;0;0
2020-07-26 04:15:00;5;3;3;0;1;4;3;0;0
2020-07-26 04:30:00;5;5;5;4;2;3;2;0;2
2020-07-26 04:45:00;2;1;0;0;0;3;5;0;0
2020-07-26 05:00:00;10;3;2;0;1;6;1;1;1
2020-07-26 05:15:00;9;3;5;1;1;13;5;0;1
2020-07-26 05:30:00;7;8;8;1;0;6;6;1;1
2020-07-26 05:45:00;12;8;4;1;0;9;4;2;2
2020-07-26 06:00:00;14;9;10;1;0;9;5;0;2
2020-07-26 06:15:00;18;8;6;2;0;11;8;0;0
2020-07-26 06:30:00;21;2;7;1;0;12;4;2;3
2020-07-26 06:45:00;15;11;6;1;1;16;9;1;5
2020-07-26 07:00:00;18;13;15;4;5;19;5;2;3
2020-07-26 07:15:00;15;16;15;5;0;20;14;0;1
2020-07-26 07:30:00;18;4;8;1;0;33;13;3;3
2020-07-26 07:45:00;26;10;11;1;0;26;11;0;2
2020-07-26 08:00:00;24;12;13;5;2;32;13;6;11
2020-07-26 08:15:00;15;18;11;2;2;24;16;5;6
2020-07-26 08:30:00;19;16;16;3;2;27;18;4;9
2020-07-26 08:45:00;23;18;12;4;4;32;9;0;1
2020-07-26 09:00:00;30;25;27;2;3;39;21;3;4
2020-07-26 09:15:00;28;25;23;12;7;59;23;6;6
2020-07-26 09:30:00;33;19;32;3;9;43;25;6;9
2020-07-26 09:45:00;35;40;34;13;12;42;28;28;8
2020-07-26 10:00:00;27;29;33;10;9;54;28;7;11
2020-07-26 10:15:00;42;22;24;2;11;40;19;13;18
2020-07-26 10:30:00;50;49;33;13;9;52;29;11;13
2020-07-26 10:45:00;47;40;44;18;8;60;34;9;13
2020-07-26 11:00:00;44;40;28;7;13;65;29;8;106
2020-07-26 11:15:00;39;43;35;10;10;65;29;9;12
2020-07-26 11:30:00;43;42;57;11;12;65;47;7;16
2020-07-26 11:45:00;47;49;51;9;7;43;44;7;17
2020-07-26 12:00:00;57;43;41;3;8;75;36;5;8
2020-07-26 12:15:00;39;46;41;10;6;68;57;7;15
2020-07-26 12:30:00;42;50;62;6;9;46;44;4;7
2020-07-26 12:45:00;38;59;41;12;12;70;35;10;12
2020-07-26 13:00:00;40;43;39;11;10;68;35;5;11
2020-07-26 13:15:00;39;52;45;11;13;65;50;6;8
2020-07-26 13:30:00;56;52;41;16;10;71;35;9;8
2020-07-26 13:45:00;47;58;59;24;13;70;54;8;13
2020-07-26 14:00:00;52;54;35;9;9;56;32;14;37
2020-07-26 14:15:00;64;59;51;14;8;56;40;12;21
2020-07-26 14:30:00;48;65;52;19;14;66;37;10;13
2020-07-26 14:45:00;45;48;43;8;10;68;38;9;11
2020-07-26 15:00:00;62;56;64;16;11;80;54;4;15
2020-07-26 15:15:00;66;54;53;14;9;72;46;13;13
2020-07-26 15:30:00;52;61;46;16;13;46;37;6;12
2020-07-26 15:45:00;62;54;40;13;11;66;37;6;11
2020-07-26 16:00:00;59;55;51;13;8;49;28;3;10
2020-07-26 16:15:00;52;62;37;11;5;59;27;7;11
2020-07-26 16:30:00;43;66;53;14;16;53;35;15;14
2020-07-26 16:45:00;58;65;42;19;14;58;38;5;13
2020-07-26 17:00:00;59;53;52;18;9;76;47;8;12
2020-07-26 17:15:00;46;81;57;20;13;50;45;8;9
2020-07-26 17:30:00;64;69;53;16;14;62;43;8;11
2020-07-26 17:45:00;58;81;38;21;15;58;27;13;11
2020-07-26 18:00:00;68;82;54;21;15;57;31;11;16
2020-07-26 18:15:00;45;55;41;14;11;58;39;12;11
2020-07-26 18:30:00;54;53;37;18;10;52;28;7;18
2020-07-26 18:45:00;47;74;41;17;9;53;31;8;18
2020-07-26 19:00:00;56;56;42;15;10;46;36;9;17
2020-07-26 19:15:00;57;60;51;17;11;34;38;4;13
2020-07-26 19:30:00;47;59;44;18;10;48;31;3;13
2020-07-26 19:45:00;65;69;54;12;17;44;28;6;7
2020-07-26 20:00:00;46;60;42;18;12;59;41;7;13
2020-07-26 20:15:00;45;53;44;13;13;43;31;7;18
2020-07-26 20:30:00;38;62;40;21;18;56;30;9;14
2020-07-26 20:45:00;43;45;44;22;7;48;29;7;9
2020-07-26 21:00:00;36;50;34;14;8;33;36;8;13
2020-07-26 21:15:00;41;46;43;13;3;31;27;3;9
2020-07-26 21:30:00;26;31;32;6;7;29;21;5;9
