DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DB5);7(DC1);8(DD1);9(DD2);10(DD3);11(DD4);12(DD5);13(TAFGA);14(TAFBA);15(TAFBB);16(TAFGC);17(TAFBC);18(TAFBD)
2020-05-29 00:00:00;2;1;3;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0
2020-05-29 00:15:00;7;2;1;0;0;0;6;2;1;0;0;0;0;0;0;0;0;0
2020-05-29 00:30:00;5;1;1;0;0;0;7;2;1;0;0;0;0;0;0;0;0;0
2020-05-29 00:45:00;1;1;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 01:00:00;2;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0
2020-05-29 01:15:00;4;1;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
2020-05-29 01:30:00;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
2020-05-29 01:45:00;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 02:00:00;3;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 02:15:00;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 02:30:00;5;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0
2020-05-29 02:45:00;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 03:00:00;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-05-29 03:15:00;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-05-29 03:30:00;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 03:45:00;255;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-05-29 04:00:00;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 04:15:00;9;2;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 04:30:00;6;1;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0
2020-05-29 04:45:00;12;4;2;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
2020-05-29 05:00:00;22;2;1;0;0;0;7;1;1;0;0;0;0;0;0;0;0;0
2020-05-29 05:15:00;32;4;3;0;0;0;10;1;2;0;0;0;0;0;0;0;0;0
2020-05-29 05:30:00;49;10;7;0;0;0;21;2;4;0;0;0;0;0;0;1;9;0
