DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2019-08-31 00:00:00;8;9;0;0;14;9;3;3;0;0;8;10;10;22;9;0;0
2019-08-31 00:15:00;20;19;0;1;27;9;2;2;1;1;19;20;10;36;9;0;0
2019-08-31 00:30:00;11;15;0;0;22;10;1;1;1;2;13;15;9;31;9;0;0
2019-08-31 00:45:00;13;6;0;0;24;10;0;0;0;0;13;7;10;32;10;0;0
2019-08-31 01:00:00;14;13;0;0;18;5;3;3;1;0;13;15;5;23;6;0;0
2019-08-31 01:15:00;12;9;0;0;20;10;0;0;0;0;11;10;11;29;10;0;0
2019-08-31 01:30:00;14;5;0;0;15;5;2;2;1;0;11;6;3;19;3;0;0
2019-08-31 01:45:00;5;10;0;0;9;7;2;2;0;0;5;10;6;15;6;0;0
2019-08-31 02:00:00;10;5;0;0;14;4;2;2;1;0;11;5;3;17;4;0;0
2019-08-31 02:15:00;9;6;0;0;5;4;1;1;0;0;9;7;4;9;4;0;0
2019-08-31 02:30:00;9;6;0;0;9;4;1;1;0;0;8;7;4;12;4;0;0
2019-08-31 02:45:00;8;4;0;0;10;4;1;1;1;0;8;5;6;14;6;0;0
2019-08-31 03:00:00;6;1;0;0;12;4;2;2;0;0;6;1;4;15;4;0;0
2019-08-31 03:15:00;7;5;0;0;10;1;0;0;0;0;6;6;1;10;1;0;0
2019-08-31 03:30:00;6;7;0;0;9;4;0;0;0;0;4;7;4;13;4;0;0
2019-08-31 03:45:00;6;0;0;0;4;3;0;0;0;0;6;0;4;7;4;0;0
2019-08-31 04:00:00;6;4;0;0;4;0;1;1;1;1;6;4;0;4;0;0;0
2019-08-31 04:15:00;6;6;0;0;14;4;2;2;1;0;4;7;4;17;4;0;0
2019-08-31 04:30:00;6;4;0;0;3;3;1;1;0;0;6;4;3;7;3;0;0
2019-08-31 04:45:00;7;4;0;1;5;2;1;1;1;1;7;3;2;7;2;0;0
2019-08-31 05:00:00;4;4;0;1;13;2;0;0;0;0;5;4;2;14;2;0;0
2019-08-31 05:15:00;15;18;0;0;10;3;0;0;0;0;12;19;3;12;3;0;0
2019-08-31 05:30:00;17;11;0;0;20;4;0;0;0;0;15;13;4;24;4;0;0
2019-08-31 05:45:00;19;8;0;0;11;5;1;1;0;0;19;10;3;15;4;0;0
2019-08-31 06:00:00;19;15;0;1;27;8;0;0;0;1;14;16;7;32;7;0;0
2019-08-31 06:15:00;19;11;0;0;20;5;0;0;0;0;19;10;6;24;6;0;0
2019-08-31 06:30:00;10;16;0;0;28;6;2;2;1;1;11;17;8;33;8;0;0
2019-08-31 06:45:00;20;19;0;0;27;3;0;0;0;0;18;20;3;30;3;0;0
2019-08-31 07:00:00;12;16;0;0;19;10;0;0;1;0;13;17;9;28;9;0;0
2019-08-31 07:15:00;25;12;0;0;33;6;0;0;0;0;22;14;7;38;7;0;0
2019-08-31 07:30:00;38;26;0;0;31;3;0;0;0;0;36;25;5;34;4;0;0
2019-08-31 07:45:00;52;28;0;0;37;19;1;1;0;2;45;31;22;54;20;0;0
2019-08-31 08:00:00;42;28;0;0;35;19;4;4;0;1;38;30;21;53;19;0;0
2019-08-31 08:15:00;50;34;0;0;49;27;2;3;0;0;46;36;30;71;30;0;0
2019-08-31 08:30:00;70;47;0;0;74;34;3;3;0;2;67;47;29;103;29;0;0
2019-08-31 08:45:00;67;66;1;3;67;32;4;5;0;0;64;65;31;91;32;0;0
2019-08-31 09:00:00;82;62;0;0;51;27;5;5;3;0;74;62;32;74;29;0;0
