DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-12-29 00:00:00;0;1;1;0;1;0;3;0
2020-12-29 00:15:00;2;3;3;0;0;0;3;2
2020-12-29 00:30:00;0;1;1;1;1;0;2;0
2020-12-29 00:45:00;1;2;2;0;0;0;1;1
2020-12-29 01:00:00;0;0;0;1;0;0;1;2
2020-12-29 01:15:00;0;0;0;1;1;0;2;0
2020-12-29 01:30:00;0;2;2;0;0;0;0;1
2020-12-29 01:45:00;0;1;1;0;0;0;2;1
2020-12-29 02:00:00;1;0;0;1;0;0;1;0
2020-12-29 02:15:00;1;0;0;0;0;0;0;0
2020-12-29 02:30:00;0;1;1;2;2;0;1;1
2020-12-29 02:45:00;1;2;2;0;0;0;0;0
2020-12-29 03:00:00;2;6;6;0;2;0;1;1
2020-12-29 03:15:00;1;2;2;0;0;0;0;0
2020-12-29 03:30:00;1;1;1;1;1;0;4;2
2020-12-29 03:45:00;1;2;2;0;0;0;2;0
2020-12-29 04:00:00;3;1;1;1;1;0;2;2
2020-12-29 04:15:00;2;2;3;2;4;0;4;2
2020-12-29 04:30:00;2;2;2;3;4;0;2;2
2020-12-29 04:45:00;3;9;9;2;2;0;4;4
2020-12-29 05:00:00;10;9;9;3;5;0;7;5
2020-12-29 05:15:00;8;7;8;4;10;0;8;8
2020-12-29 05:30:00;16;15;15;4;12;0;23;9
2020-12-29 05:45:00;12;14;14;2;9;0;12;8
2020-12-29 06:00:00;5;12;13;5;5;0;13;3
2020-12-29 06:15:00;12;14;14;2;8;0;12;8
2020-12-29 06:30:00;22;32;32;3;15;0;18;6
2020-12-29 06:45:00;16;19;19;5;12;0;21;11
2020-12-29 07:00:00;11;13;13;4;9;0;20;14
2020-12-29 07:15:00;28;20;19;3;13;0;27;13
2020-12-29 07:30:00;22;25;26;7;11;0;30;20
2020-12-29 07:45:00;21;29;30;6;8;0;24;14
2020-12-29 08:00:00;19;19;21;5;8;0;21;17
2020-12-29 08:15:00;27;19;19;9;9;0;23;13
2020-12-29 08:30:00;22;25;23;10;10;0;32;15
2020-12-29 08:45:00;21;28;28;10;14;0;32;28
2020-12-29 09:00:00;24;28;28;8;25;0;32;18
2020-12-29 09:15:00;28;29;28;12;17;0;34;18
2020-12-29 09:30:00;28;46;46;7;17;0;33;26
2020-12-29 09:45:00;37;26;27;14;15;0;44;30
2020-12-29 10:00:00;27;29;29;16;17;0;44;25
2020-12-29 10:15:00;36;56;57;20;26;0;44;25
2020-12-29 10:30:00;40;43;42;10;21;0;55;24
2020-12-29 10:45:00;50;63;61;25;20;0;51;41
2020-12-29 11:00:00;42;40;41;15;22;0;43;34
2020-12-29 11:15:00;38;45;45;15;15;0;40;36
2020-12-29 11:30:00;48;57;57;22;32;0;64;36
2020-12-29 11:45:00;60;44;41;17;18;0;55;40
2020-12-29 12:00:00;62;55;51;15;20;0;58;30
2020-12-29 12:15:00;70;50;50;21;20;0;53;37
2020-12-29 12:30:00;45;44;43;16;33;0;56;28
2020-12-29 12:45:00;47;42;39;20;22;0;55;35
2020-12-29 13:00:00;41;38;38;18;21;0;43;28
2020-12-29 13:15:00;53;52;48;20;29;0;71;39
2020-12-29 13:30:00;65;51;52;20;28;0;65;38
2020-12-29 13:45:00;50;56;57;14;20;0;53;32
2020-12-29 14:00:00;62;61;57;20;25;0;73;48
2020-12-29 14:15:00;71;67;65;13;19;0;52;43
2020-12-29 14:30:00;60;48;47;19;20;0;60;47
2020-12-29 14:45:00;55;53;53;20;17;0;67;38
2020-12-29 15:00:00;55;50;49;14;16;0;63;34
2020-12-29 15:15:00;49;48;47;15;13;0;67;29
2020-12-29 15:30:00;64;49;44;14;23;0;61;37
2020-12-29 15:45:00;66;57;56;14;23;0;57;37
2020-12-29 16:00:00;61;54;54;13;15;0;60;42
2020-12-29 16:15:00;63;45;45;18;18;0;63;32
2020-12-29 16:30:00;56;45;47;10;16;0;58;30
2020-12-29 16:45:00;72;53;51;18;22;0;52;37
2020-12-29 17:00:00;53;38;42;16;16;0;55;43
2020-12-29 17:15:00;43;40;39;12;17;0;47;36
