DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-03-13 00:00:00;8;2;0;5;5;0;0;0;0;0
2020-03-13 00:15:00;8;4;0;4;4;0;0;0;0;0
2020-03-13 00:30:00;3;4;1;13;8;1;0;0;0;0
2020-03-13 00:45:00;10;6;0;3;2;0;0;0;0;0
2020-03-13 01:00:00;5;5;0;3;3;0;0;0;0;0
2020-03-13 01:15:00;8;10;0;6;2;1;0;0;0;0
2020-03-13 01:30:00;6;3;0;8;6;0;0;0;0;0
2020-03-13 01:45:00;6;5;1;5;3;0;0;0;0;0
2020-03-13 02:00:00;5;4;0;4;3;0;0;0;0;0
2020-03-13 02:15:00;7;3;0;0;1;0;0;0;0;0
2020-03-13 02:30:00;6;3;2;8;8;0;0;0;0;0
2020-03-13 02:45:00;5;2;0;3;2;0;0;0;0;0
2020-03-13 03:00:00;5;4;0;8;2;0;0;0;0;0
2020-03-13 03:15:00;8;7;0;4;2;0;0;0;0;0
2020-03-13 03:30:00;6;3;0;5;2;1;0;0;0;0
2020-03-13 03:45:00;5;1;0;3;4;0;0;0;0;0
2020-03-13 04:00:00;15;5;2;12;6;0;0;0;0;0
2020-03-13 04:15:00;9;4;0;10;5;2;0;0;0;0
2020-03-13 04:30:00;16;6;0;11;5;0;0;0;0;0
2020-03-13 04:45:00;13;12;0;18;3;1;0;0;0;0
2020-03-13 05:00:00;20;10;1;24;10;4;0;0;0;0
2020-03-13 05:15:00;32;15;0;33;18;1;0;0;0;0
2020-03-13 05:30:00;42;25;3;60;18;1;0;0;0;0
2020-03-13 05:45:00;52;31;1;60;24;2;0;0;0;0
2020-03-13 06:00:00;52;23;5;54;26;0;0;0;0;0
2020-03-13 06:15:00;64;27;0;73;31;0;0;0;0;0
2020-03-13 06:30:00;94;55;3;88;55;5;0;0;0;0
2020-03-13 06:45:00;111;64;0;90;49;258;0;0;0;0
2020-03-13 07:00:00;98;43;2;95;59;5;0;0;0;0
2020-03-13 07:15:00;109;49;254;106;81;6;7;0;0;0
2020-03-13 07:30:00;119;72;0;115;62;4;2;0;0;0
2020-03-13 07:45:00;128;82;2;88;66;11;5;0;0;0
2020-03-13 08:00:00;111;94;0;80;43;7;0;0;0;0
2020-03-13 08:15:00;94;61;1;79;57;6;0;0;0;0
2020-03-13 08:30:00;70;78;2;69;31;258;0;0;0;0
2020-03-13 08:45:00;94;70;6;101;43;6;0;0;0;0
2020-03-13 09:00:00;82;63;1;77;50;6;1;0;0;0
2020-03-13 09:15:00;87;69;2;95;53;9;0;0;0;0
2020-03-13 09:30:00;77;44;4;97;59;4;5;0;0;0
2020-03-13 09:45:00;80;57;1;108;44;259;0;0;0;0
2020-03-13 10:00:00;70;50;256;102;59;9;0;0;0;0
2020-03-13 10:15:00;83;63;10;105;69;10;1;0;0;0
2020-03-13 10:30:00;99;50;4;76;49;8;4;0;0;0
2020-03-13 10:45:00;107;64;262;104;66;9;4;0;0;0
2020-03-13 11:00:00;96;52;3;97;52;9;0;0;0;0
2020-03-13 11:15:00;94;64;9;105;63;8;5;0;0;0
