DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-08-17 00:00:00;8;0;0;6;0;11;1;0;0
2020-08-17 00:15:00;14;0;2;8;0;13;1;0;0
2020-08-17 00:30:00;4;0;0;5;0;12;1;0;0
2020-08-17 00:45:00;6;3;0;8;0;14;0;0;0
2020-08-17 01:00:00;2;0;1;5;0;12;1;0;0
2020-08-17 01:15:00;4;1;1;1;0;14;1;0;0
2020-08-17 01:30:00;4;1;1;3;0;12;1;0;0
2020-08-17 01:45:00;3;0;0;4;0;13;1;0;0
2020-08-17 02:00:00;3;0;0;4;0;12;0;0;0
2020-08-17 02:15:00;6;0;0;2;0;14;1;0;0
2020-08-17 02:30:00;4;0;1;1;0;12;1;0;0
2020-08-17 02:45:00;8;2;0;5;0;14;1;0;0
2020-08-17 03:00:00;2;0;0;1;0;12;1;0;0
2020-08-17 03:15:00;3;2;0;3;0;14;1;0;0
2020-08-17 03:30:00;6;1;0;4;0;12;0;0;0
2020-08-17 03:45:00;1;1;0;4;0;13;1;0;0
2020-08-17 04:00:00;2;0;0;2;0;12;1;0;0
2020-08-17 04:15:00;5;2;0;6;0;14;1;0;0
2020-08-17 04:30:00;9;2;1;7;0;12;0;0;0
2020-08-17 04:45:00;12;4;0;8;0;14;1;0;0
2020-08-17 05:00:00;18;10;2;17;0;9;1;0;0
2020-08-17 05:15:00;37;6;0;23;0;10;1;0;0
2020-08-17 05:30:00;60;5;3;48;0;10;0;0;0
2020-08-17 05:45:00;110;9;1;61;0;10;1;0;0
2020-08-17 06:00:00;67;16;1;57;0;10;0;0;0
2020-08-17 06:15:00;76;10;2;78;0;10;1;0;0
2020-08-17 06:30:00;73;15;8;88;0;10;1;0;0
2020-08-17 06:45:00;73;9;6;84;0;10;0;0;0
2020-08-17 07:00:00;81;16;4;101;0;10;1;0;0
2020-08-17 07:15:00;87;17;5;114;0;10;1;0;0
2020-08-17 07:30:00;76;20;2;105;0;10;0;0;0
2020-08-17 07:45:00;86;12;11;128;0;10;1;0;0
2020-08-17 08:00:00;67;12;5;92;1;10;0;0;0
2020-08-17 08:15:00;84;13;7;92;1;10;1;0;0
2020-08-17 08:30:00;75;12;11;106;0;10;1;0;0
2020-08-17 08:45:00;90;9;12;104;2;10;0;0;0
2020-08-17 09:00:00;76;10;8;107;1;12;1;0;0
2020-08-17 09:15:00;70;12;18;119;0;13;1;0;0
2020-08-17 09:30:00;82;8;11;123;1;13;0;0;0
2020-08-17 09:45:00;87;16;16;65;5;12;1;0;0
2020-08-17 10:00:00;76;18;21;113;10;13;1;0;0
2020-08-17 10:15:00;95;20;14;114;1;13;0;0;0
2020-08-17 10:30:00;103;12;25;141;16;13;1;0;0
2020-08-17 10:45:00;114;12;21;113;0;12;1;0;0
2020-08-17 11:00:00;97;14;17;115;1;13;1;0;0
2020-08-17 11:15:00;106;20;22;100;2;13;0;0;0
2020-08-17 11:30:00;116;16;23;127;1;13;1;0;0
2020-08-17 11:45:00;97;15;15;114;0;12;1;0;0
2020-08-17 12:00:00;108;13;27;105;1;13;0;0;0
2020-08-17 12:15:00;98;13;18;108;4;13;1;0;0
2020-08-17 12:30:00;104;10;15;92;2;12;1;0;0
2020-08-17 12:45:00;102;14;19;120;3;13;0;0;0
2020-08-17 13:00:00;103;14;22;102;3;13;1;0;0
2020-08-17 13:15:00;112;14;28;112;1;9;1;0;0
2020-08-17 13:30:00;110;18;48;132;4;10;0;0;0
2020-08-17 13:45:00;114;24;50;160;2;10;1;0;0
2020-08-17 14:00:00;127;27;39;138;0;10;1;0;0
2020-08-17 14:15:00;99;24;24;163;7;10;0;0;0
2020-08-17 14:30:00;105;43;11;97;23;10;1;0;0
2020-08-17 14:45:00;105;30;13;106;6;10;1;0;0
2020-08-17 15:00:00;107;37;20;86;2;10;0;0;0
2020-08-17 15:15:00;104;24;18;105;10;10;1;0;0
2020-08-17 15:30:00;140;21;23;154;7;10;0;0;0
2020-08-17 15:45:00;98;19;15;125;0;9;0;0;0
2020-08-17 16:00:00;111;20;28;123;11;10;1;0;0
2020-08-17 16:15:00;144;25;20;159;2;10;0;0;0
2020-08-17 16:30:00;126;19;24;126;0;10;1;0;0
2020-08-17 16:45:00;122;16;20;121;5;10;1;0;0
