DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-12-03 00:00:00;10;7;2;3;0;3;10;4;0;2;0
2019-12-03 00:15:00;11;8;2;2;1;4;12;2;1;3;0
2019-12-03 00:30:00;7;5;3;2;0;4;16;3;0;0;0
2019-12-03 00:45:00;12;4;1;1;0;2;17;7;4;0;0
2019-12-03 01:00:00;4;3;3;0;0;1;17;6;0;0;0
2019-12-03 01:15:00;4;5;0;1;0;2;9;2;0;1;0
2019-12-03 01:30:00;4;7;1;0;0;0;6;7;0;0;0
2019-12-03 01:45:00;4;5;1;0;0;1;11;1;0;1;0
2019-12-03 02:00:00;5;11;0;0;0;1;10;1;0;2;0
2019-12-03 02:15:00;6;1;0;1;0;1;8;0;0;1;0
2019-12-03 02:30:00;7;5;3;0;0;1;11;1;0;0;0
2019-12-03 02:45:00;5;3;1;0;0;5;13;3;0;1;0
2019-12-03 03:00:00;1;3;0;0;0;0;12;3;0;0;0
2019-12-03 03:15:00;7;4;0;0;0;1;15;3;0;1;0
2019-12-03 03:30:00;5;2;2;1;0;3;12;4;0;2;0
2019-12-03 03:45:00;7;8;0;1;0;1;17;2;0;2;0
2019-12-03 04:00:00;6;4;1;1;0;3;10;0;0;0;0
2019-12-03 04:15:00;5;10;2;0;0;1;9;2;0;0;0
2019-12-03 04:30:00;8;12;2;1;0;3;27;13;0;1;0
2019-12-03 04:45:00;24;11;7;1;2;6;51;13;0;0;0
2019-12-03 05:00:00;17;11;8;3;0;5;93;79;0;3;0
2019-12-03 05:15:00;38;26;25;2;0;7;131;120;3;6;0
2019-12-03 05:30:00;54;27;28;8;0;8;107;114;0;4;0
2019-12-03 05:45:00;108;45;44;17;5;24;119;122;0;6;0
2019-12-03 06:00:00;160;47;48;16;1;28;125;128;1;5;1
2019-12-03 06:15:00;135;54;58;29;6;41;159;173;1;7;1
2019-12-03 06:30:00;89;60;53;35;16;48;121;136;0;8;1
2019-12-03 06:45:00;101;53;50;41;14;62;146;154;1;8;3
2019-12-03 07:00:00;77;49;44;48;19;75;144;156;1;15;0
2019-12-03 07:15:00;72;47;57;68;44;100;134;157;3;17;0
2019-12-03 07:30:00;76;54;70;61;29;87;125;145;4;17;1
