DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-10-22 00:00:00;0;6;3;4;3;1;1
2020-10-22 00:15:00;0;6;4;5;5;2;2
2020-10-22 00:30:00;0;8;6;8;6;1;1
2020-10-22 00:45:00;1;3;1;3;2;0;0
2020-10-22 01:00:00;0;5;1;5;3;0;0
2020-10-22 01:15:00;0;2;4;1;4;0;0
2020-10-22 01:30:00;0;6;2;3;2;0;0
2020-10-22 01:45:00;0;3;0;5;3;0;0
2020-10-22 02:00:00;0;3;1;2;1;0;0
2020-10-22 02:15:00;0;2;2;5;1;0;0
2020-10-22 02:30:00;0;3;1;7;2;0;0
2020-10-22 02:45:00;0;3;0;5;0;0;0
2020-10-22 03:00:00;0;5;1;4;2;0;0
2020-10-22 03:15:00;0;5;1;4;2;0;0
2020-10-22 03:30:00;0;4;2;6;2;0;0
2020-10-22 03:45:00;0;5;2;8;1;0;0
2020-10-22 04:00:00;0;6;3;4;4;0;0
2020-10-22 04:15:00;0;11;1;12;5;0;0
2020-10-22 04:30:00;0;15;6;20;8;0;0
2020-10-22 04:45:00;0;25;17;13;9;0;0
2020-10-22 05:00:00;1;50;42;28;24;0;0
2020-10-22 05:15:00;1;77;65;29;32;0;0
2020-10-22 05:30:00;1;65;73;35;39;1;1
2020-10-22 05:45:00;18;49;63;55;44;2;2
2020-10-22 06:00:00;2;51;55;66;71;6;6
2020-10-22 06:15:00;9;77;90;65;65;4;4
2020-10-22 06:30:00;3;92;111;58;72;7;7
2020-10-22 06:45:00;9;107;119;77;79;3;3
2020-10-22 07:00:00;12;99;119;50;75;7;6
2020-10-22 07:15:00;27;154;162;87;90;5;6
2020-10-22 07:30:00;21;165;163;99;118;5;5
2020-10-22 07:45:00;27;136;131;104;158;5;5
2020-10-22 08:00:00;5;115;131;82;100;5;5
2020-10-22 08:15:00;8;110;96;98;116;4;4
2020-10-22 08:30:00;6;103;110;99;110;5;4
2020-10-22 08:45:00;10;104;117;93;131;2;3
2020-10-22 09:00:00;6;85;74;100;104;4;4
2020-10-22 09:15:00;53;109;99;104;95;2;2
2020-10-22 09:30:00;56;90;98;81;86;6;5
2020-10-22 09:45:00;19;93;97;121;107;2;3
2020-10-22 10:00:00;7;91;81;102;114;3;3
2020-10-22 10:15:00;5;93;63;100;114;3;3
2020-10-22 10:30:00;5;98;101;88;110;6;6
2020-10-22 10:45:00;10;96;93;93;127;2;2
2020-10-22 11:00:00;3;90;85;101;132;4;4
2020-10-22 11:15:00;5;91;85;90;111;2;2
2020-10-22 11:30:00;9;110;106;115;142;5;5
2020-10-22 11:45:00;8;104;111;97;115;4;4
2020-10-22 12:00:00;42;96;96;112;125;4;4
2020-10-22 12:15:00;17;109;104;105;119;2;2
2020-10-22 12:30:00;7;99;87;107;142;5;5
2020-10-22 12:45:00;7;100;117;107;122;4;4
2020-10-22 13:00:00;4;142;136;125;139;2;2
2020-10-22 13:15:00;51;118;105;125;157;9;9
2020-10-22 13:30:00;20;108;115;102;129;6;6
2020-10-22 13:45:00;17;117;104;106;139;3;3
2020-10-22 14:00:00;28;104;101;123;147;4;4
2020-10-22 14:15:00;14;83;98;119;151;3;3
2020-10-22 14:30:00;3;103;132;130;157;5;6
2020-10-22 14:45:00;39;117;104;133;180;2;2
2020-10-22 15:00:00;17;118;102;130;152;4;4
2020-10-22 15:15:00;64;103;114;124;174;3;3
2020-10-22 15:30:00;22;96;100;132;174;6;6
2020-10-22 15:45:00;8;112;109;148;173;3;3
2020-10-22 16:00:00;14;122;111;139;190;4;4
2020-10-22 16:15:00;34;105;93;168;188;2;2
2020-10-22 16:30:00;21;114;124;140;177;5;5
2020-10-22 16:45:00;15;117;100;133;189;5;5
2020-10-22 17:00:00;10;136;124;147;172;3;3
2020-10-22 17:15:00;14;123;113;152;221;3;3
2020-10-22 17:30:00;24;130;112;145;182;5;5
2020-10-22 17:45:00;17;131;119;147;186;4;4
2020-10-22 18:00:00;30;110;97;126;153;3;3
2020-10-22 18:15:00;9;109;107;117;136;4;4
2020-10-22 18:30:00;23;93;88;102;120;5;5
2020-10-22 18:45:00;8;81;94;115;131;3;3
2020-10-22 19:00:00;11;98;80;107;112;3;3
2020-10-22 19:15:00;4;75;56;80;89;2;2
2020-10-22 19:30:00;9;70;65;73;85;5;5
2020-10-22 19:45:00;3;53;69;76;78;3;3
2020-10-22 20:00:00;0;54;52;73;66;1;1
2020-10-22 20:15:00;7;36;51;66;67;4;4
2020-10-22 20:30:00;2;52;40;64;62;3;3
2020-10-22 20:45:00;0;53;58;62;47;2;2
2020-10-22 21:00:00;3;54;64;56;44;3;3
2020-10-22 21:15:00;3;51;60;59;46;1;1
2020-10-22 21:30:00;21;38;30;50;40;2;2
2020-10-22 21:45:00;0;23;23;51;73;1;1
2020-10-22 22:00:00;0;26;30;79;80;2;2
2020-10-22 22:15:00;0;32;27;68;85;2;2
2020-10-22 22:30:00;3;24;23;27;32;2;2
2020-10-22 22:45:00;0;21;13;25;24;1;1
2020-10-22 23:00:00;0;18;8;28;12;2;2
2020-10-22 23:15:00;0;19;12;15;11;2;2
2020-10-22 23:30:00;0;14;7;20;12;1;1
2020-10-22 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
