DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2019-12-06 00:00:00;0;8;10;2;3;7;3;9;3;0;6;6;4
2019-12-06 00:15:00;0;9;6;2;2;7;2;10;3;0;5;2;3
2019-12-06 00:30:00;0;9;4;0;4;8;3;8;5;0;7;9;6
2019-12-06 00:45:00;0;8;5;0;4;7;2;4;1;0;5;8;2
2019-12-06 01:00:00;0;10;4;0;4;5;1;4;3;4;6;7;4
2019-12-06 01:15:00;0;7;4;1;0;3;1;8;2;2;3;4;4
2019-12-06 01:30:00;0;5;4;0;1;2;0;3;1;2;3;4;0
2019-12-06 01:45:00;0;4;4;1;1;3;0;4;1;0;3;3;3
2019-12-06 02:00:00;0;5;1;0;3;3;0;2;0;0;6;5;1
2019-12-06 02:15:00;0;7;3;0;0;4;2;5;3;0;6;5;4
2019-12-06 02:30:00;0;2;1;0;4;2;0;0;0;0;1;3;2
2019-12-06 02:45:00;0;5;2;1;1;5;2;3;1;0;3;2;0
2019-12-06 03:00:00;0;3;3;1;0;3;0;0;1;2;3;1;0
2019-12-06 03:15:00;0;2;0;0;0;0;0;4;2;0;5;0;3
2019-12-06 03:30:00;0;3;0;0;2;4;1;4;1;0;8;3;4
2019-12-06 03:45:00;0;0;1;1;1;1;1;4;0;1;2;3;2
2019-12-06 04:00:00;0;8;3;0;4;6;1;1;2;1;5;4;2
2019-12-06 04:15:00;0;4;0;1;2;10;2;6;3;0;6;3;2
2019-12-06 04:30:00;0;9;5;0;3;5;0;10;4;0;15;11;2
2019-12-06 04:45:00;0;10;5;1;3;14;4;14;3;2;27;20;4
2019-12-06 05:00:00;0;11;5;1;3;15;8;28;18;3;46;59;15
2019-12-06 05:15:00;0;11;8;1;12;21;5;50;29;5;56;76;18
2019-12-06 05:30:00;0;21;15;1;23;56;17;58;53;4;64;67;19
2019-12-06 05:45:00;0;27;23;2;43;80;19;61;49;3;59;61;31
2019-12-06 06:00:00;0;33;28;3;53;77;32;62;48;6;69;70;20
2019-12-06 06:15:00;0;37;24;2;26;58;16;72;59;5;72;79;22
2019-12-06 06:30:00;0;31;29;4;31;52;24;119;131;4;76;81;42
2019-12-06 06:45:00;0;40;34;3;26;51;17;100;120;5;74;81;44
2019-12-06 07:00:00;0;35;32;9;39;52;17;103;145;4;85;84;52
2019-12-06 07:15:00;0;41;41;5;48;74;19;125;164;5;83;79;53
2019-12-06 07:30:00;0;50;54;10;53;65;26;154;189;9;100;106;65
2019-12-06 07:45:00;0;62;62;5;44;72;34;105;120;15;93;88;82
2019-12-06 08:00:00;0;53;62;11;56;72;22;98;96;7;87;77;55
2019-12-06 08:15:00;0;56;48;6;44;51;17;87;87;12;76;79;62
2019-12-06 08:30:00;0;51;35;12;39;49;15;89;90;10;66;74;50
