DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-12-07 00:00:00;9;15;9;24;18;7;0;0;0;0;0;0;0
2019-12-07 00:15:00;9;16;6;30;21;4;0;1;0;0;0;0;0
2019-12-07 00:30:00;9;22;9;22;13;9;0;0;0;0;0;0;0
2019-12-07 00:45:00;7;11;12;24;9;3;0;0;0;0;0;0;0
2019-12-07 01:00:00;6;11;4;19;13;3;0;1;0;0;0;0;0
2019-12-07 01:15:00;6;16;5;20;8;6;0;0;0;0;0;0;0
2019-12-07 01:30:00;4;5;3;12;6;6;0;0;0;0;0;0;0
2019-12-07 01:45:00;5;8;10;16;13;1;0;0;0;0;0;0;0
2019-12-07 02:00:00;3;9;11;19;18;2;0;0;0;0;0;0;0
2019-12-07 02:15:00;8;17;5;12;15;1;0;0;0;0;0;0;0
2019-12-07 02:30:00;10;9;1;10;5;0;0;0;0;0;0;0;0
2019-12-07 02:45:00;9;4;6;11;9;1;0;0;0;0;0;0;0
2019-12-07 03:00:00;1;8;3;13;10;1;0;0;0;0;0;0;0
2019-12-07 03:15:00;2;7;6;8;6;4;0;1;0;0;0;0;0
2019-12-07 03:30:00;3;6;9;8;8;2;0;0;0;0;0;0;0
2019-12-07 03:45:00;3;7;4;4;6;1;0;0;0;0;0;0;0
2019-12-07 04:00:00;1;9;1;11;6;1;0;0;0;0;0;0;0
2019-12-07 04:15:00;1;4;4;8;5;2;0;0;0;0;0;0;0
2019-12-07 04:30:00;3;10;2;11;8;1;0;0;0;0;0;0;0
2019-12-07 04:45:00;3;8;6;13;9;1;0;0;0;0;0;0;0
2019-12-07 05:00:00;5;7;4;17;15;2;0;0;0;0;0;0;0
2019-12-07 05:15:00;5;12;9;27;22;1;0;0;0;0;0;0;0
2019-12-07 05:30:00;9;31;9;24;19;1;0;0;0;0;0;0;0
2019-12-07 05:45:00;27;79;9;34;28;2;0;1;0;0;0;0;0
2019-12-07 06:00:00;28;70;4;25;21;0;0;0;0;0;0;0;0
2019-12-07 06:15:00;21;50;19;20;16;5;0;0;0;0;0;0;0
2019-12-07 06:30:00;14;26;17;36;18;1;0;0;0;0;0;0;0
2019-12-07 06:45:00;21;24;11;50;22;9;0;0;0;0;0;0;0
2019-12-07 07:00:00;13;24;16;28;19;6;0;1;0;0;0;0;0
2019-12-07 07:15:00;12;24;16;27;18;3;0;0;0;0;0;0;0
2019-12-07 07:30:00;19;32;20;31;25;4;0;0;0;0;0;0;0
2019-12-07 07:45:00;15;26;22;50;31;5;0;0;0;0;0;0;0
2019-12-07 08:00:00;12;21;24;33;28;8;0;0;0;1;0;0;0
2019-12-07 08:15:00;20;29;29;31;29;7;0;0;1;0;0;0;0
2019-12-07 08:30:00;21;35;31;53;46;12;0;1;0;0;0;0;1
2019-12-07 08:45:00;34;40;35;52;55;17;0;0;3;0;0;0;0
2019-12-07 09:00:00;34;40;39;62;54;13;0;1;2;0;3;0;0
2019-12-07 09:15:00;32;39;35;77;54;15;0;0;0;2;0;0;0
2019-12-07 09:30:00;33;47;55;88;61;15;0;1;0;0;0;0;0
2019-12-07 09:45:00;43;53;59;80;64;34;0;0;0;0;0;0;0
2019-12-07 10:00:00;55;64;55;105;75;30;0;0;0;0;0;0;0
2019-12-07 10:15:00;48;68;58;89;79;23;0;1;14;0;0;0;0
2019-12-07 10:30:00;42;79;60;84;73;23;0;1;9;0;0;0;0
2019-12-07 10:45:00;49;66;50;92;85;22;0;1;2;0;0;0;0
2019-12-07 11:00:00;50;73;54;107;74;26;0;2;4;0;0;0;0
2019-12-07 11:15:00;52;87;55;112;95;28;0;0;3;0;0;0;0
2019-12-07 11:30:00;61;81;66;120;111;29;0;0;11;0;0;0;0
2019-12-07 11:45:00;60;91;57;106;90;27;0;0;0;2;0;0;0
2019-12-07 12:00:00;68;90;55;105;95;33;0;1;7;0;0;0;0
2019-12-07 12:15:00;49;74;48;97;87;25;0;1;0;0;0;1;0
2019-12-07 12:30:00;61;73;52;103;104;31;0;0;12;0;0;0;0
2019-12-07 12:45:00;48;68;53;117;87;30;0;1;1;0;0;13;0
2019-12-07 13:00:00;60;77;64;110;95;23;0;1;0;0;0;1;3
2019-12-07 13:15:00;50;80;52;95;99;26;0;0;2;0;4;0;0
2019-12-07 13:30:00;37;81;47;116;92;22;0;0;25;2;0;1;0
2019-12-07 13:45:00;52;64;54;104;96;26;0;1;29;0;0;0;0
2019-12-07 14:00:00;58;92;50;116;105;29;0;3;6;0;0;5;1
2019-12-07 14:15:00;65;87;50;109;100;27;0;0;6;0;0;0;0
2019-12-07 14:30:00;48;69;39;99;85;18;0;0;0;0;0;0;1
2019-12-07 14:45:00;64;87;57;98;90;24;0;1;12;0;0;0;0
