DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-08-16 00:00:00;0;0;0;0;4;22;21;5;0;0;0;0;0;0
2020-08-16 00:15:00;0;0;0;0;11;17;27;8;0;0;0;0;0;0
2020-08-16 00:30:00;0;0;0;0;4;23;17;13;0;0;0;0;0;0
2020-08-16 00:45:00;0;0;0;0;5;18;17;3;0;0;0;0;0;0
2020-08-16 01:00:00;0;0;0;0;8;17;22;4;0;0;0;0;0;0
2020-08-16 01:15:00;0;0;0;0;2;19;19;5;0;0;0;0;0;0
2020-08-16 01:30:00;0;0;0;0;4;15;12;6;0;0;0;0;0;0
2020-08-16 01:45:00;0;0;0;0;5;14;17;5;0;0;0;0;0;0
2020-08-16 02:00:00;0;0;0;0;4;10;13;4;0;0;0;0;0;0
2020-08-16 02:15:00;0;0;0;0;4;10;13;2;0;0;0;0;0;0
2020-08-16 02:30:00;0;0;0;0;3;15;12;1;0;0;0;0;0;0
2020-08-16 02:45:00;0;0;0;0;2;5;10;2;0;0;0;0;0;0
2020-08-16 03:00:00;0;0;0;0;2;10;12;4;0;0;0;0;0;0
2020-08-16 03:15:00;0;0;0;0;2;5;5;4;0;0;0;0;0;0
2020-08-16 03:30:00;0;0;0;0;5;9;5;0;0;0;0;0;0;0
2020-08-16 03:45:00;0;0;0;0;2;8;16;4;0;0;0;0;0;0
2020-08-16 04:00:00;0;0;0;0;4;9;13;3;0;0;0;0;0;0
2020-08-16 04:15:00;0;0;0;0;5;5;8;4;0;0;0;0;0;0
2020-08-16 04:30:00;0;0;0;0;2;9;12;1;0;0;0;0;0;0
2020-08-16 04:45:00;0;0;0;0;1;4;8;3;0;0;0;0;0;0
2020-08-16 05:00:00;0;0;0;0;4;7;7;4;0;0;0;0;0;0
2020-08-16 05:15:00;0;0;0;0;2;9;11;5;0;0;0;0;0;0
2020-08-16 05:30:00;0;0;0;0;2;14;12;6;0;0;0;0;0;0
2020-08-16 05:45:00;0;0;0;0;3;6;12;6;0;0;0;0;0;0
2020-08-16 06:00:00;0;0;0;0;8;9;21;7;0;0;0;0;0;0
2020-08-16 06:15:00;0;0;0;0;4;18;15;6;0;0;0;0;0;0
2020-08-16 06:30:00;0;0;0;0;5;17;22;9;0;0;0;0;0;0
2020-08-16 06:45:00;0;0;0;0;3;19;19;6;0;0;0;0;0;0
2020-08-16 07:00:00;0;0;0;0;8;26;24;17;0;0;0;0;0;0
2020-08-16 07:15:00;0;0;0;0;7;15;20;8;0;0;0;0;0;0
2020-08-16 07:30:00;0;0;0;0;8;14;25;7;0;0;0;0;0;0
2020-08-16 07:45:00;0;0;0;0;5;24;20;8;0;0;0;0;0;0
2020-08-16 08:00:00;0;0;0;0;11;35;43;20;0;0;0;0;0;0
2020-08-16 08:15:00;0;0;0;0;8;16;20;7;0;0;0;0;0;0
2020-08-16 08:30:00;0;0;0;0;19;32;44;18;0;0;0;0;0;0
2020-08-16 08:45:00;0;0;0;0;21;35;36;15;0;0;0;0;0;0
2020-08-16 09:00:00;0;0;0;0;16;42;48;16;0;0;0;0;0;0
2020-08-16 09:15:00;0;0;0;0;23;44;42;13;0;0;0;0;0;0
2020-08-16 09:30:00;0;0;0;0;24;46;67;19;0;0;0;0;3;0
2020-08-16 09:45:00;0;0;0;0;28;48;55;18;0;0;0;0;0;2
2020-08-16 10:00:00;0;0;0;0;13;57;64;20;0;0;0;0;0;0
2020-08-16 10:15:00;0;0;0;0;19;48;59;21;0;0;0;0;0;0
2020-08-16 10:30:00;0;0;0;0;10;60;55;22;0;0;0;0;0;0
2020-08-16 10:45:00;0;0;0;0;23;70;73;22;0;0;0;0;6;0
2020-08-16 11:00:00;0;0;0;0;21;53;56;20;0;0;0;0;0;1
2020-08-16 11:15:00;0;0;0;0;18;78;74;24;0;0;0;0;0;0
2020-08-16 11:30:00;0;0;0;0;18;59;49;29;0;0;0;0;3;0
2020-08-16 11:45:00;0;0;0;0;27;64;67;26;0;0;0;0;1;0
2020-08-16 12:00:00;0;0;0;0;24;69;72;27;0;0;0;0;0;0
2020-08-16 12:15:00;0;0;0;0;25;61;65;16;0;0;0;0;0;1
2020-08-16 12:30:00;0;0;0;0;21;64;61;25;0;0;0;0;1;0
2020-08-16 12:45:00;0;0;0;0;29;65;64;26;0;0;0;0;0;0
2020-08-16 13:00:00;0;0;0;0;24;74;61;16;0;0;0;0;0;11
2020-08-16 13:15:00;0;0;0;0;24;76;52;22;0;0;0;0;0;0
2020-08-16 13:30:00;0;0;0;0;26;66;60;21;0;0;3;0;0;0
2020-08-16 13:45:00;0;0;0;0;25;81;74;24;0;0;9;0;0;0
2020-08-16 14:00:00;0;0;0;0;16;60;66;17;0;0;0;2;0;0
2020-08-16 14:15:00;0;0;0;0;28;70;60;24;0;0;7;0;1;0
2020-08-16 14:30:00;0;0;0;0;20;73;70;25;0;0;0;0;0;8
2020-08-16 14:45:00;0;0;0;0;19;80;71;38;0;0;0;4;0;0
2020-08-16 15:00:00;0;0;0;0;16;61;58;21;0;0;0;0;0;0
2020-08-16 15:15:00;0;0;0;0;16;48;43;13;0;0;2;0;0;0
2020-08-16 15:30:00;0;0;0;0;17;83;68;30;0;0;0;0;0;0
2020-08-16 15:45:00;0;0;0;0;21;74;55;30;0;0;0;2;0;0
2020-08-16 16:00:00;0;0;0;0;19;61;65;22;0;0;0;0;8;0
2020-08-16 16:15:00;0;0;0;0;19;72;79;21;0;0;4;0;0;0
2020-08-16 16:30:00;0;0;0;0;16;69;63;24;0;0;0;1;0;0
2020-08-16 16:45:00;0;0;0;0;22;75;57;36;0;0;0;0;0;0
2020-08-16 17:00:00;0;0;0;0;13;66;54;23;0;0;0;0;2;0
2020-08-16 17:15:00;0;0;0;0;20;86;71;23;0;0;0;0;0;0
2020-08-16 17:30:00;0;0;0;0;20;70;68;25;0;0;0;0;2;0
2020-08-16 17:45:00;0;0;0;0;28;69;65;38;0;0;2;0;0;0
