DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-03-08 00:00:00;2;3;1;15;9;6;9;15;9;3;2
2020-03-08 00:15:00;1;4;0;22;28;33;5;17;20;8;7
2020-03-08 00:30:00;1;6;0;19;14;19;9;15;14;4;1
2020-03-08 00:45:00;1;9;0;26;25;18;5;11;14;7;6
2020-03-08 01:00:00;1;0;0;18;12;16;7;12;12;3;3
2020-03-08 01:15:00;2;4;0;18;13;15;7;11;17;3;5
2020-03-08 01:30:00;1;1;0;12;10;8;4;10;11;3;3
2020-03-08 01:45:00;2;4;0;17;16;19;9;5;10;5;5
2020-03-08 02:00:00;0;2;0;18;18;14;3;9;9;3;0
2020-03-08 02:15:00;0;0;0;15;9;17;3;7;6;2;1
2020-03-08 02:30:00;0;1;0;8;14;18;3;4;7;2;2
2020-03-08 02:45:00;0;2;0;12;11;10;1;6;6;3;2
2020-03-08 03:00:00;0;2;1;12;15;15;5;8;7;4;5
2020-03-08 03:15:00;2;2;0;13;14;21;1;4;2;0;0
2020-03-08 03:30:00;0;3;0;4;7;29;4;5;7;1;1
2020-03-08 03:45:00;0;0;0;8;10;67;3;5;5;1;1
2020-03-08 04:00:00;0;1;0;6;6;26;0;7;6;2;2
2020-03-08 04:15:00;1;0;0;9;11;67;0;1;4;2;1
2020-03-08 04:30:00;0;0;1;7;7;19;2;6;8;2;2
2020-03-08 04:45:00;0;1;2;7;8;85;1;10;8;4;3
2020-03-08 05:00:00;0;1;0;6;8;65;1;5;5;2;2
2020-03-08 05:15:00;2;1;0;12;11;17;3;6;7;1;1
2020-03-08 05:30:00;3;4;0;14;9;21;1;10;12;4;2
2020-03-08 05:45:00;1;6;2;12;2;30;4;19;20;5;5
2020-03-08 06:00:00;1;2;0;12;7;40;1;7;5;2;1
2020-03-08 06:15:00;0;0;0;13;10;20;3;15;11;3;3
2020-03-08 06:30:00;0;1;0;13;6;22;5;12;9;3;1
2020-03-08 06:45:00;2;1;1;13;5;51;3;8;8;1;1
2020-03-08 07:00:00;0;3;0;16;9;31;6;6;5;1;0
2020-03-08 07:15:00;0;3;1;13;12;3;3;7;8;2;2
2020-03-08 07:30:00;0;0;0;13;16;7;3;12;4;1;0
2020-03-08 07:45:00;2;5;3;12;9;3;7;23;18;2;2
2020-03-08 08:00:00;1;4;2;23;5;1;4;13;10;1;0
2020-03-08 08:15:00;2;0;0;26;9;3;3;18;10;1;1
2020-03-08 08:30:00;1;1;0;24;13;4;3;19;19;3;2
2020-03-08 08:45:00;2;12;3;30;16;8;8;27;21;9;4
2020-03-08 09:00:00;2;5;0;34;15;7;8;26;15;3;3
2020-03-08 09:15:00;4;10;2;43;24;10;15;35;26;5;5
2020-03-08 09:30:00;4;11;0;34;22;6;21;38;29;8;8
2020-03-08 09:45:00;5;19;4;43;19;6;13;42;35;3;5
2020-03-08 10:00:00;2;11;0;36;21;9;12;44;26;7;4
2020-03-08 10:15:00;1;13;1;44;25;8;15;44;20;4;3
2020-03-08 10:30:00;4;17;0;48;39;8;23;35;28;1;1
