DATUM;1(DA1);2(DA2);3(VDB1);4(VDB2);5(DB3);6(DB4);7(DC1);8(DC2);9(VDD1);10(VDD2);11(DD3);12(DD4);13(TAFGA);14(TAFGC);15(TAFBA);16(TAFBB);17(TAFBC);18(TAFBD)
2020-10-13 00:00:00;1;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0
2020-10-13 00:15:00;0;4;0;2;1;2;1;6;3;0;3;0;0;0;0;0;0;0
2020-10-13 00:30:00;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-10-13 00:45:00;2;2;0;0;0;0;1;2;1;1;2;1;0;0;0;0;0;0
2020-10-13 01:00:00;0;2;1;0;1;0;1;1;0;1;2;254;0;0;0;0;0;0
2020-10-13 01:15:00;1;1;2;0;2;2;1;3;1;0;1;0;0;0;0;0;0;0
2020-10-13 01:30:00;0;3;0;0;0;1;3;4;1;1;2;0;0;0;0;0;0;0
2020-10-13 01:45:00;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
2020-10-13 02:00:00;0;2;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0
2020-10-13 02:15:00;1;1;1;1;1;1;0;0;0;0;0;4;0;0;0;0;0;0
2020-10-13 02:30:00;3;4;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
2020-10-13 02:45:00;0;1;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0
2020-10-13 03:00:00;1;2;0;0;0;1;3;4;0;1;0;1;0;0;0;0;0;0
2020-10-13 03:15:00;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-13 03:30:00;0;0;1;1;1;2;5;4;0;0;0;0;0;0;0;0;0;0
2020-10-13 03:45:00;1;2;1;0;1;2;3;3;2;0;1;0;0;0;0;0;0;0
2020-10-13 04:00:00;0;1;1;1;1;3;2;2;1;0;1;1;0;0;0;0;0;0
2020-10-13 04:15:00;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0
2020-10-13 04:30:00;1;1;0;0;0;1;1;4;1;0;1;1;0;0;0;0;0;0
2020-10-13 04:45:00;0;3;1;4;1;4;2;1;1;2;2;3;0;0;0;0;0;0
2020-10-13 05:00:00;1;2;4;1;2;3;5;7;0;1;0;2;0;0;0;0;0;0
2020-10-13 05:15:00;1;5;2;1;2;1;2;5;2;1;2;3;0;0;0;0;0;0
2020-10-13 05:30:00;24;15;4;5;5;8;4;4;1;1;2;6;0;0;0;0;0;0
2020-10-13 05:45:00;29;34;7;8;11;12;8;10;7;4;5;20;0;0;0;0;0;0
2020-10-13 06:00:00;38;29;9;4;11;7;24;23;3;2;3;10;0;0;0;0;0;0
2020-10-13 06:15:00;32;41;16;9;17;19;23;24;7;4;9;11;0;0;0;0;0;0
2020-10-13 06:30:00;38;47;18;9;21;12;21;17;5;2;8;15;0;0;0;3;0;0
2020-10-13 06:45:00;36;48;18;13;19;16;16;15;12;3;15;10;0;0;0;0;0;1
2020-10-13 07:00:00;32;46;24;15;28;20;24;33;13;9;19;19;0;0;0;0;0;0
2020-10-13 07:15:00;54;56;42;28;42;36;40;48;14;14;19;19;0;2;0;0;0;0
2020-10-13 07:30:00;48;58;44;42;41;52;61;78;10;9;16;18;1;0;0;0;0;0
2020-10-13 07:45:00;36;39;29;29;32;35;63;62;22;6;29;16;2;0;1;0;0;1
2020-10-13 08:00:00;34;57;20;15;22;23;33;34;21;10;32;18;1;1;0;0;0;0
2020-10-13 08:15:00;33;47;11;16;21;23;28;35;23;3;28;15;2;0;3;1;0;2
2020-10-13 08:30:00;31;35;34;19;31;27;33;38;20;12;24;23;0;1;0;0;0;0
2020-10-13 08:45:00;25;42;22;15;22;20;33;36;22;6;30;15;0;0;0;0;0;0
2020-10-13 09:00:00;20;44;22;22;22;26;30;31;18;7;25;14;1;0;0;0;0;1
2020-10-13 09:15:00;23;44;22;17;30;18;27;39;32;7;48;11;0;0;0;1;0;0
2020-10-13 09:30:00;20;45;20;18;24;22;35;24;23;11;28;15;2;0;2;1;0;2
2020-10-13 09:45:00;24;61;16;23;20;27;33;38;25;13;30;21;0;1;0;1;0;0
2020-10-13 10:00:00;12;41;19;18;21;26;30;33;21;11;27;17;0;0;0;0;0;0
2020-10-13 10:15:00;25;51;23;13;27;16;36;25;24;13;36;23;0;1;0;12;0;8
2020-10-13 10:30:00;15;59;27;8;29;17;44;42;33;8;41;16;1;0;0;2;0;1
2020-10-13 10:45:00;30;52;23;9;24;16;55;38;29;16;30;22;0;2;0;11;0;0
