DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2019-10-29 00:00:00;7;6;0;1;13;11;0;1;1;1;2;0;0;8;18;0;0;0;0;0;0;0;0
2019-10-29 00:15:00;22;13;2;1;13;11;0;7;7;1;1;2;3;26;16;0;0;0;0;0;0;0;0
2019-10-29 00:30:00;17;8;0;1;6;14;0;1;4;1;2;1;1;17;12;0;0;0;0;0;0;0;0
2019-10-29 00:45:00;5;9;0;1;7;6;2;2;2;0;0;2;2;9;9;0;0;0;0;0;0;0;0
2019-10-29 01:00:00;8;4;0;1;5;3;0;3;0;0;0;0;0;9;8;0;0;0;0;0;0;0;0
2019-10-29 01:15:00;3;5;1;0;6;5;1;1;1;0;0;0;0;5;7;0;0;0;0;0;0;0;0
2019-10-29 01:30:00;5;6;0;0;8;9;2;1;3;1;2;0;0;6;10;0;0;0;0;0;0;0;0
2019-10-29 01:45:00;4;5;1;0;6;7;1;1;1;0;0;0;0;5;9;0;0;0;0;0;0;0;0
2019-10-29 02:00:00;3;3;1;0;2;8;1;1;1;0;0;0;0;4;7;0;0;0;0;0;0;0;0
2019-10-29 02:15:00;4;1;1;1;4;0;1;0;1;0;0;1;0;4;4;0;0;0;0;0;0;0;0
2019-10-29 02:30:00;1;3;0;0;3;1;1;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
2019-10-29 02:45:00;4;6;0;0;5;4;0;0;1;0;0;0;0;7;6;0;0;0;0;0;0;0;0
2019-10-29 03:00:00;4;2;2;1;11;9;2;2;1;0;0;1;1;5;13;0;0;0;0;0;0;0;0
2019-10-29 03:15:00;5;4;1;1;7;4;1;2;1;0;0;0;0;6;8;0;0;0;0;0;0;0;0
2019-10-29 03:30:00;5;5;0;1;7;7;2;1;0;0;0;0;0;8;11;0;0;0;0;0;0;0;0
2019-10-29 03:45:00;4;4;0;2;4;1;2;2;1;0;2;0;0;5;4;0;0;0;0;0;0;0;0
2019-10-29 04:00:00;1;1;0;0;5;3;1;3;1;0;0;0;0;2;7;0;0;0;0;0;0;0;0
2019-10-29 04:15:00;9;9;0;4;7;5;4;2;2;2;1;0;0;13;9;0;0;0;0;0;0;0;0
2019-10-29 04:30:00;15;10;0;2;12;14;1;2;4;1;1;2;1;18;16;0;0;0;0;0;0;0;0
2019-10-29 04:45:00;25;17;3;7;13;7;4;3;3;1;2;1;1;30;14;0;0;0;0;0;0;0;0
2019-10-29 05:00:00;56;60;1;6;17;11;4;8;9;4;3;1;1;74;22;0;0;0;0;0;0;0;0
2019-10-29 05:15:00;71;71;0;4;25;15;3;11;8;4;3;1;1;98;28;0;0;0;0;0;0;0;0
2019-10-29 05:30:00;86;89;1;11;43;22;8;18;7;6;10;3;4;107;50;0;0;0;0;11;0;0;0
2019-10-29 05:45:00;71;96;3;12;54;39;8;15;9;7;9;4;5;102;73;0;20;0;0;0;0;0;0
2019-10-29 06:00:00;70;80;0;13;65;55;13;12;4;5;7;8;7;95;87;0;0;0;0;0;0;0;0
2019-10-29 06:15:00;113;132;5;16;57;47;9;24;18;20;10;6;7;151;75;0;0;0;0;0;0;0;0
2019-10-29 06:30:00;128;151;3;23;56;55;11;24;17;9;16;10;15;152;84;0;0;0;0;0;0;0;0
2019-10-29 06:45:00;114;140;7;31;69;61;13;27;17;18;29;11;12;141;93;0;0;0;0;0;0;0;0
2019-10-29 07:00:00;129;150;3;21;53;49;12;28;13;26;38;8;12;147;75;0;1;0;0;0;0;0;1
2019-10-29 07:15:00;149;158;3;27;72;76;11;43;30;43;21;8;11;160;112;0;1;0;0;0;4;0;0
2019-10-29 07:30:00;143;149;3;41;75;62;7;46;23;15;17;8;7;167;105;0;0;3;0;0;0;0;1
2019-10-29 07:45:00;134;133;7;38;83;105;12;44;26;15;13;18;16;146;131;0;5;0;0;0;0;2;0
2019-10-29 08:00:00;126;125;8;27;85;89;12;29;27;10;9;12;11;147;115;0;0;0;0;1;0;0;0
2019-10-29 08:15:00;105;112;7;28;83;71;8;31;30;13;11;9;9;136;101;0;1;0;0;2;0;0;0
2019-10-29 08:30:00;142;130;9;28;93;96;11;32;29;9;10;16;16;163;124;3;0;0;0;0;2;0;0
2019-10-29 08:45:00;124;122;11;35;101;85;15;33;30;16;12;10;9;141;118;0;0;0;0;2;0;2;0
2019-10-29 09:00:00;113;128;10;30;75;83;10;28;21;12;13;13;13;134;96;6;0;0;0;0;0;0;0
2019-10-29 09:15:00;105;115;8;37;94;86;11;26;21;13;13;8;13;130;130;0;0;0;0;0;0;0;0
2019-10-29 09:30:00;126;133;8;24;100;86;7;50;44;8;9;10;10;149;129;0;0;0;0;1;0;0;0
2019-10-29 09:45:00;130;122;15;33;105;96;10;29;19;14;13;10;9;137;119;0;0;0;0;0;0;0;0
2019-10-29 10:00:00;135;128;9;43;94;96;20;23;23;13;12;10;8;149;119;0;0;0;0;1;0;0;0
2019-10-29 10:15:00;129;117;9;38;92;99;14;31;28;11;10;14;17;142;133;0;0;0;0;0;0;0;0
2019-10-29 10:30:00;142;135;11;27;103;92;13;25;23;25;28;15;12;139;132;2;0;0;0;0;0;0;0
2019-10-29 10:45:00;135;126;12;34;103;81;13;29;33;15;15;11;14;150;123;0;0;0;0;0;0;0;0
2019-10-29 11:00:00;102;106;10;39;102;117;18;24;24;9;15;11;14;129;136;0;0;0;0;1;0;0;0
2019-10-29 11:15:00;117;117;11;37;110;100;10;29;31;9;77;6;8;132;128;0;0;0;0;0;0;0;0
2019-10-29 11:30:00;120;107;10;25;106;108;13;28;33;11;13;13;15;149;139;0;0;0;0;0;0;0;0
2019-10-29 11:45:00;119;104;11;30;113;101;8;26;32;51;22;8;10;118;134;0;0;0;0;0;0;0;0
2019-10-29 12:00:00;122;109;17;38;108;85;22;35;34;11;8;8;10;146;133;0;0;0;0;0;0;0;2
2019-10-29 12:15:00;110;118;7;27;100;94;12;43;27;23;20;7;10;146;126;0;0;0;1;1;0;0;0
2019-10-29 12:30:00;102;92;10;27;98;104;16;27;26;11;11;10;11;129;119;0;6;0;0;39;0;0;0
2019-10-29 12:45:00;116;102;14;33;101;99;20;21;24;16;9;11;10;139;136;0;0;0;0;0;0;0;0
2019-10-29 13:00:00;122;113;8;32;121;105;7;25;31;11;11;18;19;146;148;0;1;0;0;0;0;0;0
2019-10-29 13:15:00;128;122;7;33;116;119;14;25;32;14;17;19;19;161;148;0;0;0;0;0;1;0;0
2019-10-29 13:30:00;114;126;6;26;91;110;9;35;25;16;23;17;15;147;135;0;0;0;0;0;0;0;0
2019-10-29 13:45:00;127;130;8;33;95;114;14;32;29;24;21;8;5;154;141;0;0;0;0;0;0;2;0
2019-10-29 14:00:00;126;118;18;33;113;112;18;32;36;12;19;5;7;164;147;0;34;0;1;0;0;0;0
2019-10-29 14:15:00;119;111;16;26;115;132;17;37;30;10;49;12;11;141;130;0;14;0;0;0;0;0;0
2019-10-29 14:30:00;129;119;7;33;132;149;21;39;31;12;11;15;11;144;170;0;0;0;0;1;0;0;6
2019-10-29 14:45:00;117;104;10;28;137;159;16;44;33;11;17;13;9;159;156;0;2;0;0;0;0;0;1
