DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-12-27 00:00:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-27 00:15:00;3;0;0;0;0;0;1;0;0;0;0;0;0;0
2020-12-27 00:30:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-27 00:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-12-27 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 01:15:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-27 01:30:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-27 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 02:00:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-27 02:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 03:30:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-12-27 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 04:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 04:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-27 04:45:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-27 05:00:00;2;0;1;1;2;0;3;1;0;0;0;0;0;0
2020-12-27 05:15:00;2;0;0;0;2;0;2;1;0;0;0;0;0;0
2020-12-27 05:30:00;5;0;0;0;3;0;1;1;0;0;0;0;0;0
2020-12-27 05:45:00;1;0;1;1;4;0;0;0;0;0;0;0;0;0
2020-12-27 06:00:00;2;0;1;1;0;0;2;2;0;0;0;0;0;0
2020-12-27 06:15:00;2;0;2;2;2;0;0;0;0;0;0;0;0;0
2020-12-27 06:30:00;3;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-12-27 06:45:00;1;0;0;0;3;0;2;2;0;0;0;0;0;0
