DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-05-15 20:30:00;2;42;26;39;19;0;5;3;0;0;0;0;0
2020-05-15 20:45:00;1;43;33;53;28;1;2;2;0;0;0;0;0
2020-05-15 21:00:00;1;70;60;53;39;3;9;10;0;0;13;0;0
2020-05-15 21:15:00;2;71;50;81;67;2;6;7;0;0;0;0;0
2020-05-15 21:30:00;2;38;24;57;43;1;2;3;0;0;0;0;0
2020-05-15 21:45:00;0;43;29;30;18;1;0;1;0;0;0;0;0
2020-05-15 22:00:00;1;56;30;31;16;1;1;1;0;0;0;0;0
2020-05-15 22:15:00;1;29;13;21;11;3;1;3;0;0;0;0;0
2020-05-15 22:30:00;1;36;17;26;13;0;6;8;0;0;0;0;0
2020-05-15 22:45:00;3;24;19;22;10;1;1;3;0;0;0;0;0
2020-05-15 23:00:00;5;27;11;18;5;0;4;8;0;0;0;0;0
2020-05-15 23:15:00;1;17;8;29;9;0;1;2;0;0;0;0;0
2020-05-15 23:30:00;5;19;8;21;5;0;1;2;0;0;0;0;0
2020-05-15 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
