DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-03-09 00:00:00;1;0;3;0;0;0
2020-03-09 00:15:00;4;2;1;1;0;0
2020-03-09 00:30:00;2;0;3;0;0;0
2020-03-09 00:45:00;2;0;1;0;0;0
2020-03-09 01:00:00;2;0;1;0;0;0
2020-03-09 01:15:00;3;0;1;0;0;0
2020-03-09 01:30:00;2;0;0;0;0;0
2020-03-09 01:45:00;1;0;3;0;0;0
2020-03-09 02:00:00;1;0;1;0;0;0
2020-03-09 02:15:00;0;0;1;0;0;0
2020-03-09 02:30:00;2;0;0;0;0;0
2020-03-09 02:45:00;2;0;1;0;0;0
2020-03-09 03:00:00;2;0;1;0;0;0
2020-03-09 03:15:00;0;0;3;0;0;0
2020-03-09 03:30:00;1;0;2;0;0;0
2020-03-09 03:45:00;3;0;4;0;0;0
2020-03-09 04:00:00;3;1;8;0;0;0
2020-03-09 04:15:00;5;0;6;0;0;0
2020-03-09 04:30:00;6;0;15;0;0;0
2020-03-09 04:45:00;10;6;33;0;0;0
2020-03-09 05:00:00;17;11;83;0;13;3
2020-03-09 05:15:00;63;32;207;0;12;10
2020-03-09 05:30:00;73;54;173;4;8;7
2020-03-09 05:45:00;113;39;122;15;13;5
2020-03-09 06:00:00;96;15;109;13;8;7
2020-03-09 06:15:00;70;22;133;9;7;3
2020-03-09 06:30:00;107;27;154;7;19;9
2020-03-09 06:45:00;100;10;155;5;7;13
2020-03-09 07:00:00;87;16;141;2;2;13
2020-03-09 07:15:00;106;16;162;2;3;10
2020-03-09 07:30:00;113;13;156;3;6;20
2020-03-09 07:45:00;104;9;116;0;1;17
2020-03-09 08:00:00;117;9;137;3;1;5
2020-03-09 08:15:00;96;9;144;6;0;25
2020-03-09 08:30:00;82;4;105;0;0;6
2020-03-09 08:45:00;65;4;96;3;0;3
2020-03-09 09:00:00;76;1;68;3;0;6
2020-03-09 09:15:00;64;3;65;1;0;2
2020-03-09 09:30:00;52;2;57;4;3;1
2020-03-09 09:45:00;57;4;73;0;0;1
2020-03-09 10:00:00;46;4;50;6;0;0
2020-03-09 10:15:00;48;2;57;5;0;0
2020-03-09 10:30:00;62;2;49;0;0;2
2020-03-09 10:45:00;59;3;59;3;1;0
2020-03-09 11:00:00;63;1;50;5;0;4
2020-03-09 11:15:00;57;4;55;2;0;0
2020-03-09 11:30:00;69;2;62;1;2;1
2020-03-09 11:45:00;65;2;46;4;0;1
2020-03-09 12:00:00;77;5;45;3;0;3
2020-03-09 12:15:00;67;2;46;2;0;0
2020-03-09 12:30:00;82;5;64;6;0;3
2020-03-09 12:45:00;81;9;85;3;3;15
2020-03-09 13:00:00;83;22;85;7;2;18
2020-03-09 13:15:00;97;53;124;8;9;28
2020-03-09 13:30:00;98;73;208;7;5;20
2020-03-09 13:45:00;107;41;148;28;27;23
2020-03-09 14:00:00;129;15;99;83;18;42
2020-03-09 14:15:00;125;1;102;154;11;53
2020-03-09 14:30:00;102;0;68;51;7;8
2020-03-09 14:45:00;100;1;66;25;10;4
2020-03-09 15:00:00;124;0;71;46;23;9
2020-03-09 15:15:00;161;3;88;39;16;6
2020-03-09 15:30:00;139;1;64;23;4;8
2020-03-09 15:45:00;114;0;76;27;9;4
2020-03-09 16:00:00;166;3;81;17;5;6
2020-03-09 16:15:00;131;2;83;24;4;6
2020-03-09 16:30:00;151;4;86;26;2;3
2020-03-09 16:45:00;128;0;90;14;7;1
2020-03-09 17:00:00;133;3;79;19;4;3
2020-03-09 17:15:00;107;4;76;15;1;5
2020-03-09 17:30:00;97;0;66;14;2;6
2020-03-09 17:45:00;89;3;77;10;3;0
2020-03-09 18:00:00;71;0;72;15;5;2
2020-03-09 18:15:00;69;0;61;7;0;0
2020-03-09 18:30:00;79;0;62;8;0;5
2020-03-09 18:45:00;50;0;65;8;1;0
2020-03-09 19:00:00;51;0;59;4;0;0
2020-03-09 19:15:00;44;0;43;2;1;0
2020-03-09 19:30:00;42;0;19;1;0;0
2020-03-09 19:45:00;40;0;40;0;0;0
2020-03-09 20:00:00;42;0;26;0;0;1
2020-03-09 20:15:00;29;0;25;2;0;0
2020-03-09 20:30:00;32;4;31;1;1;0
2020-03-09 20:45:00;26;3;47;4;1;2
2020-03-09 21:00:00;37;10;120;3;5;9
2020-03-09 21:15:00;36;31;145;6;6;4
2020-03-09 21:30:00;43;10;93;28;8;14
2020-03-09 21:45:00;71;3;70;125;12;8
2020-03-09 22:00:00;89;1;40;147;2;16
2020-03-09 22:15:00;37;1;27;32;6;8
2020-03-09 22:30:00;17;1;13;11;0;0
2020-03-09 22:45:00;21;0;12;3;0;1
2020-03-09 23:00:00;9;0;6;4;0;0
2020-03-09 23:15:00;7;0;6;2;0;0
2020-03-09 23:30:00;5;0;5;0;0;0
2020-03-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
