DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-12-24 00:00:00;4;8;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 00:15:00;6;7;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 00:30:00;7;2;3;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 00:45:00;5;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 01:00:00;2;5;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 01:15:00;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 01:30:00;3;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 01:45:00;2;3;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 02:00:00;4;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 02:15:00;4;6;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 02:30:00;4;3;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 02:45:00;5;4;2;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:00:00;4;1;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:15:00;6;3;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:30:00;5;4;4;7;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:45:00;5;4;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 04:00:00;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 04:15:00;2;11;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 04:30:00;7;15;10;20;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 04:45:00;11;13;12;18;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 05:00:00;19;20;6;20;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 05:15:00;20;14;13;23;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 05:30:00;28;34;14;35;2;2;3;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 05:45:00;12;25;13;24;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 06:00:00;25;20;10;28;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 06:15:00;12;31;8;30;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 06:30:00;27;25;16;29;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-24 06:45:00;19;43;17;48;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 07:00:00;24;49;13;43;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-24 07:15:00;36;40;9;40;7;9;9;3;3;0;0;2;0;0;0;0;0;0;0
2020-12-24 07:30:00;46;48;10;51;10;9;10;3;3;1;0;0;0;0;0;0;0;0;0
2020-12-24 07:45:00;38;49;7;57;16;14;19;5;5;2;0;1;0;0;0;0;0;0;0
2020-12-24 08:00:00;51;35;7;42;16;18;17;5;5;0;0;0;0;0;0;0;0;0;0
2020-12-24 08:15:00;51;79;21;76;7;30;12;11;11;0;0;3;0;0;0;0;0;0;0
2020-12-24 08:30:00;49;54;15;45;8;9;12;3;3;1;0;3;0;0;0;0;0;0;0
2020-12-24 08:45:00;53;65;13;62;15;23;17;5;5;6;0;5;0;0;0;0;0;0;0
2020-12-24 09:00:00;78;86;13;73;19;21;22;6;6;5;0;2;0;0;0;0;0;0;0
2020-12-24 09:15:00;89;79;5;71;19;19;21;2;2;4;0;3;0;0;0;0;0;0;0
2020-12-24 09:30:00;105;100;11;87;15;15;16;10;10;3;0;1;0;0;0;0;0;0;0
2020-12-24 09:45:00;102;104;26;85;28;31;30;8;24;0;0;1;0;0;0;0;0;0;0
2020-12-24 10:00:00;138;115;12;95;26;27;27;10;10;1;0;2;0;0;0;0;0;0;2
2020-12-24 10:15:00;130;121;21;94;32;23;24;10;10;3;0;4;0;0;0;0;0;0;0
2020-12-24 10:30:00;135;130;16;98;21;21;22;12;13;7;0;3;0;0;0;0;0;0;0
2020-12-24 10:45:00;153;125;10;84;23;26;28;9;9;5;0;1;0;0;0;0;0;0;0
2020-12-24 11:00:00;153;128;19;98;28;27;28;9;9;6;0;5;0;0;0;0;0;0;0
2020-12-24 11:15:00;136;96;15;88;17;19;20;19;19;3;0;3;0;1;0;0;0;0;0
2020-12-24 11:30:00;154;127;25;91;28;28;31;8;8;1;0;3;0;1;0;0;0;0;2
2020-12-24 11:45:00;150;92;22;71;29;30;30;10;10;1;0;1;0;1;0;0;0;0;0
2020-12-24 12:00:00;180;101;23;88;17;19;20;12;12;0;0;1;0;1;0;0;0;0;0
2020-12-24 12:15:00;146;104;26;92;18;20;22;3;4;5;0;1;0;0;0;0;0;0;0
2020-12-24 12:30:00;128;174;21;137;26;30;33;11;12;1;0;0;0;0;0;0;0;0;0
2020-12-24 12:45:00;144;78;24;71;15;18;18;10;10;0;0;1;0;0;0;0;0;0;0
2020-12-24 13:00:00;161;119;19;78;18;23;25;10;8;0;0;0;0;0;0;0;0;0;0
