DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2019-10-08 00:00:00;8;10;4;14;4;1;0;2;0;1;0
2019-10-08 00:15:00;13;16;9;6;2;2;2;5;0;3;1
2019-10-08 00:30:00;14;18;15;8;3;3;1;3;0;3;3
2019-10-08 00:45:00;13;15;7;6;4;3;2;4;0;1;0
2019-10-08 01:00:00;10;14;7;9;1;0;0;1;0;1;1
2019-10-08 01:15:00;7;10;4;10;4;0;0;1;0;1;1
2019-10-08 01:30:00;5;7;3;7;0;3;1;3;0;0;0
2019-10-08 01:45:00;11;11;6;7;1;0;0;1;0;1;2
2019-10-08 02:00:00;9;11;4;4;2;0;0;1;0;0;0
2019-10-08 02:15:00;15;16;12;4;2;2;0;0;0;0;0
2019-10-08 02:30:00;7;8;5;2;0;1;0;1;0;2;1
2019-10-08 02:45:00;3;8;5;7;4;1;0;2;0;0;0
2019-10-08 03:00:00;2;6;1;7;4;2;1;2;0;2;2
2019-10-08 03:15:00;5;11;3;5;2;1;1;0;0;2;0
2019-10-08 03:30:00;10;11;10;8;5;2;0;2;0;0;0
2019-10-08 03:45:00;5;8;4;5;3;3;0;2;0;1;3
2019-10-08 04:00:00;8;11;2;8;3;0;0;4;0;1;0
2019-10-08 04:15:00;10;12;4;7;9;1;1;2;0;3;2
2019-10-08 04:30:00;29;28;11;11;9;3;1;5;0;4;4
2019-10-08 04:45:00;43;47;24;16;12;3;1;3;0;2;5
2019-10-08 05:00:00;67;71;62;25;26;11;3;7;0;7;13
2019-10-08 05:15:00;71;77;63;23;20;14;2;14;0;9;16
2019-10-08 05:30:00;102;115;92;35;24;18;6;20;0;22;23
2019-10-08 05:45:00;86;103;86;44;45;23;8;22;0;20;28
2019-10-08 06:00:00;103;128;89;78;75;22;6;54;0;14;18
2019-10-08 06:15:00;127;162;131;79;51;28;12;43;0;26;31
2019-10-08 06:30:00;152;175;142;102;72;61;15;38;0;33;51
2019-10-08 06:45:00;160;191;152;103;85;47;20;40;0;29;41
2019-10-08 07:00:00;143;174;166;141;95;35;23;32;0;32;52
2019-10-08 07:15:00;158;186;169;131;94;64;38;45;0;46;82
2019-10-08 07:30:00;144;172;173;128;109;87;47;50;0;67;80
2019-10-08 07:45:00;131;174;105;112;105;106;39;63;0;46;68
2019-10-08 08:00:00;125;162;154;134;92;68;46;29;0;42;56
2019-10-08 08:15:00;124;159;154;141;85;43;26;41;0;29;40
2019-10-08 08:30:00;131;161;129;123;88;36;20;36;0;24;33
2019-10-08 08:45:00;133;160;128;124;115;35;15;42;0;29;33
2019-10-08 09:00:00;115;140;90;117;80;32;12;31;0;21;25
2019-10-08 09:15:00;114;150;122;100;70;31;14;39;0;27;31
2019-10-08 09:30:00;114;134;121;124;96;22;25;41;0;21;28
2019-10-08 09:45:00;107;143;99;123;93;31;14;38;0;28;23
2019-10-08 10:00:00;122;148;113;128;89;20;38;39;0;26;27
2019-10-08 10:15:00;101;140;94;100;86;23;15;44;0;29;21
2019-10-08 10:30:00;101;133;87;122;104;43;33;40;0;27;31
2019-10-08 10:45:00;119;159;115;161;103;32;16;44;0;20;19
2019-10-08 11:00:00;101;141;97;109;87;37;21;52;0;31;30
2019-10-08 11:15:00;103;135;96;127;74;19;35;44;0;30;28
2019-10-08 11:30:00;107;141;99;95;75;23;11;32;0;22;20
2019-10-08 11:45:00;97;129;102;105;107;25;17;42;0;18;19
2019-10-08 12:00:00;102;128;97;131;72;17;14;49;0;19;24
2019-10-08 12:15:00;108;157;104;110;77;30;21;45;0;30;27
2019-10-08 12:30:00;117;165;97;120;103;32;9;60;0;24;26
2019-10-08 12:45:00;90;137;114;143;111;23;20;68;0;26;27
2019-10-08 13:00:00;124;170;117;119;111;30;8;65;0;30;38
2019-10-08 13:15:00;126;170;132;144;88;38;27;67;0;31;39
2019-10-08 13:30:00;115;154;132;144;101;40;18;64;0;23;29
2019-10-08 13:45:00;119;169;138;142;107;33;14;69;0;37;46
2019-10-08 14:00:00;124;165;113;137;114;34;11;57;0;21;38
2019-10-08 14:15:00;114;166;102;148;122;26;18;60;0;26;26
2019-10-08 14:30:00;112;151;94;151;125;40;12;81;0;37;47
2019-10-08 14:45:00;30;47;31;31;30;7;6;29;0;8;10
2019-10-08 15:00:00;115;162;109;149;119;27;13;73;0;24;32
2019-10-08 15:15:00;100;157;98;177;150;38;30;82;0;24;29
