DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2020-06-12 00:00:00;11;4;3;5;0;7;3;0;0;0;0
2020-06-12 00:15:00;12;6;1;4;0;9;3;0;0;0;0
2020-06-12 00:30:00;11;6;2;3;0;9;2;0;0;0;0
2020-06-12 00:45:00;13;7;0;2;0;7;5;0;0;0;0
2020-06-12 01:00:00;9;5;2;2;0;6;5;0;0;0;0
2020-06-12 01:15:00;4;6;4;1;0;11;0;0;0;0;0
2020-06-12 01:30:00;6;9;5;4;0;7;1;0;0;0;0
2020-06-12 01:45:00;4;4;1;1;0;2;4;0;0;0;0
2020-06-12 02:00:00;5;2;0;2;0;5;2;0;0;0;0
2020-06-12 02:15:00;8;1;1;1;0;3;0;0;0;0;0
2020-06-12 02:30:00;6;2;0;1;0;1;1;0;0;0;0
2020-06-12 02:45:00;0;0;0;1;0;5;0;1;0;0;0
2020-06-12 03:00:00;8;1;0;2;0;7;2;0;0;0;0
2020-06-12 03:15:00;7;5;0;1;0;2;0;0;0;0;0
2020-06-12 03:30:00;6;3;0;0;0;4;1;0;0;0;0
2020-06-12 03:45:00;2;1;0;0;0;3;0;0;0;0;0
2020-06-12 04:00:00;4;2;0;1;0;5;0;0;0;0;0
2020-06-12 04:15:00;3;3;2;4;0;4;1;0;0;0;0
2020-06-12 04:30:00;8;3;0;1;0;3;3;0;0;0;0
2020-06-12 04:45:00;18;9;0;1;0;7;1;0;0;0;0
2020-06-12 05:00:00;13;4;0;0;0;4;2;0;0;0;0
2020-06-12 05:15:00;24;18;2;8;0;10;2;0;0;0;0
2020-06-12 05:30:00;25;14;2;5;0;29;7;0;0;0;0
2020-06-12 05:45:00;24;16;3;6;0;22;2;0;0;0;0
2020-06-12 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-12 06:15:00;22;19;4;13;0;34;3;2;0;0;0
2020-06-12 06:30:00;37;31;4;7;0;42;11;0;0;0;0
2020-06-12 06:45:00;46;33;6;16;0;35;12;0;0;0;0
2020-06-12 07:00:00;45;43;7;31;0;40;15;0;0;0;0
2020-06-12 07:15:00;44;42;6;20;0;44;10;0;0;0;0
2020-06-12 07:30:00;59;35;9;22;0;38;18;0;0;0;0
2020-06-12 07:45:00;47;43;14;29;0;43;11;0;0;0;0
2020-06-12 08:00:00;49;31;6;36;0;38;20;0;0;0;0
2020-06-12 08:15:00;46;36;10;23;0;38;24;47;0;0;0
2020-06-12 08:30:00;52;42;7;32;0;43;17;1;1;0;0
2020-06-12 08:45:00;66;46;14;40;0;69;26;0;1;0;0
2020-06-12 09:15:00;77;65;14;43;0;74;32;0;0;2;0
2020-06-12 09:30:00;82;65;12;41;0;87;22;0;3;0;0
2020-06-12 09:45:00;82;79;19;38;0;65;25;0;0;0;0
2020-06-12 10:00:00;90;73;20;45;0;87;38;1;0;5;0
2020-06-12 10:15:00;97;81;21;42;0;83;23;0;0;0;0
2020-06-12 10:30:00;96;87;24;45;0;90;42;0;0;0;0
2020-06-12 10:45:00;91;86;15;50;0;94;24;0;0;0;0
2020-06-12 11:00:00;103;84;25;37;0;81;32;0;0;0;0
2020-06-12 11:15:00;103;74;29;44;0;96;30;0;0;0;0
2020-06-12 11:30:00;90;84;32;47;0;96;48;1;0;0;0
2020-06-12 11:45:00;90;85;37;46;0;83;24;2;0;0;0
2020-06-12 12:00:00;101;84;20;57;0;87;27;0;6;0;0
2020-06-12 12:15:00;91;95;31;41;0;60;30;0;0;0;0
2020-06-12 12:30:00;97;98;27;54;0;92;28;0;0;0;0
2020-06-12 12:45:00;99;83;25;53;0;89;28;1;0;0;0
2020-06-12 13:00:00;95;91;27;41;0;88;30;10;1;0;1
2020-06-12 13:15:00;105;78;28;39;0;82;33;35;0;0;0
2020-06-12 13:30:00;93;72;27;40;0;86;24;0;2;0;1
2020-06-12 13:45:00;104;85;25;37;0;70;30;0;0;0;0
2020-06-12 14:00:00;103;93;12;52;0;82;29;1;0;0;0
2020-06-12 14:15:00;112;94;23;45;0;66;17;3;0;0;0
2020-06-12 14:30:00;87;83;20;53;0;97;29;0;0;0;0
2020-06-12 14:45:00;102;99;26;35;0;70;22;0;0;0;0
2020-06-12 15:00:00;85;75;17;45;0;79;25;1;0;0;0
2020-06-12 15:15:00;99;104;14;34;0;63;22;0;0;0;0
2020-06-12 15:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-12 15:45:00;88;67;22;30;0;78;21;5;0;0;0
2020-06-12 16:00:00;85;70;18;30;0;83;25;0;0;0;0
2020-06-12 16:15:00;97;92;22;39;0;79;20;2;0;0;0
2020-06-12 16:30:00;87;77;17;44;0;81;26;3;0;0;0
2020-06-12 16:45:00;89;80;33;37;0;75;18;0;0;0;0
2020-06-12 17:00:00;92;68;18;30;0;83;25;0;2;0;0
2020-06-12 17:15:00;82;69;25;44;0;90;20;0;0;0;0
2020-06-12 17:30:00;79;61;21;34;0;65;19;0;0;0;0
2020-06-12 17:45:00;87;63;30;34;0;82;23;1;0;0;0
2020-06-12 18:00:00;79;68;20;41;0;68;20;2;0;0;0
2020-06-12 18:15:00;77;61;17;36;0;75;24;0;0;0;0
2020-06-12 18:30:00;75;56;23;25;0;53;17;1;0;9;0
2020-06-12 18:45:00;79;60;17;32;0;58;22;0;0;0;0
2020-06-12 19:00:00;50;46;19;38;0;66;19;0;0;0;3
2020-06-12 19:15:00;49;41;21;30;0;59;24;0;0;0;0
2020-06-12 19:30:00;64;33;23;29;0;54;22;0;0;0;0
