DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-06-05 00:00:00;1;4;5;1;6;2;2;1;4;3;0;0;0;0
2020-06-05 00:15:00;6;7;7;2;4;3;2;0;2;3;0;0;0;0
2020-06-05 00:30:00;4;2;12;0;5;0;3;0;1;1;0;0;0;0
2020-06-05 00:45:00;4;1;3;0;3;2;2;1;0;5;0;0;0;0
2020-06-05 01:00:00;2;4;8;0;1;2;4;0;6;5;0;0;0;0
2020-06-05 01:15:00;5;0;3;0;2;3;1;0;2;2;0;0;0;0
2020-06-05 01:30:00;1;1;6;0;3;2;2;0;2;2;0;0;0;0
2020-06-05 01:45:00;3;3;6;1;8;2;1;0;1;2;0;0;0;0
2020-06-05 02:00:00;1;0;0;0;6;2;0;0;3;0;0;0;0;0
2020-06-05 02:15:00;0;3;7;0;3;3;3;1;3;4;0;0;0;0
2020-06-05 02:30:00;3;1;10;0;4;3;3;0;4;4;0;0;0;0
2020-06-05 02:45:00;2;3;5;0;5;2;0;0;0;1;0;0;0;0
2020-06-05 03:00:00;2;1;1;0;3;1;0;0;0;5;0;0;0;0
2020-06-05 03:15:00;0;2;5;0;4;3;1;0;0;1;0;0;0;0
2020-06-05 03:30:00;3;2;8;1;2;3;0;0;3;5;0;0;0;0
2020-06-05 03:45:00;4;4;4;0;4;1;0;0;3;4;0;0;0;0
2020-06-05 04:00:00;1;2;6;1;4;2;0;0;1;5;0;0;0;0
2020-06-05 04:15:00;5;4;4;0;4;4;1;0;4;5;0;0;0;0
2020-06-05 04:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 04:45:00;14;15;11;2;7;7;3;1;5;4;0;0;0;0
2020-06-05 05:00:00;37;47;22;2;10;8;5;2;12;14;0;0;0;0
2020-06-05 05:15:00;93;94;31;18;11;13;7;2;2;13;0;0;0;0
2020-06-05 05:30:00;79;59;38;25;23;17;14;8;17;21;0;0;0;0
2020-06-05 05:45:00;86;35;44;36;15;21;18;3;49;56;0;0;0;0
2020-06-05 06:00:00;47;36;32;9;25;20;19;4;55;69;0;0;0;0
2020-06-05 06:15:00;59;43;44;24;39;43;16;6;36;45;0;0;0;0
2020-06-05 06:30:00;80;45;68;42;32;49;20;6;31;34;0;0;0;0
2020-06-05 06:45:00;75;63;75;52;35;38;25;10;14;20;0;0;0;0
2020-06-05 07:00:00;80;46;77;52;45;50;23;13;20;23;0;0;0;0
2020-06-05 07:15:00;79;46;70;48;55;58;27;12;29;28;0;0;0;0
2020-06-05 07:30:00;66;56;74;46;45;52;26;12;34;32;0;0;0;0
2020-06-05 07:45:00;74;61;74;51;55;56;43;23;40;31;0;0;0;0
2020-06-05 08:00:00;56;42;60;28;31;35;26;15;23;19;0;0;0;0
2020-06-05 08:15:00;60;38;58;28;51;37;29;13;35;33;0;0;0;0
2020-06-05 08:30:00;53;37;64;36;46;47;28;13;36;39;0;0;0;0
2020-06-05 08:45:00;54;44;84;42;59;50;30;8;33;45;0;0;0;0
