DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-04-27 00:00:00;4;2;6;6;0;0;0;0;0;0;0;0
2020-04-27 00:15:00;10;4;9;3;0;0;0;0;0;0;0;0
2020-04-27 00:30:00;11;1;3;0;0;0;0;0;0;0;0;0
2020-04-27 00:45:00;4;1;3;4;0;0;0;0;0;0;0;0
2020-04-27 01:00:00;2;2;2;1;0;0;0;0;0;0;0;0
2020-04-27 01:15:00;3;1;3;3;0;0;0;0;0;0;0;0
2020-04-27 01:30:00;4;0;0;1;0;0;0;0;0;0;0;0
2020-04-27 01:45:00;4;1;3;1;0;0;0;0;0;0;0;0
2020-04-27 02:00:00;2;1;3;1;0;0;0;0;0;0;0;0
2020-04-27 02:15:00;4;0;6;2;0;0;0;0;0;0;0;0
2020-04-27 02:30:00;1;4;7;1;0;0;0;0;0;0;0;0
2020-04-27 02:45:00;5;0;6;1;0;0;0;0;0;0;0;0
2020-04-27 03:00:00;2;0;0;0;0;0;0;0;0;0;0;0
2020-04-27 03:15:00;3;0;3;0;0;0;0;0;0;0;0;0
2020-04-27 03:30:00;6;0;1;0;0;0;0;0;0;0;0;0
2020-04-27 03:45:00;2;0;2;2;0;0;0;0;0;0;0;0
2020-04-27 04:00:00;2;3;3;7;0;0;0;0;0;0;0;0
2020-04-27 04:15:00;6;0;4;1;0;0;0;0;0;0;0;0
2020-04-27 04:30:00;8;3;10;4;0;0;0;0;0;0;0;0
2020-04-27 04:45:00;17;4;11;7;0;0;0;0;0;0;0;0
2020-04-27 05:00:00;11;5;16;13;0;0;0;0;0;0;0;0
2020-04-27 05:15:00;17;7;17;20;0;0;0;0;0;0;0;0
2020-04-27 05:30:00;44;12;31;25;0;0;0;0;0;0;0;0
2020-04-27 05:45:00;67;25;35;39;0;0;0;0;0;0;0;0
2020-04-27 06:00:00;39;15;40;30;0;0;0;0;0;0;0;0
2020-04-27 06:15:00;63;19;43;63;0;0;0;0;0;0;0;0
2020-04-27 06:30:00;78;38;56;73;0;0;0;0;0;0;0;0
2020-04-27 06:45:00;104;48;56;78;14;2;0;0;4;0;0;0
2020-04-27 07:00:00;107;63;61;70;1;3;0;0;4;14;2;0
2020-04-27 07:15:00;101;38;67;72;5;4;0;3;6;1;2;0
2020-04-27 07:30:00;98;55;65;59;0;2;0;0;8;3;0;0
2020-04-27 07:45:00;104;59;67;62;8;0;0;0;2;17;0;0
2020-04-27 08:00:00;87;62;58;51;0;0;0;0;1;0;0;0
2020-04-27 08:15:00;87;46;64;60;6;1;0;0;10;5;0;0
2020-04-27 08:30:00;97;38;56;49;0;0;0;0;0;3;0;0
2020-04-27 08:45:00;99;78;59;63;7;4;0;0;9;1;0;0
2020-04-27 09:00:00;91;53;69;63;3;1;0;0;0;14;0;0
2020-04-27 09:15:00;94;55;65;51;4;0;0;0;0;10;0;0
2020-04-27 09:30:00;93;58;72;60;1;24;2;0;4;18;2;0
2020-04-27 09:45:00;110;69;81;75;1;1;0;0;2;5;0;0
2020-04-27 10:00:00;96;59;68;76;5;32;2;0;18;7;0;2
2020-04-27 10:15:00;99;68;72;78;0;0;0;0;14;6;0;6
2020-04-27 10:30:00;91;60;69;86;1;2;0;0;6;4;0;1
2020-04-27 10:45:00;100;69;82;86;6;2;0;0;2;5;0;0
2020-04-27 11:00:00;92;67;79;69;8;0;0;0;0;18;0;0
2020-04-27 11:15:00;99;57;69;77;1;2;0;0;4;13;0;0
2020-04-27 11:30:00;100;59;79;83;27;6;6;0;4;10;1;2
2020-04-27 11:45:00;98;55;71;85;7;3;0;0;1;18;0;0
2020-04-27 12:00:00;111;54;70;83;8;3;0;0;8;15;0;0
2020-04-27 12:15:00;119;79;64;76;2;12;0;0;1;22;0;2
2020-04-27 12:30:00;101;70;82;77;1;10;0;0;13;16;0;0
2020-04-27 12:45:00;102;71;84;87;16;9;0;0;23;14;0;0
2020-04-27 13:00:00;95;59;67;85;10;6;0;3;9;21;0;0
2020-04-27 13:15:00;110;66;75;99;32;6;0;2;1;5;0;0
2020-04-27 13:30:00;108;65;77;81;1;2;0;0;12;2;0;0
2020-04-27 13:45:00;100;73;70;85;5;5;0;0;8;7;0;0
2020-04-27 14:00:00;91;55;78;98;10;18;4;0;2;54;0;4
2020-04-27 14:15:00;106;76;61;71;4;8;0;0;4;3;0;0
2020-04-27 14:30:00;107;81;88;92;11;4;0;0;10;37;0;7
2020-04-27 14:45:00;95;64;83;81;18;13;0;0;4;19;0;0
2020-04-27 15:00:00;119;79;93;91;7;1;0;0;6;9;0;0
2020-04-27 15:15:00;84;61;78;76;22;7;0;0;24;12;0;0
2020-04-27 15:30:00;112;56;79;89;5;9;2;0;3;6;6;0
2020-04-27 15:45:00;117;79;106;127;19;2;0;0;3;65;0;12
2020-04-27 16:00:00;112;86;80;109;0;2;0;0;3;18;0;0
2020-04-27 16:15:00;107;63;100;110;10;22;0;0;8;15;0;0
2020-04-27 16:30:00;93;71;115;127;23;6;0;0;9;6;0;0
2020-04-27 16:45:00;110;63;94;100;2;3;0;0;2;18;1;1
2020-04-27 17:00:00;107;86;105;103;11;35;0;0;32;12;8;0
2020-04-27 17:15:00;99;87;87;107;13;4;0;0;32;5;0;0
2020-04-27 17:30:00;93;61;79;85;12;48;1;0;19;18;0;0
2020-04-27 17:45:00;79;64;84;73;7;7;0;0;5;5;0;0
2020-04-27 18:00:00;78;59;87;92;2;9;0;0;10;7;0;0
2020-04-27 18:15:00;69;45;65;78;26;12;0;2;43;21;3;0
2020-04-27 18:30:00;64;46;56;51;1;22;1;0;34;36;0;1
2020-04-27 18:45:00;63;52;60;54;3;11;0;5;5;17;3;0
2020-04-27 19:00:00;52;49;55;70;7;7;0;0;15;40;0;0
2020-04-27 19:15:00;48;33;42;45;0;0;0;0;3;1;0;0
2020-04-27 19:30:00;62;35;57;45;6;4;0;0;2;11;0;1
2020-04-27 19:45:00;28;23;49;43;14;0;0;0;3;5;0;0
2020-04-27 20:00:00;34;17;50;48;0;0;0;0;2;0;0;0
2020-04-27 20:15:00;28;25;36;40;0;0;0;0;0;0;0;0
