DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2019-11-16 00:00:00;22;29;19;25;20;3;1;11;0;2;0
2019-11-16 00:15:00;22;36;16;35;16;6;4;11;0;3;3
2019-11-16 00:30:00;30;43;19;38;13;4;0;3;0;3;1
2019-11-16 00:45:00;32;39;26;28;12;3;14;6;0;10;2
2019-11-16 01:00:00;25;35;23;21;10;2;1;2;0;3;3
2019-11-16 01:15:00;25;36;15;31;10;1;0;4;0;4;0
2019-11-16 01:30:00;15;18;9;11;2;1;1;3;0;2;2
2019-11-16 01:45:00;13;19;15;22;7;5;31;6;0;2;0
2019-11-16 02:00:00;21;23;9;14;7;24;1;4;0;3;2
2019-11-16 02:15:00;12;18;13;16;9;1;0;3;0;1;1
2019-11-16 02:30:00;8;12;5;5;1;3;1;5;0;5;2
2019-11-16 02:45:00;10;20;11;18;4;2;1;3;0;0;0
2019-11-16 03:00:00;10;17;10;8;7;3;19;1;0;5;4
2019-11-16 03:15:00;10;14;8;9;4;3;4;3;0;2;1
2019-11-16 03:30:00;10;12;11;9;4;2;0;5;0;1;0
2019-11-16 03:45:00;6;15;5;11;3;5;1;1;0;3;1
2019-11-16 04:00:00;12;15;7;8;5;2;1;2;0;0;0
2019-11-16 04:15:00;18;20;15;7;4;2;1;3;0;0;2
2019-11-16 04:30:00;11;12;13;6;6;3;9;1;0;1;2
2019-11-16 04:45:00;13;15;12;11;9;0;0;4;0;1;0
2019-11-16 05:00:00;15;18;8;10;6;2;1;2;0;1;3
2019-11-16 05:15:00;23;25;11;12;10;3;0;8;0;4;3
2019-11-16 05:30:00;27;36;16;26;21;6;1;13;0;1;6
2019-11-16 05:45:00;24;31;22;37;41;6;2;21;0;1;8
2019-11-16 06:00:00;21;32;18;35;22;3;3;17;0;4;4
2019-11-16 06:15:00;29;53;29;24;21;9;2;25;0;4;7
2019-11-16 06:30:00;39;48;25;27;25;8;1;18;0;8;8
2019-11-16 06:45:00;36;43;20;24;15;13;4;15;0;7;10
2019-11-16 07:00:00;35;41;26;31;17;13;6;7;0;5;7
2019-11-16 07:15:00;40;48;25;42;22;8;2;18;0;10;13
2019-11-16 07:30:00;48;55;43;51;34;14;6;14;0;15;12
2019-11-16 07:45:00;64;74;55;58;34;12;7;17;0;8;16
2019-11-16 08:00:00;51;63;54;35;30;15;6;15;0;12;16
2019-11-16 08:15:00;62;82;59;38;32;11;4;22;0;11;17
2019-11-16 08:30:00;85;94;72;54;51;29;8;21;0;16;18
2019-11-16 08:45:00;93;112;78;67;58;34;9;24;0;22;22
2019-11-16 09:00:00;89;110;69;63;56;19;12;21;0;15;28
2019-11-16 09:15:00;95;119;104;88;76;25;9;28;0;17;19
2019-11-16 09:30:00;115;147;97;88;67;28;10;29;0;26;32
2019-11-16 09:45:00;101;133;116;97;90;35;13;54;0;29;37
2019-11-16 10:00:00;132;152;120;115;93;23;12;40;0;23;29
