DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-09-10 00:00:00;0;8;5;16;8;0;0;0;0;0;0;0;0
2019-09-10 00:15:00;5;7;6;12;8;2;0;0;0;0;0;0;0
2019-09-10 00:30:00;0;3;3;13;10;1;0;0;0;0;0;0;0
2019-09-10 00:45:00;1;6;8;8;5;0;0;0;0;0;0;0;0
2019-09-10 01:00:00;1;3;2;8;3;0;0;0;0;0;0;0;0
2019-09-10 01:15:00;1;3;9;13;9;0;0;0;0;0;0;0;0
2019-09-10 01:30:00;1;0;3;8;3;1;0;0;0;0;0;0;0
2019-09-10 01:45:00;1;1;2;11;6;1;0;0;0;0;0;0;0
2019-09-10 02:00:00;1;2;1;8;3;0;0;0;0;0;0;0;0
2019-09-10 02:15:00;1;1;3;8;7;0;0;0;0;0;0;0;0
2019-09-10 02:30:00;1;3;2;10;5;0;0;0;0;0;0;0;0
2019-09-10 02:45:00;0;3;2;10;4;0;0;0;0;0;0;0;0
2019-09-10 03:00:00;3;4;2;3;6;0;0;0;0;0;0;0;0
2019-09-10 03:15:00;4;5;2;5;6;0;0;0;0;0;0;0;0
2019-09-10 03:30:00;2;4;3;2;0;1;0;0;0;0;0;0;0
2019-09-10 03:45:00;1;2;1;8;4;0;0;0;0;0;0;0;0
2019-09-10 04:00:00;2;8;4;8;4;0;0;0;0;0;0;0;0
2019-09-10 04:15:00;1;7;5;14;4;0;0;0;0;0;0;0;0
2019-09-10 04:30:00;3;4;7;25;13;0;0;0;0;0;0;0;0
2019-09-10 04:45:00;7;22;3;30;21;0;0;0;0;0;0;0;0
2019-09-10 05:00:00;8;12;3;66;55;1;0;0;0;0;0;0;0
2019-09-10 05:15:00;6;17;9;95;104;1;0;0;0;0;0;0;0
2019-09-10 05:30:00;14;46;11;96;98;5;0;0;0;0;0;0;0
2019-09-10 05:45:00;32;74;17;87;85;3;0;0;0;0;0;0;0
2019-09-10 06:00:00;36;79;22;89;89;2;0;0;1;0;0;0;0
2019-09-10 06:15:00;40;74;34;103;101;6;0;0;0;0;39;0;0
2019-09-10 06:30:00;21;65;35;127;130;6;0;1;5;0;4;0;0
2019-09-10 06:45:00;26;67;29;111;113;11;0;0;0;0;0;0;0
2019-09-10 07:00:00;31;67;47;132;119;10;0;1;10;0;7;0;0
2019-09-10 07:15:00;57;85;50;142;173;15;0;2;0;0;0;8;0
2019-09-10 07:30:00;68;81;48;164;181;21;0;2;5;0;0;5;0
2019-09-10 07:45:00;66;102;58;155;175;30;0;1;5;0;0;0;0
2019-09-10 08:00:00;46;77;41;134;173;18;0;0;14;0;0;0;0
2019-09-10 08:15:00;46;69;58;171;171;31;0;0;1;0;0;0;0
2019-09-10 08:30:00;57;100;56;145;158;23;0;1;5;0;0;0;3
2019-09-10 08:45:00;53;66;61;134;135;18;0;1;9;0;0;0;0
2019-09-10 09:00:00;53;71;45;129;115;22;0;1;3;0;1;0;0
2019-09-10 09:15:00;51;59;49;118;105;20;0;0;16;0;3;0;0
2019-09-10 09:30:00;45;63;51;121;96;22;0;0;5;0;0;0;0
2019-09-10 09:45:00;48;89;44;91;123;27;0;3;1;0;0;1;0
2019-09-10 10:00:00;41;80;36;111;99;17;0;1;6;0;0;0;2
2019-09-10 10:15:00;40;66;42;87;67;22;0;0;6;0;0;0;0
2019-09-10 10:30:00;
2019-09-10 10:45:00;
2019-09-10 11:00:00;43;64;52;108;144;28;0;0;0;0;0;0;0
2019-09-10 11:15:00;59;78;41;125;134;31;0;1;6;0;0;0;0
2019-09-10 11:30:00;56;82;45;118;133;30;0;1;51;0;17;0;0
2019-09-10 11:45:00;51;83;43;137;130;30;0;0;2;1;0;0;1
2019-09-10 12:00:00;63;95;46;122;111;22;0;1;16;0;0;0;0
2019-09-10 12:15:00;40;89;41;119;92;23;0;3;1;0;0;0;1
2019-09-10 12:30:00;54;79;47;128;103;33;0;2;2;5;0;0;1
2019-09-10 12:45:00;50;97;49;123;111;26;0;1;13;0;0;0;0
2019-09-10 13:00:00;48;79;46;121;115;29;0;1;19;0;0;1;0
2019-09-10 13:15:00;57;74;43;151;146;18;0;2;3;1;0;13;0
2019-09-10 13:30:00;71;96;48;138;159;27;0;1;8;0;0;0;6
2019-09-10 13:45:00;63;92;52;143;133;33;0;0;2;10;10;0;0
2019-09-10 14:00:00;60;109;47;135;130;22;0;1;15;0;5;0;0
2019-09-10 14:15:00;81;139;54;169;126;31;0;1;11;2;2;0;0
2019-09-10 14:30:00;79;146;48;152;111;29;0;1;1;0;0;0;1
2019-09-10 14:45:00;77;122;57;148;125;22;0;1;8;0;0;0;0
2019-09-10 15:00:00;89;131;60;137;109;34;0;0;3;11;0;0;3
2019-09-10 15:15:00;83;124;58;144;126;20;0;1;2;0;0;4;0
2019-09-10 15:30:00;78;117;52;132;100;21;0;0;5;2;0;1;0
2019-09-10 15:45:00;86;128;77;143;114;39;0;1;7;0;0;2;0
2019-09-10 16:00:00;70;127;57;143;132;43;0;1;17;0;0;2;0
2019-09-10 16:15:00;94;138;66;173;187;34;0;2;1;3;0;0;3
2019-09-10 16:30:00;94;138;73;133;144;40;0;2;5;0;7;0;0
2019-09-10 16:45:00;87;139;75;170;166;35;0;2;7;0;11;0;0
2019-09-10 17:00:00;94;137;62;158;145;33;0;2;6;0;0;15;0
2019-09-10 17:15:00;82;132;65;174;192;32;0;0;10;5;0;12;0
2019-09-10 17:30:00;88;130;63;146;153;38;0;1;32;0;46;1;0
2019-09-10 17:45:00;89;133;77;157;134;26;0;0;6;0;0;0;0
2019-09-10 18:00:00;72;113;64;131;116;25;0;1;6;0;0;4;0
2019-09-10 18:15:00;68;104;61;141;126;36;0;1;11;1;0;1;0
2019-09-10 18:30:00;58;70;44;132;109;18;0;2;15;0;0;1;0
2019-09-10 18:45:00;63;79;50;134;99;23;0;0;7;0;0;0;0
2019-09-10 19:00:00;43;76;45;124;101;21;0;1;22;0;0;0;0
2019-09-10 19:15:00;54;78;37;135;95;12;0;0;4;1;0;0;0
2019-09-10 19:30:00;44;60;35;107;66;16;0;1;15;0;0;0;0
2019-09-10 19:45:00;34;63;44;109;60;14;0;2;4;0;1;6;3
2019-09-10 20:00:00;26;49;31;102;75;12;0;0;2;0;5;6;0
2019-09-10 20:15:00;34;42;43;99;58;17;0;0;0;0;0;0;0
2019-09-10 20:30:00;25;46;30;78;60;17;0;1;5;0;0;3;0
2019-09-10 20:45:00;22;32;33;84;67;5;0;0;0;2;0;0;0
2019-09-10 21:00:00;6;27;35;90;77;9;0;1;3;0;0;0;0
2019-09-10 21:15:00;17;29;29;99;84;6;0;1;1;0;0;0;0
2019-09-10 21:30:00;21;53;16;75;64;9;0;0;0;0;0;4;0
2019-09-10 21:45:00;30;58;24;64;50;7;0;1;3;2;0;0;0
2019-09-10 22:00:00;52;72;13;56;25;8;0;0;0;0;0;0;0
2019-09-10 22:15:00;20;46;14;49;22;7;0;0;1;0;0;0;0
2019-09-10 22:30:00;12;29;15;49;36;6;0;1;0;0;0;5;0
2019-09-10 22:45:00;10;18;16;35;24;5;0;0;0;0;0;0;0
2019-09-10 23:00:00;11;10;17;35;24;2;0;0;0;0;0;0;0
2019-09-10 23:15:00;11;11;12;35;14;2;0;0;0;0;0;0;0
2019-09-10 23:30:00;6;10;19;33;8;2;0;0;0;0;0;0;0
2019-09-10 23:45:00;1;10;5;16;13;3;0;0;0;0;0;0;0
