DATUM;1(TAFGA);2(MP0701);3(MP0702);4(MP0703);5(MP0704);6(MP0705);7(MP0706);8(MP0707);9(MP0708)
2020-06-16 00:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 00:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 00:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 00:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 01:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 01:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 01:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 01:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 02:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 02:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 02:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 03:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 03:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 03:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 03:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 04:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 04:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 04:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 04:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 05:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 05:15:00;1;0;0;0;0;0;0;0;0
2020-06-16 05:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 05:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 06:00:00;0;0;0;0;0;0;0;0;0
2020-06-16 06:15:00;0;0;0;0;0;0;0;0;0
2020-06-16 06:30:00;0;0;0;0;0;0;0;0;0
2020-06-16 06:45:00;0;0;0;0;0;0;0;0;0
2020-06-16 07:00:00;5;2;0;0;0;0;0;0;0
2020-06-16 07:15:00;30;0;0;0;0;0;0;0;0
2020-06-16 07:30:00;51;0;0;0;0;0;0;0;0
2020-06-16 07:45:00;34;0;0;0;0;0;0;0;0
2020-06-16 08:00:00;21;2;0;0;0;0;0;0;0
2020-06-16 08:15:00;9;0;0;0;0;0;0;0;0
2020-06-16 08:30:00;3;0;0;0;0;0;0;0;0
2020-06-16 08:45:00;10;0;0;0;0;0;0;0;0
2020-06-16 09:00:00;2;0;0;0;0;0;0;0;0
2020-06-16 09:15:00;17;0;0;0;0;0;0;0;0
2020-06-16 09:30:00;17;1;0;0;0;0;0;0;0
2020-06-16 09:45:00;3;0;0;0;0;0;0;0;0
2020-06-16 10:00:00;7;1;0;0;0;0;0;0;0
2020-06-16 10:15:00;6;0;0;0;0;0;0;0;0
2020-06-16 10:30:00;54;9;0;0;0;0;0;0;0
2020-06-16 10:45:00;32;0;0;0;0;0;0;0;0
2020-06-16 11:00:00;3;3;0;0;0;0;0;0;0
2020-06-16 11:15:00;20;7;0;0;0;0;0;0;0
2020-06-16 11:30:00;22;0;0;0;0;0;0;0;0
2020-06-16 11:45:00;9;1;0;0;0;0;0;0;0
2020-06-16 12:00:00;14;2;0;0;0;0;0;0;0
2020-06-16 12:15:00;7;0;0;0;0;0;0;0;0
2020-06-16 12:30:00;28;0;0;0;0;0;0;0;0
