DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-10-03 00:00:00;0;13;17;21;11;0;0
2020-10-03 00:15:00;0;18;13;33;16;3;2
2020-10-03 00:30:00;0;20;8;20;8;1;2
2020-10-03 00:45:00;0;18;10;26;17;1;1
2020-10-03 01:00:00;0;10;16;24;14;0;0
2020-10-03 01:15:00;0;12;6;18;17;0;0
2020-10-03 01:30:00;0;14;10;13;12;0;0
2020-10-03 01:45:00;0;11;12;12;4;0;0
2020-10-03 02:00:00;0;6;8;15;8;0;0
2020-10-03 02:15:00;0;3;5;18;7;0;0
2020-10-03 02:30:00;0;5;4;10;6;0;0
2020-10-03 02:45:00;0;9;3;7;5;0;0
2020-10-03 03:00:00;0;7;6;11;3;0;0
2020-10-03 03:15:00;0;4;2;10;6;0;0
2020-10-03 03:30:00;0;4;1;12;5;1;1
2020-10-03 03:45:00;0;6;3;6;6;0;0
2020-10-03 04:00:00;0;4;4;6;6;0;0
2020-10-03 04:15:00;0;7;2;6;4;1;1
2020-10-03 04:30:00;0;6;4;6;4;0;0
2020-10-03 04:45:00;0;9;4;6;6;1;1
2020-10-03 05:00:00;0;5;6;13;6;0;0
2020-10-03 05:15:00;0;4;5;10;9;1;1
2020-10-03 05:30:00;0;14;14;11;10;0;0
2020-10-03 05:45:00;0;18;7;35;30;1;1
2020-10-03 06:00:00;5;12;4;40;25;0;0
2020-10-03 06:15:00;0;13;10;43;29;1;1
2020-10-03 06:30:00;0;13;8;28;10;0;0
2020-10-03 06:45:00;0;9;9;21;8;1;1
2020-10-03 07:00:00;12;10;14;19;17;0;0
2020-10-03 07:15:00;0;15;12;21;13;1;1
2020-10-03 07:30:00;0;16;14;26;10;0;0
2020-10-03 07:45:00;0;24;20;26;18;1;1
2020-10-03 08:00:00;7;16;22;28;19;2;2
2020-10-03 08:15:00;2;33;17;39;16;0;0
2020-10-03 08:30:00;2;30;25;28;27;3;3
2020-10-03 08:45:00;1;44;17;48;35;0;0
2020-10-03 09:00:00;2;34;32;55;31;1;1
2020-10-03 09:15:00;6;32;35;61;30;0;0
2020-10-03 09:30:00;12;35;62;46;39;2;2
2020-10-03 09:45:00;10;6;89;63;50;0;0
2020-10-03 10:00:00;0;6;128;58;34;2;2
2020-10-03 10:15:00;4;1;105;65;49;0;0
2020-10-03 10:30:00;7;4;124;69;42;2;1
2020-10-03 10:45:00;7;5;119;75;69;0;1
2020-10-03 11:00:00;31;25;114;45;45;2;2
2020-10-03 11:15:00;0;65;74;78;57;0;0
2020-10-03 11:30:00;9;69;74;69;58;1;1
2020-10-03 11:45:00;5;63;77;87;71;1;1
2020-10-03 12:00:00;3;70;64;78;70;2;2
2020-10-03 12:15:00;3;81;72;87;62;1;1
2020-10-03 12:30:00;17;63;68;89;61;2;2
2020-10-03 12:45:00;9;77;70;86;63;0;0
2020-10-03 13:00:00;3;75;75;77;70;2;2
2020-10-03 13:15:00;4;70;72;81;68;0;0
2020-10-03 13:30:00;2;68;77;95;72;1;1
2020-10-03 13:45:00;7;87;87;93;93;0;0
2020-10-03 14:00:00;0;78;77;97;72;2;2
2020-10-03 14:15:00;6;79;69;73;70;0;0
2020-10-03 14:30:00;3;72;67;84;63;1;1
2020-10-03 14:45:00;42;73;66;101;77;1;1
2020-10-03 15:00:00;45;75;58;83;68;2;2
2020-10-03 15:15:00;6;53;57;72;45;0;0
2020-10-03 15:30:00;9;67;39;87;56;1;1
2020-10-03 15:45:00;6;69;78;77;74;1;1
2020-10-03 16:00:00;7;68;69;76;68;2;2
2020-10-03 16:15:00;0;68;74;94;89;1;1
2020-10-03 16:30:00;4;61;64;85;62;2;2
2020-10-03 16:45:00;8;72;62;76;63;0;0
2020-10-03 17:00:00;2;72;66;78;70;2;2
2020-10-03 17:15:00;9;66;64;93;84;1;1
2020-10-03 17:30:00;4;78;78;81;74;2;2
2020-10-03 17:45:00;31;81;73;86;71;0;0
2020-10-03 18:00:00;4;74;65;74;70;2;2
2020-10-03 18:15:00;19;82;85;76;64;0;0
2020-10-03 18:30:00;8;67;63;92;88;1;1
2020-10-03 18:45:00;8;82;92;80;76;0;0
2020-10-03 19:00:00;6;64;67;69;66;2;2
2020-10-03 19:15:00;1;69;70;85;60;1;1
2020-10-03 19:30:00;9;74;83;69;69;2;2
2020-10-03 19:45:00;7;60;61;81;67;0;0
2020-10-03 20:00:00;1;56;56;66;49;2;2
2020-10-03 20:15:00;0;47;52;64;44;0;0
2020-10-03 20:30:00;0;43;35;62;42;1;1
2020-10-03 20:45:00;31;42;53;64;48;0;0
2020-10-03 21:00:00;4;39;47;65;45;2;2
2020-10-03 21:15:00;0;47;34;66;39;1;1
2020-10-03 21:30:00;3;47;42;48;36;1;1
2020-10-03 21:45:00;1;37;30;58;28;1;1
2020-10-03 22:00:00;3;43;45;42;45;2;2
2020-10-03 22:15:00;37;40;35;51;40;2;2
2020-10-03 22:30:00;3;45;30;50;46;1;1
2020-10-03 22:45:00;0;29;36;51;30;1;1
2020-10-03 23:00:00;2;43;13;37;26;2;2
2020-10-03 23:15:00;3;35;19;50;27;1;1
2020-10-03 23:30:00;0;28;20;39;18;1;1
2020-10-03 23:45:00;0;34;24;40;27;0;0
