DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-09-28 00:00:00;7;5;2;2;0;3;15;3;0;2;0
2020-09-28 00:15:00;10;4;2;0;0;0;13;1;0;1;0
2020-09-28 00:30:00;8;3;1;0;0;1;11;5;0;1;0
2020-09-28 00:45:00;3;4;1;0;0;2;9;5;0;2;0
2020-09-28 01:00:00;2;3;2;1;0;1;9;0;0;0;0
2020-09-28 01:15:00;2;2;0;0;0;1;9;2;0;1;0
2020-09-28 01:30:00;2;1;0;1;2;4;6;0;0;1;0
2020-09-28 01:45:00;1;3;2;0;0;3;7;1;0;1;0
2020-09-28 02:00:00;9;6;4;0;0;1;9;7;0;1;0
2020-09-28 02:15:00;4;7;0;1;0;1;8;3;0;0;0
2020-09-28 02:30:00;4;2;0;1;1;2;5;3;0;1;0
2020-09-28 02:45:00;4;3;0;1;1;1;3;0;0;0;0
2020-09-28 03:00:00;2;4;0;0;0;0;7;1;0;0;0
2020-09-28 03:15:00;3;1;0;0;0;1;10;1;0;0;0
2020-09-28 03:30:00;4;3;0;0;0;0;5;1;0;0;0
2020-09-28 03:45:00;6;2;0;1;0;3;7;2;1;3;0
2020-09-28 04:00:00;8;11;0;1;0;1;21;1;0;2;0
2020-09-28 04:15:00;8;8;3;3;1;5;16;2;0;1;0
2020-09-28 04:30:00;7;13;1;1;0;1;35;7;0;4;0
2020-09-28 04:45:00;11;8;6;1;0;3;49;16;0;4;0
2020-09-28 05:00:00;17;14;4;3;0;5;72;51;0;3;0
2020-09-28 05:15:00;42;27;14;4;2;9;115;97;0;2;0
2020-09-28 05:30:00;50;27;16;9;2;16;112;103;0;5;0
2020-09-28 05:45:00;57;22;13;19;4;28;111;99;2;4;0
2020-09-28 06:00:00;67;35;34;15;6;23;104;76;1;5;0
2020-09-28 06:15:00;65;45;29;24;14;43;125;103;1;8;5
2020-09-28 06:30:00;60;39;37;30;17;46;131;138;1;5;1
2020-09-28 06:45:00;78;57;57;44;16;64;124;134;0;9;4
2020-09-28 07:00:00;70;40;36;53;28;73;108;131;2;8;1
2020-09-28 07:15:00;84;41;44;63;35;80;133;135;2;17;2
2020-09-28 07:30:00;68;45;45;53;13;64;133;168;2;16;0
2020-09-28 07:45:00;107;44;51;40;15;56;120;151;2;8;3
2020-09-28 08:00:00;82;34;32;42;12;52;100;123;4;11;2
2020-09-28 08:15:00;94;38;27;36;5;45;113;127;2;9;2
2020-09-28 08:30:00;83;39;28;33;13;46;120;131;2;8;0
2020-09-28 08:45:00;89;35;25;35;6;40;100;95;1;9;3
2020-09-28 09:00:00;78;31;41;21;8;34;96;88;0;5;2
2020-09-28 09:15:00;88;36;33;27;8;35;96;69;0;10;2
2020-09-28 09:30:00;86;39;39;31;6;39;99;87;2;8;0
2020-09-28 09:45:00;101;36;43;35;11;46;88;80;4;9;1
2020-09-28 10:00:00;95;47;25;14;6;22;94;69;2;5;3
2020-09-28 10:15:00;87;35;29;20;8;26;87;79;0;13;0
2020-09-28 10:30:00;111;38;30;26;5;30;101;80;3;10;3
2020-09-28 10:45:00;93;44;46;23;8;30;104;89;2;6;0
2020-09-28 11:00:00;117;40;34;26;9;38;85;70;0;9;2
2020-09-28 11:15:00;96;39;22;22;4;27;77;59;0;13;0
2020-09-28 11:30:00;100;35;30;26;5;26;87;84;2;8;2
2020-09-28 11:45:00;105;35;31;20;3;25;98;79;4;7;2
2020-09-28 12:00:00;92;44;42;19;8;25;77;74;0;8;0
2020-09-28 12:15:00;107;38;39;17;1;21;90;83;1;15;1
2020-09-28 12:30:00;96;38;38;17;5;20;92;79;3;12;1
2020-09-28 12:45:00;135;43;53;15;4;18;99;74;0;11;1
2020-09-28 13:00:00;131;50;37;21;5;29;105;105;2;10;3
2020-09-28 13:15:00;122;40;40;18;6;25;124;124;1;10;1
2020-09-28 13:30:00;136;51;36;19;5;25;139;137;0;13;1
